,date,open,close,high,low,volume,code
0,2016-01-04,47.075,43.122,47.864,43.122,113360.0,300333
1,2016-01-05,38.83,38.81,41.805,38.81,174578.0,300333
2,2016-01-06,39.918,40.427,41.805,37.832,161824.0,300333
3,2016-01-07,38.83,36.384,38.93,36.384,31864.0,300333
4,2016-01-08,36.913,37.083,38.201,32.941,144328.0,300333
5,2016-01-11,35.237,33.38,35.656,33.38,108086.0,300333
6,2016-01-12,30.046,30.046,30.994,30.046,200554.0,300333
7,2016-01-13,29.647,27.051,30.146,27.041,207943.0,300333
8,2016-01-14,24.955,27.99,28.758,24.556,242656.0,300333
9,2016-01-15,27.151,26.153,27.411,25.195,249183.0,300333
10,2016-01-18,25.165,27.081,27.95,24.755,269911.0,300333
11,2016-01-19,27.081,28.938,29.696,26.113,294523.0,300333
12,2016-01-20,28.359,28.658,29.936,27.97,252130.0,300333
13,2016-01-21,28.069,27.081,29.926,26.452,252437.0,300333
14,2016-01-22,27.75,26.941,27.93,25.943,204232.0,300333
15,2016-01-25,27.021,27.201,27.87,26.333,184120.0,300333
16,2016-01-26,26.542,24.486,26.722,24.486,161487.0,300333
17,2016-01-27,23.857,24.426,24.426,22.04,238265.0,300333
18,2016-01-28,23.438,23.058,23.957,22.26,165710.0,300333
19,2016-01-29,23.138,24.456,25.155,22.489,201175.0,300333
20,2016-02-01,23.957,23.058,24.156,22.21,192374.0,300333
21,2016-02-02,23.078,25.364,25.364,23.068,235410.0,300333
22,2016-02-03,25.055,25.454,25.804,24.366,241449.0,300333
23,2016-02-04,25.454,25.893,26.323,25.324,236094.0,300333
24,2016-02-05,25.953,25.025,26.053,24.965,141912.0,300333
25,2016-02-15,23.368,24.616,24.905,23.368,130463.0,300333
26,2016-02-16,24.875,27.081,27.081,24.875,134314.0,300333
27,2016-02-17,28.049,27.71,28.429,27.001,319610.0,300333
28,2016-02-18,27.75,27.59,28.569,27.071,310718.0,300333
29,2016-02-19,27.351,28.748,29.936,27.051,370720.0,300333
30,2016-02-22,29.147,29.267,29.447,28.269,301661.0,300333
31,2016-02-23,29.297,28.758,29.297,27.77,251583.0,300333
32,2016-02-24,28.349,28.499,29.048,27.6,193664.0,300333
33,2016-02-25,28.429,25.654,28.449,25.654,199943.0,300333
34,2016-02-26,25.454,24.805,25.933,23.757,189870.0,300333
35,2016-02-29,23.957,22.33,24.426,22.33,157846.0,300333
36,2016-03-01,22.33,22.759,23.308,20.793,197196.0,300333
37,2016-03-02,22.46,23.727,23.957,21.881,232549.0,300333
38,2016-03-03,23.687,23.607,25.255,23.358,239017.0,300333
39,2016-03-04,23.158,21.551,23.438,21.342,198424.0,300333
40,2016-03-07,21.96,22.37,23.148,21.891,153225.0,300333
41,2016-03-08,22.01,22.559,22.759,20.563,184514.0,300333
42,2016-03-09,21.591,21.861,22.709,21.461,134181.0,300333
43,2016-03-10,21.811,21.611,22.34,21.471,111907.0,300333
44,2016-03-11,21.102,21.411,21.701,21.012,90998.0,300333
45,2016-03-14,21.99,22.679,23.258,21.801,186002.0,300333
46,2016-03-15,22.759,22.36,22.939,22.12,142677.0,300333
47,2016-03-16,22.909,22.36,23.258,21.891,143312.0,300333
48,2016-03-17,22.47,23.847,24.356,22.27,274464.0,300333
49,2016-03-18,23.757,26.233,26.233,23.607,355400.0,300333
50,2016-03-21,26.233,27.031,27.331,25.863,450119.0,300333
51,2016-03-22,26.462,26.233,26.892,26.053,235240.0,300333
52,2016-03-23,26.153,27.101,27.211,25.973,273821.0,300333
53,2016-03-24,26.752,25.903,26.941,25.863,262187.0,300333
54,2016-03-25,25.594,26.802,28.109,25.474,221048.0,300333
55,2016-03-28,26.971,25.843,27.451,25.604,228423.0,300333
56,2016-03-29,25.853,25.015,26.253,24.156,179299.0,300333
57,2016-03-30,25.434,26.372,26.512,25.155,184504.0,300333
58,2016-03-31,26.852,26.981,27.85,26.462,287041.0,300333
59,2016-04-01,26.552,26.083,26.922,25.434,213396.0,300333
60,2016-04-05,26.203,27.5,27.71,25.853,236403.0,300333
61,2016-04-06,27.401,28.549,30.196,27.131,344958.0,300333
62,2016-04-07,28.708,27.021,28.908,27.001,299026.0,300333
63,2016-04-08,26.542,26.333,26.612,25.654,232193.0,300333
64,2016-04-11,26.602,26.822,27.331,26.602,189018.0,300333
65,2016-04-12,26.562,26.402,26.822,25.814,156707.0,300333
66,2016-04-13,26.752,26.832,27.63,26.652,227032.0,300333
67,2016-04-14,27.251,27.281,27.381,26.552,167411.0,300333
68,2016-04-15,27.55,27.101,27.64,26.832,159658.0,300333
69,2016-04-18,26.652,26.083,26.652,25.953,153674.0,300333
70,2016-04-19,26.372,26.163,26.532,25.963,126826.0,300333
71,2016-04-20,26.532,23.957,26.622,23.607,237780.0,300333
72,2016-04-21,23.707,23.318,24.156,22.989,142451.0,300333
73,2016-04-22,22.959,23.667,23.747,22.759,102181.0,300333
74,2016-04-25,23.178,23.248,23.408,22.759,88519.0,300333
75,2016-04-26,23.258,23.717,23.757,23.068,90813.0,300333
76,2016-04-27,23.937,23.258,23.937,23.078,93170.0,300333
77,2016-04-28,23.278,24.077,24.506,22.629,154511.0,300333
78,2016-04-29,23.837,23.508,24.037,23.378,92449.0,300333
79,2016-05-03,23.338,24.805,24.845,23.268,147318.0,300333
