date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-04-05,26.25,27.76,27.55,25.9,236403.45,1.42,5.43,26.438,26.431,24.834,220129.05,232136.69,219747.29,7.14
2016-04-01,26.6,26.97,26.13,25.48,213396.41,-0.9,-3.33,26.106,26.384,24.577,218533.06,253508.28,215588.41,6.45
2016-03-31,26.9,27.9,27.03,26.51,287041.72,0.61,2.31,26.25,26.399,24.35,220063.51,267708.67,214839.81,8.67
2016-03-30,25.48,26.56,26.42,25.2,184504.27,1.36,5.43,26.034,26.085,24.181,215092.67,266450.94,212438.6,5.58
2016-03-29,25.9,26.3,25.06,24.2,179299.38,-0.83,-3.21,26.18,25.683,24.049,232956.16,262331.76,214840.86,5.42
2016-03-28,27.02,27.5,25.89,25.65,228423.52,-0.96,-3.58,26.424,25.417,23.936,244144.33,258669.55,215735.74,6.9
2016-03-25,25.64,28.16,26.85,25.52,221048.66,0.9,3.47,26.662,25.1,23.76,288483.5,254427.49,212206.88,6.68
2016-03-24,26.8,26.99,25.95,25.91,262187.5,-1.2,-4.42,26.548,24.56,23.66,315353.83,241422.51,210647.94,7.92
2016-03-23,26.2,27.26,27.15,26.02,273821.75,0.87,3.31,26.136,24.13,23.647,317809.22,226394.49,207535.77,8.28
2016-03-22,26.51,26.94,26.28,26.1,235240.23,-0.8,-2.95,25.186,23.605,23.717,291707.36,212430.46,203527.88,7.11
2016-03-21,26.28,27.38,27.08,25.91,450119.38,0.8,3.04,24.41,23.237,23.844,273194.78,207357.89,204345.04,13.6
2016-03-18,23.8,26.28,26.28,23.65,355400.31,2.39,10.0,23.538,22.77,23.956,220371.48,177668.53,196922.13,10.74
2016-03-17,22.51,24.4,23.89,22.31,274464.44,1.49,6.65,22.572,22.301,24.082,167491.18,161970.96,197688.15,8.29
2016-03-16,22.95,23.3,22.4,21.93,143312.45,0.0,0.0,22.124,22.277,24.269,134979.76,158426.26,199500.87,4.33
2016-03-15,22.8,22.98,22.4,22.16,142677.3,-0.32,-1.41,22.024,22.414,24.537,133153.56,167349.97,208315.76,4.31
2016-03-14,22.03,23.3,22.72,21.84,186002.88,1.27,5.92,22.064,22.454,24.774,141521.0,172801.92,207897.65,5.62
2016-03-11,21.14,21.74,21.45,21.05,90998.82,-0.2,-0.92,22.002,22.419,24.871,134965.58,169986.26,205120.68,2.75
2016-03-10,21.85,22.38,21.65,21.51,111907.35,-0.25,-1.14,22.03,22.759,25.052,156450.73,179873.38,207666.34,3.38
2016-03-09,21.63,22.75,21.9,21.5,134181.45,-0.7,-3.1,22.43,23.164,25.266,181872.75,188677.04,213875.68,4.06
2016-03-08,22.05,22.8,22.6,20.6,184514.52,0.19,0.85,22.804,23.829,25.446,201546.37,194625.3,219239.08,5.58
2016-03-07,22.0,23.19,22.41,21.93,153225.78,0.82,3.8,22.844,24.45,25.587,204082.84,201332.19,221783.87,4.63
2016-03-04,23.2,23.48,21.59,21.38,198424.56,-2.06,-8.71,22.836,25.141,25.621,205006.94,216175.72,223741.28,6.0
2016-03-03,23.73,25.3,23.65,23.4,239017.44,-0.12,-0.51,23.488,25.862,25.767,203296.03,233405.34,223878.81,7.22
2016-03-02,22.5,24.0,23.77,21.92,232549.55,0.97,4.25,23.898,26.261,25.739,195481.34,240575.49,220213.46,7.03
2016-03-01,22.37,23.35,22.8,20.83,197196.88,0.43,1.92,24.854,26.66,25.774,187704.23,249281.56,220499.27,5.96
2016-02-29,24.0,24.47,22.37,22.37,157846.27,-2.48,-9.98,26.056,27.093,25.861,198581.53,242993.37,218713.79,4.77
2016-02-26,25.5,25.98,24.85,23.8,189870.02,-0.85,-3.31,27.446,27.322,26.105,227344.5,240255.1,220027.5,5.74
2016-02-25,28.48,28.5,25.7,25.7,199943.97,-2.85,-9.98,28.236,27.344,26.212,263514.64,235459.31,220745.61,6.04
2016-02-24,28.4,29.1,28.55,27.65,193664.02,-0.26,-0.9,28.624,27.368,26.283,285669.64,239074.32,223370.29,5.85
2016-02-23,29.35,29.35,28.81,27.82,251583.38,-0.51,-1.74,28.466,27.063,26.291,310858.89,243852.85,226293.6,7.6
2016-02-22,29.2,29.5,29.32,28.32,301661.12,0.52,1.81,28.13,26.723,26.3,287405.2,242235.55,228440.63,9.12
2016-02-19,27.4,29.99,28.8,27.1,370720.72,1.16,4.2,27.198,26.101,26.191,253165.7,231306.84,226853.14,11.2
2016-02-18,27.8,28.62,27.64,27.12,310718.94,-0.12,-0.43,26.452,25.671,26.061,207403.97,214352.28,220776.28,9.39
2016-02-17,28.1,28.48,27.76,27.05,319610.28,0.63,2.32,26.112,25.217,26.081,192479.0,199851.44,217373.17,9.66
2016-02-16,24.92,27.13,27.13,24.92,134314.95,2.47,10.02,25.66,24.888,26.048,176846.82,191716.98,211789.85,4.06
2016-02-15,23.41,24.95,24.66,23.41,130463.59,-0.41,-1.64,25.316,24.628,26.196,197065.89,194434.22,215101.83,3.94
2016-02-05,26.0,26.1,25.07,25.01,141912.11,-0.87,-3.35,25.004,24.887,26.635,209447.98,199799.89,213982.96,4.29
2016-02-04,25.5,26.37,25.94,25.37,236094.06,0.44,1.73,24.89,25.079,27.239,221300.58,206031.9,214103.77,7.14
2016-02-03,25.1,25.85,25.5,24.41,241449.38,0.09,0.35,24.322,25.198,27.765,207223.87,207666.26,203892.26,7.3
2016-02-02,23.12,25.41,25.41,23.11,235410.33,2.31,10.0,24.116,25.519,28.515,206587.14,208734.35,199911.01,7.11
2016-02-01,24.0,24.2,23.1,22.25,192374.02,-1.4,-5.71,23.94,25.877,29.188,191802.54,214645.7,196869.41,5.81
2016-01-29,23.18,25.2,24.5,22.53,201175.12,1.4,6.06,24.77,26.28,30.193,190151.81,222399.44,192918.75,6.08
2016-01-28,23.48,24.0,23.1,22.3,165710.52,-1.37,-5.6,25.268,26.45,31.368,190763.22,227200.28,192068.41,5.01
2016-01-27,23.9,24.47,24.47,22.08,238265.7,-0.06,-0.24,26.074,26.944,32.727,208108.65,234894.91,197236.2,7.2
