,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,1.317,9.23,9.09,9.28,9.06,9.11,2663321,1.15596,24432865,31.828,1.603,531648.0,212659.2
1,603998,方盛制药,0.0,12.56,12.45,12.7,12.38,12.56,1263857,0.46953,15778088,78.5,5.747,541256.20632,338086.58832
2,603997,继峰股份,-8.303,12.59,13.73,13.73,12.5,13.73,10865955,6.35436,145239435,21.339,3.299,793170.0,215289.0
3,603996,中新科技,-1.761,15.06,15.41,15.65,14.62,15.33,2151233,2.08301,32369434,38.615,3.235,452025.9,155532.15
4,603993,洛阳钼业,2.799,6.61,6.31,6.65,6.21,6.43,335393251,2.58916,2143190203,110.167,5.774,11162438.34,8562415.99204
5,603991,至正股份,-9.987,34.52,36.52,37.0,34.52,38.35,2986678,15.97154,104339145,51.522,5.98,257294.813096,64552.4
6,603990,麦迪科技,-4.058,31.92,32.99,32.99,30.33,33.27,1076300,5.3815,33775076,42.56,6.518,258326.3256,63840.0
7,603989,艾华集团,2.254,37.2,36.45,37.29,36.45,36.38,1154276,1.36803,42754287,42.273,6.006,1116000.0,313875.0
8,603988,中电电机,0.273,58.79,58.0,58.99,58.0,58.63,73800,0.32946,4312883,195.967,7.181,470320.0,131689.6
9,603987,康德莱,-0.433,13.8,13.86,13.94,13.4,13.86,1519350,1.92567,20786107,22.258,2.495,435300.3,108882.0
10,603986,兆易创新,1.485,75.88,74.47,76.4,73.22,74.77,1446715,2.89343,108604677,35.841,5.638,1538042.02647,379400.0
11,603985,恒润股份,0.987,41.95,40.98,42.58,40.68,41.54,1217219,6.0861,50709009,26.574,5.484,335600.0,83900.0
12,603980,吉华集团,1.656,22.1,21.62,22.38,21.62,21.74,5973326,5.97333,131892023,23.117,4.333,1105000.0,221000.0
13,603979,金诚信,1.208,13.41,13.17,13.44,12.9,13.25,5581413,2.29536,73539602,31.929,1.618,784485.0,326077.98912
14,603977,国泰集团,-0.75,15.89,15.5,16.07,15.5,16.01,2876547,5.20359,45582891,26.932,3.525,351296.12,87839.92
15,603969,银龙股份,0.909,16.65,16.11,17.0,16.03,16.5,11344100,7.43239,187789504,46.25,4.097,666000.0,254129.7825
16,603968,醋化股份,1.325,22.17,21.74,22.28,21.61,21.88,1802511,1.31955,39637720,30.792,3.453,453332.16,302842.2
17,603966,法兰泰克,-1.429,20.0,19.8,20.65,19.56,20.29,2226154,5.56539,44597132,42.553,4.117,320000.0,80000.0
18,603960,克来机电,0.568,38.94,38.7,39.49,37.45,38.72,938400,4.692,36105400,64.9,7.552,311520.0,77880.0
19,603959,百利科技,6.864,20.24,20.0,20.83,19.8,18.94,4320005,4.20752,87510925,38.189,5.128,453376.0,207811.2146
20,603958,哈森股份,-1.151,20.62,20.5,20.78,19.8,20.86,4700486,7.12206,95497291,48.747,3.707,448196.32,136089.929752
21,603955,大千生态,-1.133,41.03,41.5,41.5,39.5,41.5,1410794,6.48641,57029456,38.432,3.626,356961.0,89240.25
22,603939,益丰药房,-0.827,32.37,32.15,32.59,32.1,32.64,649726,0.41647,20964686,48.824,3.872,1174042.60795,504997.896
23,603938,三孚股份,-1.003,24.68,24.25,25.36,23.78,24.93,6988562,18.60808,171261533,34.278,5.064,370611.1688,92689.6888
24,603936,博敏电子,2.115,24.62,24.11,24.99,24.05,24.11,418969,0.74683,10215074,77.179,4.354,412015.7,138118.2
25,603933,睿能科技,0.505,49.8,47.51,51.4,47.51,49.55,9976719,38.86529,496514178,41.045,9.005,511296.6,127836.6
26,603929,亚翔集成,-0.208,19.16,19.06,19.39,18.62,19.2,2030905,3.80604,38719796,18.602,4.33,408797.76,102237.76
27,603928,兴业股份,0.375,16.06,15.98,16.34,15.6,16.0,1287801,2.55516,20577521,23.618,3.055,323769.6,80942.4
28,603926,铁流股份,1.045,29.97,29.68,30.27,29.36,29.66,1235382,4.11794,36920178,24.169,5.123,359640.0,89910.0
29,603920,世运电路,-0.101,19.69,19.71,19.84,19.2,19.71,3941398,4.43851,77064486,23.165,6.393,791144.2,174847.2
30,603919,金徽酒,0.435,18.47,18.21,18.53,18.0,18.39,1592540,1.37479,29139319,21.729,2.946,672308.0,213953.61715
31,603918,金桥信息,-7.146,21.96,23.2,23.69,21.29,23.65,4548472,3.68763,98670925,137.25,7.831,389405.7,270863.424
32,603909,合诚股份,-9.904,30.11,30.08,31.75,30.08,33.42,4681674,18.7267,141563517,45.545,5.12,301100.0,75275.0
33,603908,牧高笛,-0.023,42.88,42.8,43.38,42.0,42.89,585400,3.50749,25038977,45.137,6.405,285966.72,71566.72
34,603906,龙蟠科技,-1.395,19.09,18.75,19.3,18.7,19.36,2801072,5.38668,53240213,33.491,3.519,397072.0,99268.0
35,603903,中持股份,1.041,38.84,37.01,39.5,36.36,38.44,2555445,9.9785,98766889,63.672,6.026,397869.192,99467.298
36,603901,永创智能,0.824,11.01,10.9,11.1,10.81,10.92,1452400,0.94312,15922006,50.045,4.824,440400.0,169554.0
37,603900,通灵珠宝,0.563,30.36,30.06,30.49,30.06,30.19,1131091,1.86038,34218980,25.729,3.459,738341.8416,184585.4604
38,603899,晨光文具,-0.35,17.06,17.08,17.19,16.88,17.12,1134273,0.50637,19304251,31.84,6.046,1569520.0,382144.0
39,603898,好莱客,-0.964,32.86,32.96,33.2,32.08,33.18,1693151,1.90233,55012467,38.209,8.291,987196.55,292467.144
40,603896,寿仙谷,-2.609,32.85,32.61,33.49,31.52,33.73,3917946,11.21015,127815703,42.662,7.878,459243.0,114810.75
41,603889,新澳股份,-0.272,14.65,14.52,14.79,14.5,14.69,2452596,1.7279,35833199,29.3,3.886,476359.4,207943.78475
42,603888,新华网,0.977,27.9,27.68,27.99,27.1,27.63,1746255,1.34579,48199121,16.412,2.374,1448091.9144,362022.9786
43,603887,城地股份,0.241,29.09,29.03,29.42,28.43,29.02,337100,1.37033,9735371,42.159,4.087,285372.9,71561.4
44,603886,元祖股份,1.412,18.68,18.25,18.79,18.25,18.42,1373945,2.29003,25490701,27.072,4.175,448320.0,112074.10646
45,603885,吉祥航空,-1.185,14.17,14.37,14.42,14.04,14.34,6769814,1.26064,96108911,13.892,2.26,2546368.09691,760948.096909
46,603883,老百姓,-2.329,44.45,45.3,45.49,44.15,45.51,1097581,1.30473,49078205,40.045,6.044,1186815.0,373927.806245
47,603881,数据港,0.093,43.01,42.0,43.79,41.5,42.97,3653954,6.94008,156053491,86.02,11.141,905732.570908,226447.65
