,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,300554,N三超,矿物制品,江苏,29.61,0.13,0.52,31132.78,19869.5,9722.61,10526.3,2.02,0.729,5.73,3.77,20170421,7117.87,1.37,35.83,13.17,48.87,24.33,24216
2,300642,N透景,医疗保健,上海,61.54,0.15,0.6,35282.6,22155.84,9853.07,6551.31,1.09,0.211,6.7,7.76,20170421,17194.35,2.87,0.0,0.0,82.18,28.92,0
3,603232,N格尔,软件服务,上海,90.56,0.15,0.61,33287.34,22534.4,6124.56,5276.22,0.86,0.072,6.46,4.03,20170421,17201.34,2.82,0.0,0.0,64.73,9.17,15369
4,300645,N正元,软件服务,浙江,25.91,0.17,0.67,57127.92,48341.26,751.42,13548.47,2.03,0.686,6.86,2.59,20170421,14196.87,2.13,13.62,36.77,40.35,12.59,30724
1,603139,N康惠,中成药,陕西,55.73,0.25,1.0,64216.73,50646.03,5408.14,11689.55,1.17,0.094,7.17,2.93,20170421,31171.68,3.12,0.0,0.0,57.76,15.94,27316
7,603803,瑞斯康达,通信设备,北京,38.44,0.57,4.21,272469.63,226110.3,27243.55,1860.82,0.04,0.141,4.45,4.88,20170420,108473.65,2.58,0.0,0.0,56.57,12.43,52523
16,603081,大丰实业,专用机械,浙江,45.08,0.52,4.02,183072.97,134155.52,25226.28,5280.75,0.13,0.092,2.46,6.71,20170420,40209.3,1.0,0.0,0.0,31.46,13.87,48245
15,603225,新凤鸣,化纤,浙江,42.08,0.77,6.02,862082.81,196982.61,604076.88,3230.95,0.05,1.215,5.92,8.64,20170418,244328.92,4.06,19.38,140.26,9.25,4.19,69080
17,300641,正丹股份,化工原料,江苏,38.94,0.72,2.88,94441.56,70094.81,19051.0,3939.23,0.14,0.132,2.69,7.65,20170418,28954.4,1.01,0.0,0.0,22.68,13.23,123092
5,002863,今飞凯达,汽车配件,浙江,31.84,0.56,2.22,290186.03,134217.45,127243.77,9150.5,0.41,0.33,3.55,2.96,20170418,29371.68,1.33,7.62,27.19,17.34,3.19,97808
28,300604,长川科技,专用机械,浙江,95.26,0.19,0.76,26739.76,22913.82,446.57,9503.65,1.25,0.055,3.82,5.48,20170417,5872.1,0.77,0.0,0.0,54.38,20.45,35160
29,300640,德艺文创,文教休闲,福建,35.7,0.2,0.8,17303.88,13231.92,1846.25,875.69,0.11,0.556,1.92,10.31,20170417,2962.93,0.37,4.81,39.49,23.7,12.59,36834
14,603050,科林电气,电气设备,河北,47.81,0.33,1.33,115509.52,91858.75,17766.82,21121.35,1.58,0.499,6.21,3.84,20170414,28356.39,2.13,31.09,17.48,28.79,8.38,32980
25,603826,坤彩科技,染料涂料,福建,52.14,0.9,3.6,84754.18,29660.25,36664.62,3284.83,0.09,0.302,1.82,8.65,20170414,16668.35,0.46,24.67,8.22,46.91,26.64,85721
22,002861,瀛通通讯,通信设备,湖北,51.85,0.31,1.23,68650.4,42973.65,17886.52,3235.7,0.26,0.849,6.11,7.2,20170413,40640.65,3.31,-21.32,-22.59,32.81,17.2,56325
26,603797,联泰环保,环境保护,广东,58.78,0.53,2.13,240982.3,13236.45,519.81,26162.51,1.23,0.065,4.45,3.42,20170413,27277.73,1.28,0.0,0.0,57.71,30.76,49067
27,300638,广和通,通信设备,深圳,52.89,0.2,0.8,27532.1,26171.13,886.96,934.7,0.12,0.504,2.38,11.21,20170413,6407.91,0.8,5.58,15.47,28.23,11.71,36728
12,300637,扬帆新材,化工原料,浙江,55.99,0.3,1.2,45068.46,25045.67,16878.31,8135.9,0.68,0.502,3.1,9.08,20170412,9226.05,0.77,0.29,44.33,34.83,15.64,54994
18,300639,凯普生物,医疗保健,广东,61.02,0.23,0.9,57915.15,24890.86,25004.0,15447.27,1.72,0.845,7.43,6.94,20170412,26106.93,2.9,15.51,16.69,85.67,19.1,43575
3156,601366,利群股份,百货,山东,40.83,1.76,8.61,705876.56,267935.22,256237.02,43840.25,0.51,0.421,3.98,4.31,20170412,131173.48,1.52,-2.79,7.01,19.16,3.52,146229
1390,002860,星帅尔,电气设备,浙江,52.09,0.15,0.76,42118.06,30654.88,8327.33,6480.98,0.85,0.97,5.53,9.14,20170412,18330.65,2.41,16.25,26.29,41.57,25.04,31567
10,002862,实丰文化,文教休闲,广东,68.85,0.2,0.8,33777.53,21867.42,8275.25,12461.55,1.56,0.501,4.92,7.01,20170411,9796.23,1.22,-3.18,-6.3,25.05,9.89,37057
189,603078,江化微,化工原料,江苏,54.32,0.15,0.6,55547.93,34429.05,15265.37,5922.65,0.99,1.149,8.49,7.35,20170410,25510.07,4.25,2.28,11.32,41.41,20.7,15013
3182,603906,龙蟠科技,化工原料,江苏,61.42,0.52,2.08,102126.0,54783.91,35761.76,25907.17,1.25,0.431,4.14,6.39,20170410,21375.5,1.03,26.26,55.18,36.4,8.65,47635
3098,002859,洁美科技,元器件,浙江,49.76,0.23,1.02,114259.21,47892.78,41872.42,18340.95,1.79,1.35,6.98,9.63,20170407,26277.55,2.57,27.66,54.67,38.58,18.33,44610
3073,603538,美诺华,化学制药,浙江,53.68,0.3,1.2,95529.15,34671.93,24591.78,15551.32,1.3,0.657,7.67,4.6,20170407,43476.06,3.62,-3.19,2.37,37.46,13.64,29922
19,300632,光莆股份,半导体,福建,81.71,0.29,1.16,46965.71,23470.38,19792.46,4097.66,0.35,0.372,3.28,9.25,20170406,14619.11,1.26,0.0,0.0,31.43,13.42,53145
2999,603586,金麒麟,汽车配件,山东,40.05,0.53,2.09,179397.55,92219.71,66365.5,24591.68,1.17,0.99,6.31,6.28,20170406,53542.21,2.56,15.04,28.35,35.92,16.05,51393
23,300633,开立医疗,医疗保健,深圳,66.58,0.4,4.0,101456.81,79109.56,4121.85,7478.93,0.19,0.322,2.0,10.75,20170406,22939.65,0.57,4.89,21.78,64.99,17.92,71423
2921,603385,惠达卫浴,家居用品,河北,38.55,0.71,2.84,330430.25,155838.48,107172.45,24274.18,0.85,0.74,9.08,3.14,20170405,137200.56,4.83,2.05,160.03,27.57,9.23,64444
864,300636,同和药业,化学制药,江西,55.38,0.2,0.8,41896.05,21353.2,19087.25,12014.51,1.5,0.725,5.08,7.91,20170331,11218.73,1.4,-9.0,-7.77,38.71,23.19,36800
1978,300635,达安股份,建筑施工,广东,56.56,0.21,0.85,50438.46,49604.96,67.4,8595.96,1.01,0.649,5.41,6.78,20170331,17130.89,2.02,2.84,8.01,32.34,13.51,39795
2911,601200,上海环境,环境保护,上海,47.28,3.11,7.03,1189158.5,170768.63,34481.62,43149.98,0.61,0.662,6.96,4.5,20170331,179192.31,2.55,0.0,0.0,34.73,18.23,98764
2842,603303,得邦照明,家用电器,浙江,28.1,0.6,2.4,231999.02,179101.77,24227.9,9600.78,0.4,1.328,6.64,5.62,20170330,83048.4,3.46,-0.14,-6.59,20.79,9.88,54322
951,603041,美思德,化工原料,江苏,49.15,0.25,1.0,48410.73,31768.9,13959.75,6757.07,0.68,0.683,5.42,6.19,20170330,23048.82,2.3,4.94,1.36,42.09,24.19,27801
3169,601228,广州港,港口,广东,89.91,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.108,1.82,5.35,20170329,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
1678,300630,普利制药,化学制药,海南,69.51,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,11.85,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221
