code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300630,N普利,化学制药,海南,28.96,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,4.94,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221
603833,N欧派,家居用品,广东,31.53,0.42,4.15,554842.75,219891.17,154291.38,65022.61,1.57,2.288,7.72,9.35,20170328,173348.88,4.18,27.23,94.39,36.55,13.31,39144
603178,N圣龙,汽车配件,浙江,26.79,0.5,2.0,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,3.98,20170328,21428.82,1.07,12.33,17.81,23.24,6.46,49497
600540,新赛股份,种植业,新疆,0.0,4.63,4.71,311359.59,156800.34,72435.15,80475.07,1.71,-0.012,2.3,4.1,20040107,-23466.72,-0.5,46.09,72.79,6.71,-1.09,35548
002774,快意电梯,运输设备,广东,36.21,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,5.82,20170324,13847.5,0.41,4.68,49.25,37.84,12.56,142948
603227,雪峰科技,化工原料,新疆,3715.15,4.22,6.59,264678.69,136701.48,88838.6,32702.28,0.5,0.002,1.75,5.69,20150515,11085.57,0.17,-0.78,-98.66,24.9,0.22,46228
603133,碳元科技,元器件,江苏,50.73,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,6.2,20170320,18411.78,0.89,40.6,51.09,30.32,17.67,14
603388,元成股份,建筑施工,浙江,39.75,0.25,1.0,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,3.84,20170324,19665.52,1.97,22.99,8.56,24.79,9.72,27751
002526,山东矿机,工程机械,山东,565.11,4.59,5.34,266359.69,177000.45,51222.51,111371.92,2.09,0.02,3.19,3.55,20101217,43.7,0.0,-20.39,103.99,16.01,1.25,48000
603768,常青股份,汽车配件,安徽,39.1,0.51,2.04,153311.56,58885.82,64658.11,6359.89,0.31,0.727,4.88,5.83,20170324,48091.96,2.36,31.26,92.25,26.41,9.94,46888
