code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603612,N索通,矿物制品,山东,6.22,0.6,2.41,318615.88,142029.59,0.0,0.0,0.0,0.456,8.5,1.34,20170718,0.0,0.0,0.0,0.0,0.0,17.63,55248
601101,昊华能源,煤炭开采,北京,9.61,12.0,12.0,2045091.25,348942.16,567832.0,323487.13,2.7,0.259,5.84,1.7,20100331,158210.88,1.32,49.18,407.17,38.6,19.59,41773
000797,中国武夷,全国地产,福建,41.57,8.56,10.0,1139538.75,1066251.0,27459.38,84868.74,0.85,0.063,2.3,4.51,19970715,84238.57,0.84,40.83,277.93,32.69,11.32,28221
600354,敦煌种业,种植业,甘肃,4.06,4.48,5.28,320583.75,214077.09,55810.8,90393.36,1.71,0.519,2.22,3.8,20040115,-29314.35,-0.56,-15.12,558.53,25.07,302.22,52379
300178,腾邦国际,旅游服务,深圳,40.8,5.28,5.56,511633.56,354065.22,28075.09,39887.96,0.72,0.088,2.96,4.85,20110215,69266.15,1.25,155.54,16.81,24.23,8.38,43675
300672,国科微,半导体,湖南,0.0,0.28,1.12,74081.03,53376.2,8120.18,51670.51,4.62,-0.241,8.17,2.19,20170712,7488.05,0.67,0.0,0.0,47.31,-82.46,55701
000628,高新发展,园区开发,四川,356.14,1.88,3.11,344280.22,271960.88,14113.1,72843.11,2.34,0.008,2.35,4.57,19961118,-31777.97,-1.02,-46.09,-1.19,25.78,1.83,24624
603838,四通股份,陶瓷,广东,61.68,0.97,2.67,81923.88,45678.73,8899.36,13989.55,0.52,0.052,2.55,5.04,20150701,24692.98,0.93,-10.66,-7.79,33.79,14.52,32587
300671,富满电子,半导体,深圳,83.84,0.25,1.01,48510.34,36662.6,10224.03,11176.2,1.1,0.082,3.66,7.52,20170705,8280.41,0.82,0.0,0.0,27.96,9.83,50980
600546,山煤国际,煤炭开采,山西,124.67,19.82,19.82,4401131.5,2008911.25,1045053.5,224566.55,1.13,0.012,2.05,2.85,20030731,-60361.76,-0.3,35.1,146.34,7.48,0.22,58305
603031,安德利,百货,安徽,94.55,0.2,0.8,143029.61,49071.56,64659.16,24486.02,3.06,0.098,7.41,5.0,20160822,26165.5,3.27,0.0,0.0,19.12,1.63,13178
600148,长春一东,汽车配件,吉林,98.86,1.42,1.42,100964.43,75206.95,22679.89,8911.74,0.63,0.078,2.74,11.2,19980520,12028.87,0.85,78.41,6546.52,30.35,5.49,36344
002282,博深工具,轻工机械,河北,381.38,1.88,3.38,102946.56,56167.28,24796.61,30876.9,0.91,0.012,2.39,7.8,20090821,13199.36,0.39,4.36,6.87,32.48,3.41,52100
002802,洪汇新材,化工原料,江苏,85.38,0.36,1.08,58561.76,40838.98,10973.07,23470.68,2.17,0.122,5.19,8.05,20160629,19374.0,1.79,14.54,8.32,28.44,17.67,17520
002809,红墙股份,化工原料,广东,76.36,0.3,1.2,102800.88,92019.43,7684.56,43456.37,3.62,0.147,7.53,5.96,20160823,35848.44,2.99,0.0,0.0,25.69,14.31,18770
603305,旭升股份,汽车配件,浙江,52.07,0.42,4.01,86628.21,32402.9,34200.23,0.0,0.0,0.276,1.7,16.93,20170710,20897.92,0.52,0.0,0.0,46.83,31.51,40304
603223,恒通股份,公路,山东,46.46,0.79,1.2,95011.53,30255.09,41139.64,28106.4,2.34,0.134,5.42,4.58,20150630,23134.31,1.93,86.12,37.88,7.81,2.29,13860
600083,博信股份,建筑施工,广东,0.0,2.27,2.3,12254.5,9971.78,267.57,9643.53,0.42,-0.002,0.24,61.23,19970606,-27626.46,-1.2,-21.56,-131.21,30.94,-3.67,18147
300676,华大基因,医疗保健,深圳,25.17,0.4,4.0,416009.97,312806.94,56343.95,252098.59,6.3,0.236,9.3,2.56,20170714,40398.62,1.01,0.0,0.0,61.24,24.34,77471
002761,多喜爱,纺织,湖南,250.08,0.56,1.2,86451.09,48055.1,14282.86,24021.73,2.0,0.036,5.44,6.53,20150610,26067.02,2.17,2.39,-48.89,39.16,2.99,6050
002738,中矿资源,建筑施工,北京,2926.23,1.01,1.92,96501.45,66599.65,19785.84,32213.73,1.67,0.002,3.49,6.74,20141230,36891.55,1.92,243.23,130.94,28.64,0.52,11278
002636,金安国纪,元器件,上海,22.74,2.46,7.28,329334.38,234488.38,80245.8,19133.28,0.26,0.209,2.59,7.35,20111125,90844.81,1.25,35.57,280.67,31.63,18.03,43483
000672,上峰水泥,水泥,甘肃,25.76,8.14,8.14,587460.25,229639.52,234797.8,-97110.06,-1.19,0.108,1.9,5.84,19961218,146174.73,1.8,62.17,414.2,28.79,11.57,92420
300391,康跃科技,机械基件,山东,405.26,0.62,1.98,76058.77,40430.84,27078.97,6815.7,0.34,0.01,2.18,7.97,20140801,11194.53,0.56,9.88,61.6,34.12,3.13,11510
300093,金刚玻璃,玻璃,广东,1801.17,1.94,2.16,123477.65,70219.67,46373.28,38683.3,1.79,0.002,4.05,3.8,20100708,22409.89,1.04,-10.31,15.36,31.39,0.79,13171
300311,任子行,软件服务,广东,154.53,2.21,4.48,207066.77,56001.91,17501.17,50484.98,1.13,0.024,2.56,5.71,20120425,28729.15,0.64,115.43,16.46,39.52,4.82,43083
300449,汉邦高科,电脑设备,北京,0.0,0.84,1.43,92757.55,83286.9,678.9,29997.19,2.09,-0.107,4.52,5.94,20150422,22676.31,1.58,6.12,-23.14,17.43,-24.62,16101
600133,东湖高新,园区开发,湖北,2.72,5.38,6.34,2069152.38,1547193.13,86709.56,56897.58,0.9,1.083,4.04,2.92,19980212,112176.61,1.77,17.41,5861.98,11.64,55.22,60462
603133,碳元科技,元器件,江苏,118.74,0.52,2.08,102653.56,74226.4,15257.32,42398.89,2.04,0.08,4.18,7.64,20170320,19810.13,0.95,0.0,0.0,25.76,11.81,51462
600507,方大特钢,特种钢,江西,11.66,13.26,13.26,932952.19,515837.34,227393.63,4625.16,0.03,0.215,2.21,4.53,20030930,112489.47,0.85,62.43,360.84,21.97,10.34,56912
603595,东尼电子,元器件,浙江,29.48,0.25,1.0,59659.21,31871.44,17217.98,8614.61,0.86,0.465,3.98,6.89,20170712,12810.0,1.28,0.0,0.0,39.95,19.95,26124
603387,基蛋生物,生物制药,江苏,28.44,0.33,1.32,45075.96,28849.08,12472.0,5986.66,0.45,0.31,3.85,9.16,20170717,19652.67,1.49,0.0,0.0,82.1,44.23,34564
002234,民和股份,农业综合,山东,0.0,2.06,3.02,221426.22,68265.36,99621.81,86187.93,2.85,-0.251,3.16,5.26,20080516,-32778.76,-1.09,-23.59,-209.55,-11.17,-34.39,34955
600509,天富能源,火力发电,新疆,13.73,9.06,9.06,1985567.75,438151.09,845386.13,256670.55,2.83,0.148,5.4,1.51,20020228,111189.92,1.23,17.12,70.24,34.39,13.08,69611
600295,鄂尔多斯,小金属,内蒙,30.27,6.12,10.32,4626375.0,1493358.25,2248205.25,130596.22,1.27,0.107,7.15,1.82,20010426,450604.44,4.37,28.92,23.35,27.71,2.44,55448
600818,中路股份,文教休闲,上海,70.94,2.38,3.21,107689.26,35973.34,10038.62,1457.22,0.05,0.081,1.96,11.71,19940128,16522.14,0.51,-10.67,371.62,10.14,21.59,45309
600814,杭州解百,百货,浙江,42.99,3.1,7.15,483711.69,240050.16,99246.8,1428.49,0.02,0.06,3.18,3.26,19940114,131838.75,1.84,7.64,-28.44,22.06,2.94,35201
300350,华鹏飞,仓储物流,深圳,56.61,2.21,5.34,256877.52,87651.5,18772.57,120730.71,2.26,0.052,3.51,3.36,20120821,35006.1,0.66,21.28,45.56,34.63,15.58,20679
002423,中原特钢,特种钢,河南,0.0,4.66,5.03,379365.53,151678.7,202653.05,106785.57,2.12,-0.076,3.56,3.31,20100603,17623.72,0.35,-8.82,-81.37,1.36,-19.99,17800
300215,电科院,电气设备,江苏,313.78,5.24,7.58,380039.25,67959.61,185082.41,72307.56,0.95,0.009,2.51,4.61,20110511,35988.84,0.47,5.23,169.99,43.23,5.72,44873
002882,金龙羽,电气设备,深圳,49.23,0.8,4.25,105364.86,77861.4,20182.89,18243.64,0.43,0.05,2.2,4.46,20170717,19659.15,0.46,0.0,0.0,15.03,5.84,149272
600854,春兰股份,家用电器,江苏,0.0,5.19,5.19,246053.34,116626.72,31812.5,153354.7,2.95,-0.015,3.71,1.88,19940425,-64734.63,-1.25,23.24,-112.1,36.79,-15.77,37100
600516,方大炭素,矿物制品,甘肃,124.81,17.19,17.19,802012.31,521879.56,151920.05,167112.66,0.97,0.043,3.44,6.21,20020830,224820.84,1.31,46.36,566.34,33.28,10.61,163205
000971,高升控股,互联网,湖北,58.09,2.44,5.11,382660.97,104621.56,21142.84,331744.53,6.49,0.078,6.95,2.62,20000427,-28526.61,-0.56,55.01,14.06,35.72,18.61,29000
000540,中天金融,多元金融,贵州,9.46,39.49,47.0,7302043.0,5357706.0,322058.03,357246.97,0.76,0.2,3.4,2.23,19940202,681680.38,1.45,9.28,-5.63,39.99,15.43,222458
600433,冠豪高新,造纸,广东,123.33,11.9,12.71,414551.38,141749.45,221100.52,69587.4,0.55,0.013,2.0,3.15,20030619,49112.6,0.39,13.0,47.14,18.0,3.85,61195
000813,德展健康,化学制药,新疆,31.0,5.89,22.41,411126.97,348850.81,18437.1,145740.19,0.65,0.073,1.75,5.16,19980519,223461.66,1.0,13.79,24.53,84.63,46.54,23077
603186,华正新材,元器件,浙江,32.07,0.32,1.29,142989.05,104367.72,21269.07,18870.24,1.46,0.316,4.51,8.97,20170103,24071.76,1.86,0.0,0.0,23.38,10.53,9583
002458,益生股份,农业综合,山东,645.06,1.75,3.37,193499.56,33007.55,98247.0,98468.7,2.92,0.01,4.43,5.86,20100810,10615.58,0.31,-38.9,-95.99,13.41,1.62,26820
002051,中工国际,建筑施工,北京,31.56,11.08,11.13,1847583.38,1527783.25,164035.38,182170.13,1.64,0.178,6.6,3.41,20060619,404523.88,3.64,15.39,21.36,21.62,13.24,23085
601233,桐昆股份,化纤,浙江,14.42,12.05,12.32,2107671.25,884742.81,919241.63,551884.5,4.48,0.261,9.17,1.64,20110518,411275.66,3.34,26.41,105.63,10.44,5.23,32453
600789,鲁抗医药,化学制药,山东,89.51,5.82,5.82,440247.69,198038.97,150116.31,109587.92,1.88,0.023,3.21,2.52,19970226,4039.59,0.07,-2.06,213.67,24.79,2.08,109134
600075,新疆天业,化工原料,新疆,15.46,6.14,9.73,867296.13,257913.2,547603.19,160650.25,1.65,0.162,4.14,2.41,19970617,147177.13,1.51,-23.09,42.62,34.85,16.25,51321
000050,深天马Ａ,元器件,深圳,33.15,12.12,14.01,2275365.5,731901.38,612315.13,1133764.63,8.09,0.161,9.99,2.13,19950315,116406.86,0.83,18.4,147.72,23.05,7.76,65362
002154,报 喜 鸟,服饰,浙江,90.8,10.69,12.49,398232.47,158855.27,77491.11,5671.01,0.05,0.01,2.06,1.98,20070816,100366.24,0.8,16.62,48.14,61.69,2.54,122521
000983,西山煤电,煤炭开采,山西,16.83,31.51,31.51,5581733.0,1671689.13,2239747.5,93211.74,0.3,0.148,5.41,1.84,20000726,1028351.81,3.26,63.01,856.01,36.31,6.73,147251
600808,马钢股份,普钢,安徽,9.27,59.68,77.01,6876288.0,2644782.75,3474090.0,834872.69,1.08,0.117,2.69,1.62,19940106,71202.06,0.09,87.91,359.0,11.44,5.2,252189
601918,新集能源,煤炭开采,安徽,16.45,25.91,25.91,3144210.25,260954.42,1551123.75,178900.02,0.69,0.07,1.84,2.52,20071219,-68415.53,-0.26,51.47,934.47,42.39,10.06,202767
000955,欣龙控股,纺织,海南,387.18,5.38,5.38,115493.26,42685.34,46556.7,53404.93,0.99,0.004,1.34,4.19,19991209,-35361.75,-0.66,45.36,124.3,10.4,1.42,38451
002524,光正集团,供气供热,新疆,0.0,5.01,5.03,158656.27,33958.1,82143.52,26474.49,0.53,-0.026,1.46,5.19,20101217,-6323.1,-0.13,-1.03,-29.41,15.75,-13.9,28478
