code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002856,美芝股份,装修装饰,深圳,57.59,0.25,1.01,109391.71,105008.36,757.1,6482.72,0.64,0.514,4.48,6.61,20170320,17707.4,1.75,-10.61,11.71,15.15,5.49,46989
300621,维业股份,装修装饰,深圳,65.45,0.34,1.36,161155.69,148236.3,2493.37,9843.62,0.72,0.405,4.41,6.01,20170316,20899.88,1.54,19.34,51.21,13.4,3.45,60663
300622,博士眼镜,其他商业,深圳,75.84,0.21,0.86,29869.85,23288.67,4237.21,9865.71,1.15,0.44,3.81,8.76,20170315,6525.46,0.76,10.72,7.06,75.74,9.08,40152
002851,麦格米特,电气设备,深圳,129.8,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,15.48,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,81113
002850,科达利,机械基件,深圳,75.14,0.35,1.4,172321.41,91797.35,57926.5,22797.03,1.63,1.662,8.86,14.1,20170302,55362.57,3.95,28.45,50.61,30.49,15.99,62072
300615,欣天科技,元器件,深圳,83.79,0.2,0.8,30486.28,20036.81,4913.51,1408.49,0.18,0.556,3.28,18.94,20170215,10280.98,1.29,0.0,0.0,48.93,25.46,36743
300601,康泰生物,生物制药,深圳,154.95,0.42,4.11,154066.98,55106.4,27172.19,19597.1,0.48,0.181,1.96,19.12,20170207,15691.07,0.38,0.0,0.0,75.48,21.88,73685
300602,飞荣达,元器件,深圳,70.14,0.25,1.0,78993.96,59788.05,9119.86,5789.02,0.58,0.758,6.86,10.34,20170126,35376.81,3.54,0.0,0.0,31.76,13.34,45581
002845,同兴达,元器件,深圳,147.78,0.24,0.96,171518.3,148252.63,19022.92,12223.2,1.27,0.419,5.65,14.59,20170125,19922.9,2.08,0.0,0.0,7.92,2.24,23446
603228,景旺电子,元器件,深圳,38.07,0.48,4.08,317009.59,194374.45,110117.42,3928.62,0.1,1.004,4.66,10.93,20170106,122314.7,3.0,22.78,26.67,31.89,17.07,43122
002837,英维克,专用机械,深圳,64.7,0.2,0.8,57324.76,53565.11,0.0,0.0,0.0,0.689,4.51,13.17,20161229,0.0,0.0,30.74,13.42,0.0,14.83,36772
002835,同为股份,元器件,深圳,81.29,0.27,1.08,45403.71,28976.74,0.0,0.0,0.0,0.401,4.01,10.85,20161228,0.0,0.0,4.03,3.39,0.0,11.55,51255
300576,容大感光,染料涂料,深圳,108.99,0.2,0.8,32932.92,24597.1,3016.58,5514.1,0.69,0.345,3.85,13.0,20161220,10675.37,1.33,11.75,34.28,35.96,12.11,36455
002831,裕同科技,广告包装,深圳,40.42,0.4,4.0,525620.19,314531.28,122138.07,0.21,0.0,1.377,7.08,10.48,20161216,208163.94,5.2,20.25,23.22,33.49,15.34,29441
002830,名雕股份,装修装饰,深圳,206.02,0.17,0.67,67970.17,49098.15,10466.05,1046.74,0.16,0.261,6.13,11.7,20161213,22176.21,3.33,-1.15,-3.17,30.38,3.94,30825
300572,安车检测,电器仪表,深圳,79.57,0.17,0.67,60667.19,52933.5,3942.51,7660.45,1.15,0.583,5.85,10.58,20161206,15201.12,2.28,0.0,0.0,47.34,17.61,12256
300570,太辰光,元器件,深圳,65.84,0.32,1.28,49178.12,33797.15,4404.25,2334.07,0.18,0.593,4.33,12.03,20161206,25452.05,1.99,0.0,0.0,35.99,24.01,25333
