,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Drop_Down
2949,300508,维宏股份,软件服务,上海,125.79,0.12,0.57,45146.43,31655.1,12593.21,20013.46,3.52,0.68,7.56,13.79,20160419,15298.5,2.69,0.0,0.0,69.91,33.82,12198,-68.07
2904,300520,科大国创,软件服务,安徽,135.86,0.23,0.96,103386.15,92502.43,3890.8,42200.87,4.39,0.72,5.49,14.66,20160708,17597.71,1.83,46.45,28.08,36.88,9.58,19394,-64.22
2885,300505,川金诺,化工原料,云南,100.31,0.38,0.93,78615.05,43911.57,21036.0,27733.4,2.97,0.51,6.49,9.66,20160315,20715.13,2.22,0.0,0.0,36.4,8.84,16734,-62.28
2866,300516,久之洋,电器仪表,湖北,170.67,0.3,1.2,117839.25,99404.25,8376.42,62806.51,5.23,0.5,8.98,11.01,20160602,29507.89,2.46,0.0,0.0,46.84,22.2,29803,-59.55
2172,603777,来伊份,其他商业,上海,104.97,0.6,2.4,246923.05,161823.56,51366.69,98918.18,4.12,0.334,10.1,4.63,20161012,55648.3,2.32,0.0,0.0,45.87,3.43,52930,-59.24
3037,300551,古鳌科技,专用机械,上海,219.98,0.18,0.73,45062.06,38999.87,4841.93,4448.41,0.61,0.28,3.93,15.71,20161018,17176.26,2.34,0.0,0.0,48.25,9.73,33390,-59.19
219,300523,辰安科技,软件服务,北京,1251.11,0.2,0.8,113403.46,79125.65,12515.62,46765.45,5.85,0.08,9.01,11.66,20160726,16338.07,2.04,0.0,0.0,53.73,2.27,16589,-58.31
2269,300513,恒泰实达,软件服务,北京,1260.4,0.19,0.76,60794.36,58297.01,437.55,26995.9,3.54,0.06,6.66,12.39,20160530,14516.32,1.91,0.0,0.0,28.59,2.1,16936,-57.97
2776,300529,健帆生物,医疗保健,广东,93.29,0.42,4.17,121834.07,92711.68,25518.67,37572.43,0.9,0.37,2.72,15.28,20160802,26611.11,0.64,0.0,0.0,84.23,37.28,36265,-57.54
3045,300556,丝路视觉,软件服务,深圳,385.46,0.28,1.11,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,15.97,20161104,9011.55,0.81,0.0,0.0,41.02,4.26,24270,-56.95
2359,300512,中亚股份,专用机械,浙江,53.2,0.68,2.7,194594.97,163627.8,10065.26,56840.71,2.11,0.51,4.8,6.55,20160526,40554.32,1.5,0.0,0.0,49.04,25.15,30460,-56.56
670,300506,名家汇,建筑施工,深圳,176.93,1.32,3.0,78306.06,63093.8,2270.63,2594.49,0.09,0.18,1.8,21.45,20160324,19462.72,0.65,26.64,55.18,54.3,22.67,43965,-56.5
