,Unnamed: 0,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
66,66,603819,神力股份,-1.912,23.09,23.0,23.5,21.82,23.54,1735431,5.78477,39357746,47.122,3.754,277080.0,69270.0
250,250,603178,圣龙股份,-0.063,15.85,15.85,16.1,15.01,15.86,2146507,4.29301,33624561,29.352,4.088,317000.0,79250.0
261,261,603138,海量数据,-2.488,37.63,37.95,38.3,35.05,38.59,2509499,9.41651,92711487,53.075,9.057,401135.8,100283.95
305,305,603029,天鹅股份,5.873,32.99,31.28,34.13,28.15,31.16,8203011,22.45834,257124682,99.97,4.339,307928.66,120497.49254
535,535,600896,览海投资,2.287,8.05,7.99,8.08,7.59,7.87,3057393,0.52976,24058038,-14.123,3.209,699624.755375,464588.259765
649,649,600759,洲际油气,-4.074,5.18,5.36,5.36,4.86,5.4,43532358,2.75377,221010774,272.632,2.149,1172496.89432,818869.582062
936,936,600385,山东金泰,0.673,13.47,13.35,13.5,12.33,13.38,5679259,3.9778,73141384,673.5,26.438,199500.328356,192316.327458
1036,1036,600257,XD大湖股,-1.218,6.49,6.52,6.55,5.91,6.57,7669424,1.79591,49215027,466.906,2.417,312322.935012,277155.45
1272,1272,300638,广和通,-0.993,29.9,29.79,30.1,28.2,30.2,1581246,7.90623,46330948,44.627,7.228,239200.0,59800.0
1275,1275,300635,达安股份,-1.29,28.31,28.3,28.99,26.7,28.68,988620,4.6633,27551840,32.54,4.303,240068.8,60017.2
1296,1296,300611,美力科技,-1.405,18.24,18.22,18.58,17.24,18.5,4109272,9.18478,73719286,22.244,2.48,326405.8032,81605.76
1297,1297,300610,晨化股份,-0.768,19.38,19.3,19.53,18.01,19.53,1538567,4.10285,28978951,26.189,3.089,290700.0,72675.0
1307,1307,300600,瑞特股份,-3.563,46.56,47.0,47.4,43.6,48.28,1757586,7.03034,79689038,34.235,5.457,465600.0,116400.0
1317,1317,300589,江龙船艇,-1.918,24.55,24.33,25.3,22.77,25.03,4630484,16.43706,111981466,43.07,7.572,276607.305,69159.805
1330,1330,300576,容大感光,-1.158,19.64,19.6,19.97,18.1,19.87,1628125,5.42708,31282829,34.456,4.048,235680.0,58920.0
1358,1358,300546,雄帝科技,-2.383,27.85,27.74,28.26,26.0,28.53,2648640,7.94195,72576003,20.036,2.547,376545.925,92879.75
1359,1359,300545,联得装备,-4.861,53.04,55.7,55.7,50.21,55.75,1738955,9.75297,90971461,80.364,8.066,382238.785344,94570.32
1378,1378,300525,博思软件,-2.221,39.19,39.9,40.47,36.3,40.08,665028,3.88905,25504250,59.514,6.414,267036.741,67014.9
1450,1450,300450,先导智能,-2.655,60.5,62.11,62.88,57.32,62.15,9241182,5.46869,560354891,84.924,23.855,2468400.0,1022349.57
1472,1472,300428,四通新材,-1.793,20.81,20.69,21.19,19.6,21.19,3911904,6.26908,80782485,71.759,7.856,504434.4,129854.4
1474,1474,300426,唐德影视,1.009,21.03,20.4,21.24,19.0,20.82,4164703,2.77177,84197975,46.733,8.058,841200.0,315984.508995
1509,1509,300391,康跃科技,9.994,17.39,15.86,17.39,15.05,15.81,6774267,10.98381,110857869,579.667,7.974,344679.216685,107252.825
1532,1532,300368,汇金股份,-3.306,11.99,12.4,12.57,11.2,12.4,7705347,3.00818,91011003,142.568,6.074,659853.792026,307119.11395
1683,1683,300216,千山药机,-0.414,21.65,21.49,21.85,19.94,21.74,6833517,2.62339,143181338,37.982,6.482,782506.6018,563948.957655
1697,1697,300202,聚龙股份,-0.248,16.06,15.99,16.16,15.15,16.1,6419854,1.52422,100806652,28.175,4.723,882503.424,676432.07951
1745,1745,300153,科泰电源,-3.816,13.61,13.7,13.85,12.82,14.15,14997435,4.69311,201034385,90.733,4.446,435520.0,434924.672741
1746,1746,300152,科融环境,0.563,7.15,7.11,7.24,6.7,7.11,16316522,2.28907,114120033,-39.722,3.675,509652.0,509652.0
