code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002858,力盛赛车,文教休闲,上海,35.94,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,3.95,20170324,11122.82,1.76,9.67,32.23,33.33,13.56,29413
300627,华测导航,通信设备,上海,34.58,0.3,1.19,50236.1,44568.78,1471.15,7094.58,0.6,0.857,3.44,8.62,20170321,12881.53,1.08,33.14,93.07,55.15,21.18,54911
603960,克来机电,专用机械,上海,79.43,0.2,0.8,38050.3,24863.05,3202.75,6440.65,0.81,0.447,3.9,9.11,20170314,9833.0,1.23,24.25,16.88,35.39,18.6,18573
603991,至正股份,塑料,上海,115.5,0.19,0.75,46582.14,26469.76,2225.7,8911.82,1.2,0.503,4.41,13.16,20170308,9107.85,1.22,16.69,11.27,27.33,10.67,17382
300613,富瀚微,半导体,上海,104.01,0.11,0.44,33418.15,31819.09,1266.75,2690.9,0.61,2.516,8.16,32.07,20170220,19358.39,4.36,77.14,199.37,56.96,34.77,20647
300609,汇纳科技,互联网,上海,131.26,0.25,1.0,29602.91,27178.85,491.42,5702.33,0.57,0.64,3.41,18.6,20170215,11073.75,1.11,28.11,29.99,69.19,27.93,45678
603330,上海天洋,塑料,上海,102.84,0.15,0.6,44976.35,28997.66,0.0,0.0,0.0,0.664,7.75,11.75,20170213,0.0,0.0,0.0,0.0,0.0,13.88,14043
603881,数据港,互联网,上海,190.06,0.53,2.11,108636.36,24827.35,51951.32,4575.37,0.22,0.27,2.5,27.44,20170208,18443.53,0.88,0.0,0.0,40.52,19.59,50979
300578,会畅通讯,通信设备,上海,126.61,0.18,0.72,20241.85,17271.92,2205.06,428.68,0.06,0.386,2.35,27.73,20170125,5314.89,0.74,0.0,0.0,49.15,14.42,32800
603037,凯众股份,汽车配件,上海,53.74,0.2,0.8,43280.25,32065.02,0.0,0.0,0.0,0.808,6.53,8.87,20170120,0.0,0.0,0.0,0.0,0.0,28.92,18508
603039,泛微网络,软件服务,上海,90.71,0.17,0.67,74670.45,60431.88,11742.99,0.0,0.0,1.3,5.9,15.04,20170113,21910.39,3.29,45.56,29.41,95.93,14.14,15448
603690,至纯科技,专用机械,上海,125.13,0.52,2.08,57301.45,43935.48,11052.0,523.47,0.03,0.172,1.82,15.81,20170113,11244.19,0.54,34.16,210.45,37.51,20.03,46477
300590,移为通信,通信设备,上海,79.67,0.2,0.8,19933.81,19129.63,189.71,169.74,0.02,0.721,2.74,27.92,20170111,8948.9,1.12,-14.37,-18.95,61.07,32.93,36564
603579,荣泰健康,医疗保健,上海,49.53,0.18,0.7,108015.01,79340.77,13627.44,8505.99,1.22,3.94,8.6,17.01,20170111,28741.8,4.11,25.5,44.81,38.16,16.08,16236
603886,元祖股份,食品,上海,39.72,0.6,2.4,152418.31,100271.96,24310.85,51.17,0.0,0.616,2.87,11.38,20161228,26176.59,1.09,1.11,22.64,64.03,11.13,55808
002825,纳尔股份,化工原料,上海,89.78,0.25,1.0,46835.26,27741.95,14853.76,1918.71,0.19,0.488,4.53,12.88,20161129,21985.81,2.2,0.28,6.09,24.83,12.26,46122
603987,康德莱,医疗保健,上海,65.48,0.53,2.1,138543.44,61346.1,66355.77,20036.95,0.95,0.364,4.21,7.53,20161121,27593.8,1.31,0.0,0.0,32.89,9.32,47595
603633,徕木股份,元器件,上海,98.93,0.3,1.2,83664.28,0.0,0.0,0.0,0.0,0.317,5.4,7.74,20161117,0.0,0.0,0.0,0.0,0.0,15.3,29238
601229,上海银行,银行,上海,9.88,6.0,60.04,165092416.0,0.0,390415.59,2039269.75,3.4,1.817,19.13,1.25,20161116,3215868.5,5.36,0.0,0.0,0.0,41.3,551958
300551,古鳌科技,专用机械,上海,219.98,0.18,0.73,45062.06,38999.87,4841.93,4448.41,0.61,0.28,3.93,15.71,20161018,17176.26,2.34,0.0,0.0,48.25,9.73,33390
603777,来伊份,其他商业,上海,104.97,0.6,2.4,246923.05,161823.56,51366.69,98918.18,4.12,0.334,10.1,4.63,20161012,55648.3,2.32,0.0,0.0,45.87,3.43,52930
603887,城地股份,建筑施工,上海,90.2,0.25,0.98,102469.11,90463.86,8154.58,34492.75,3.52,0.69,6.96,7.31,20161010,21523.09,2.19,1.81,-1.1,19.55,9.79,16111
603189,网达软件,软件服务,上海,287.07,0.55,2.21,77051.49,65511.26,811.62,37120.5,1.68,0.12,3.32,10.42,20160914,12281.57,0.56,0.0,0.0,48.98,15.48,46791
603515,欧普照明,电气设备,上海,54.1,0.58,5.79,466552.69,328700.44,100637.22,104745.53,1.81,0.57,5.05,7.38,20160819,114739.07,1.98,0.0,0.0,41.09,8.24,41467
601595,上海电影,影视音像,上海,60.38,0.94,3.74,258900.3,173048.77,21620.34,82026.93,2.2,0.6,5.0,7.67,20160817,61055.95,1.63,0.0,0.0,33.6,23.57,50907
603159,上海亚虹,专用机械,上海,162.51,0.25,1.0,48808.34,32324.77,11875.71,12207.2,1.22,0.35,3.66,16.11,20160812,13179.45,1.32,0.0,0.0,22.54,8.27,17989
603131,上海沪工,专用机械,上海,85.29,0.25,1.0,72460.63,58311.81,12478.6,27212.6,2.72,0.6,6.03,9.5,20160607,20584.07,2.06,0.0,0.0,32.3,13.64,22160
300511,雪榕生物,种植业,上海,61.66,0.38,1.5,246058.22,40637.0,119615.63,63254.61,4.22,0.76,8.55,5.04,20160504,45743.82,3.05,-1.99,-15.03,23.07,10.49,22756
300508,维宏股份,软件服务,上海,125.79,0.12,0.57,45146.43,31655.1,12593.21,20013.46,3.52,0.68,7.56,13.79,20160419,15298.5,2.69,0.0,0.0,69.91,33.82,12198
603868,飞科电器,家用电器,上海,37.11,0.44,4.36,251667.77,178115.13,43988.78,68734.88,1.58,1.01,4.17,11.44,20160418,56438.71,1.3,0.0,0.0,38.5,18.05,25553
300501,海顺新材,广告包装,上海,70.23,0.19,0.53,68389.3,48522.28,7828.56,31960.15,5.99,1.26,10.73,7.92,20160204,18196.46,3.41,2.48,9.93,38.69,21.44,10931
300493,润欣科技,通信设备,上海,114.37,0.62,1.2,99458.93,98279.65,317.78,21264.36,1.77,0.411,3.96,11.86,20151210,12036.0,1.0,34.59,19.69,10.66,3.2,18421
300483,沃施股份,专用机械,上海,173.91,0.32,0.61,42323.1,31991.84,7296.72,19029.03,3.09,0.207,6.45,7.43,20150630,13149.37,2.14,-18.29,5.59,25.74,6.27,11845
601211,国泰君安,证券,上海,14.52,47.74,76.25,41174904.0,0.0,284658.91,2937428.5,3.85,1.21,13.11,1.43,20150626,3455735.5,4.53,-31.47,-37.32,0.0,38.2,227070
300469,信息发展,软件服务,上海,2672.07,0.28,0.68,82669.59,70821.96,1580.3,21445.93,3.14,0.019,6.12,11.18,20150611,12021.07,1.76,34.87,156.65,41.2,0.44,15310
601968,宝钢包装,广告包装,上海,474.73,3.13,8.33,577246.06,252941.02,290954.34,75259.71,0.9,0.015,2.41,3.94,20150611,36578.9,0.44,12.03,-80.22,11.64,0.42,87442
603918,金桥信息,软件服务,上海,1028.76,1.23,1.76,69100.36,59868.96,6601.68,12150.44,0.69,0.024,2.6,12.63,20150528,13898.61,0.79,2.09,-41.25,26.59,1.22,16044
603885,吉祥航空,空运,上海,18.08,2.15,12.84,1749701.25,431462.41,788994.81,375271.66,2.92,1.05,5.95,3.99,20150527,235584.25,1.84,23.98,30.07,26.25,16.29,41439
300462,华铭智能,专用机械,上海,94.07,0.55,1.38,77531.93,73379.36,1466.65,19802.05,1.44,0.283,3.94,9.01,20150527,18418.75,1.34,32.39,54.54,43.71,26.61,10485
603108,润达医疗,医药商业,上海,91.97,1.23,3.22,265050.19,187299.98,38175.43,25051.27,0.78,0.263,3.51,9.21,20150527,43226.95,1.34,28.25,37.92,26.85,5.85,10014
603022,新通联,广告包装,上海,121.72,0.65,2.0,69919.43,46388.65,4246.0,13463.42,0.67,0.146,2.89,8.21,20150518,22692.78,1.13,-5.05,32.71,22.66,8.2,12248
603718,海利生物,生物制药,上海,108.25,3.05,6.44,146205.22,84666.05,39725.8,14694.34,0.23,0.111,1.5,10.64,20150515,12185.25,0.19,5.8,-3.46,77.41,28.5,17407
300442,普丽盛,轻工机械,上海,1255.43,0.59,1.0,134086.7,82647.05,20340.9,52063.42,5.21,0.024,9.62,4.25,20150424,32102.97,3.21,2.68,-90.39,28.51,0.65,10807
603020,爱普股份,食品,上海,29.61,1.93,3.2,207314.7,183494.92,12410.91,81064.86,2.53,0.488,5.6,3.43,20150325,60160.96,1.88,24.0,6.45,21.26,8.94,20631
603729,龙韵股份,广告包装,上海,141.45,0.36,0.67,91501.36,76345.46,7646.18,26724.35,4.01,0.478,12.2,7.38,20150324,45341.51,6.8,-24.31,-21.96,8.33,4.09,7237
600958,东方证券,证券,上海,37.05,31.26,62.15,19676458.0,0.0,43831.34,1803505.38,2.9,0.34,6.52,2.29,20150323,745379.63,1.2,-59.87,-68.26,0.0,39.34,172437
603030,全筑股份,装修装饰,上海,135.46,0.64,1.77,416329.19,360077.94,43574.64,81351.06,4.59,0.19,7.66,3.99,20150320,33187.59,1.87,56.57,5.28,10.02,1.35,12583
603012,创力集团,专用机械,上海,57.98,4.24,6.37,332924.53,271325.0,25822.47,86021.5,1.35,0.131,3.78,2.68,20150320,81730.11,1.28,-13.6,-18.66,38.45,13.32,31965
603899,晨光文具,文教休闲,上海,33.75,2.24,9.2,342689.34,240286.52,73102.68,27234.76,0.3,0.536,2.64,6.85,20150127,103195.11,1.12,24.36,16.63,26.42,10.57,18946
601021,春秋航空,空运,上海,19.18,2.0,8.01,1964032.75,703834.38,888338.81,153433.27,1.92,1.461,9.43,3.96,20150121,492757.19,6.16,3.69,-2.72,20.79,17.83,19454
300398,飞凯材料,染料涂料,上海,162.92,1.57,3.64,114350.7,51642.45,32951.93,29301.01,0.8,0.186,2.15,14.14,20141009,37016.76,1.02,-9.5,-35.57,44.65,17.33,9816
603009,北特科技,汽车配件,上海,127.2,0.36,1.31,176704.44,105809.13,46777.51,88913.65,6.77,0.46,9.67,5.59,20140718,22988.02,1.75,13.29,20.1,24.77,6.97,11384
603006,联明股份,汽车配件,上海,52.23,0.69,1.93,109093.57,53058.23,35744.1,16140.9,0.84,0.5,4.11,8.24,20140630,44735.84,2.32,41.21,33.87,26.39,13.79,9193
