code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002812,创新股份,广告包装,云南,50.46,0.33,1.34,181905.88,122451.47,48755.28,95155.96,7.11,1.07,11.34,4.9,20160914,35300.8,2.64,0.0,0.0,27.99,13.72,27326
300505,川金诺,化工原料,云南,100.31,0.38,0.93,78615.05,43911.57,21036.0,27733.4,2.97,0.51,6.49,9.66,20160315,20715.13,2.22,0.0,0.0,36.4,8.84,16734
002750,龙津药业,中成药,云南,63.22,2.25,4.0,71800.57,40694.78,24313.56,11.27,0.0,0.184,1.63,9.49,20150324,21680.97,0.54,10.96,67.0,77.81,48.55,21008
002727,一心堂,医药商业,云南,32.23,1.97,5.21,601322.06,439339.06,48727.76,57748.4,1.11,0.679,4.8,4.56,20140702,127265.17,2.44,17.44,2.06,41.28,5.65,33132
300142,沃森生物,生物制药,云南,0.0,10.86,15.37,665571.94,243450.97,72917.21,102159.06,0.66,-0.17,1.48,8.73,20101112,-37859.89,-0.25,-44.1,-109.19,44.95,-58.75,52475
002428,云南锗业,小金属,云南,0.0,6.42,6.53,206162.34,59487.93,97618.53,32796.55,0.5,-0.088,2.33,5.67,20100608,45170.55,0.69,-22.59,-183.84,9.88,-22.48,55018
002265,西仪股份,汽车配件,云南,1843.99,2.91,3.19,78051.28,51834.51,23072.1,14283.32,0.45,0.011,1.67,15.89,20080806,2617.23,0.08,1.62,122.0,12.3,0.94,16144
601099,太平洋,证券,云南,47.88,64.79,68.16,4036469.5,0.0,27837.76,279778.78,0.41,0.098,1.73,2.71,20071228,130207.22,0.19,-34.24,-41.07,0.0,37.01,324676
002200,云投生态,环境保护,云南,101.84,1.08,1.84,328862.94,277876.66,11471.75,77252.6,4.2,0.187,4.62,5.49,20071221,-14712.57,-0.8,17.73,598.58,31.89,5.2,13912
002114,罗平锌电,铅锌,云南,192.76,2.72,3.23,187647.3,54372.28,49721.34,70135.68,2.17,0.081,3.11,6.69,20070215,-17488.23,-0.54,10.88,196.45,18.3,4.25,41431
002059,云南旅游,旅游景点,云南,107.06,7.09,7.31,426270.91,276900.44,54700.55,59223.13,0.81,0.086,2.41,5.07,20060810,35557.28,0.49,19.48,37.16,27.27,6.32,34836
002053,云南能投,食品,云南,39.27,3.72,5.58,327119.06,146221.77,91187.5,118622.65,2.12,0.484,4.04,4.71,20060627,40504.56,0.73,-12.64,163.46,59.97,18.57,20033
002033,丽江旅游,旅游景点,云南,29.42,4.23,4.23,277773.88,151014.25,84056.3,69249.97,1.64,0.53,5.13,3.03,20040825,90337.56,2.14,-0.81,13.47,74.71,28.71,37653
600995,文山电力,水力发电,云南,30.9,4.79,4.79,280822.84,29963.11,177182.52,15560.57,0.33,0.308,3.3,3.84,20040615,80030.18,1.67,-9.25,22.21,26.28,10.83,39957
600497,驰宏锌锗,铅锌,云南,318.18,33.35,43.1,3506251.25,484441.75,952377.63,515622.41,1.2,0.04,2.45,2.86,20040420,75257.68,0.17,-32.81,7.4,13.46,0.68,137746
600459,贵研铂业,小金属,云南,89.07,2.61,2.61,343937.13,236458.55,60195.1,116742.17,4.47,0.218,6.99,3.71,20030516,32497.05,1.25,45.92,7.44,2.63,0.76,41527
600422,昆药集团,中成药,云南,24.83,6.81,7.89,540226.31,335998.63,58260.82,141490.81,1.79,0.516,4.51,2.84,20001206,116880.6,1.48,3.76,-3.23,38.66,7.98,43880
600265,ST景谷,林业,云南,130.84,1.3,1.3,32936.23,20952.67,7561.22,24396.86,1.88,0.26,0.16,217.38,20000825,-36726.55,-2.83,-19.5,137.02,6.9,47.67,6030
000960,锡业股份,小金属,云南,260.49,12.09,14.72,2744483.0,835001.0,1153891.63,667175.81,4.53,0.038,5.3,2.51,20000221,-72661.52,-0.49,9.42,111.76,5.97,0.22,89791
600239,云南城投,区域地产,云南,28.72,10.7,10.7,6414289.5,5197304.0,80481.2,192195.56,1.8,0.228,4.32,1.51,19991202,138197.77,1.29,143.46,-12.38,23.49,2.5,67369
000948,南天信息,软件服务,云南,203.11,2.46,2.47,262433.56,181739.5,25371.88,80762.75,3.27,0.084,5.87,2.91,19991014,31634.99,1.28,0.93,11.46,24.31,0.96,37408
000903,云内动力,机械基件,云南,42.48,7.91,8.79,810064.0,488943.69,190295.13,184127.27,2.1,0.173,4.7,2.08,19990415,85177.71,0.97,27.75,11.63,17.39,5.93,50353
000878,云南铜业,铜,云南,347.7,14.16,14.16,2261304.5,1057247.5,711421.88,439830.41,3.11,0.031,3.96,3.68,19980602,-74307.75,-0.52,-20.49,110.42,3.14,0.12,142637
000807,云铝股份,铝,云南,78.51,17.22,26.07,3030756.75,868971.88,1602458.38,365033.84,1.4,0.07,3.07,2.38,19980408,-6777.93,-0.03,-6.95,290.77,14.01,1.64,123896
