code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300355,蒙草生态,环境保护,内蒙,46.62,5.98,10.03,631185.19,498944.25,26116.2,88478.84,0.88,0.25,2.71,5.49,20120927,70428.06,0.7,38.6,60.41,31.99,12.89,52681
002688,金河生物,化学制药,内蒙,38.59,5.29,6.35,244214.27,123513.26,57226.85,53857.96,0.85,0.2,2.47,4.05,20120713,34104.0,0.54,23.59,79.83,35.56,11.79,31099
300239,东宝生物,生物制药,内蒙,212.54,4.45,4.61,77232.28,32523.15,18970.99,15226.87,0.33,0.028,1.55,5.19,20110706,7817.56,0.17,14.14,149.79,19.63,5.7,17485
601216,君正集团,化工原料,内蒙,32.63,84.38,84.38,1832831.25,462142.56,746765.63,22650.32,0.03,0.117,1.55,3.29,20110222,416203.81,0.49,8.5,46.96,39.74,25.37,139720
300049,福瑞股份,中成药,内蒙,75.76,2.26,2.63,219923.34,131476.02,9963.08,76854.61,2.92,0.203,5.22,3.92,20100120,28300.95,1.08,24.76,18.48,71.57,10.11,18378
002128,露天煤业,煤炭开采,内蒙,22.17,15.88,16.34,1350212.5,383764.72,710132.75,125532.26,0.77,0.304,5.65,1.59,20070418,550849.81,3.37,-4.32,57.94,33.64,13.46,46386
600967,北方创业,运输设备,内蒙,0.0,8.23,16.9,328619.41,222175.47,49139.4,71544.57,0.42,-0.019,2.72,5.54,20040518,58407.7,0.35,11.57,52.49,10.21,-2.75,55137
600988,赤峰黄金,黄金,内蒙,52.75,6.1,7.13,365371.47,137864.02,81330.3,91889.56,1.29,0.214,3.2,4.7,20040414,63442.1,0.89,41.53,57.16,32.05,11.51,85898
600295,鄂尔多斯,小金属,内蒙,44.09,6.12,10.32,4532049.5,1480301.25,2207135.75,145574.91,1.41,0.176,7.12,1.45,20010426,431881.59,4.18,4.78,5.18,29.99,1.61,59010
600010,包钢股份,普钢,内蒙,318.64,157.42,325.61,14101466.0,3300623.0,5275052.5,1442332.5,0.44,0.007,1.45,2.11,20010309,-68292.75,-0.02,14.44,117.76,6.49,1.18,491335
600328,兰太实业,化工原料,内蒙,67.64,4.38,4.38,670975.31,161213.16,380970.03,100464.1,2.29,0.138,4.51,2.75,20001222,43441.76,0.99,4.84,329.71,29.26,3.4,30723
600291,西水股份,保险,内蒙,319.76,9.79,10.93,29553852.0,0.0,51110.44,595240.31,5.45,0.035,10.3,1.46,20000731,80874.65,0.74,28415.77,-90.42,0.0,0.18,37109
600277,亿利洁能,新型电力,内蒙,73.93,20.9,27.39,2270429.75,869487.63,579296.19,607444.94,2.22,0.079,4.57,1.72,20000725,110724.01,0.4,18.71,106.47,12.32,3.24,67853
600262,北方股份,汽车整车,内蒙,0.0,1.7,1.7,222221.97,157315.5,39304.32,40393.1,2.38,-0.017,5.84,6.38,20000630,6982.31,0.41,-31.39,62.95,21.16,-0.52,13272
000975,银泰资源,铅锌,内蒙,74.65,8.79,10.82,489521.69,94393.61,66183.86,205086.94,1.9,0.203,3.5,4.33,20000608,42678.65,0.39,4.24,-11.4,77.27,28.83,28037
600201,生物股份,生物制药,内蒙,32.48,5.69,6.13,407381.47,301984.22,37778.75,124208.92,2.03,0.85,5.85,5.86,19990115,160980.7,2.63,16.58,20.09,76.29,46.96,19285
600191,华资实业,食品,内蒙,244.03,4.85,4.85,250434.0,27569.85,11458.1,63235.65,1.3,0.033,4.44,2.41,19981210,32513.15,0.67,12.77,-89.69,2.48,46.08,20000
600111,北方稀土,小金属,内蒙,985.57,36.33,36.33,1580087.63,1078247.13,220969.34,15597.85,0.04,0.009,2.27,5.47,19970924,333406.81,0.92,-20.64,-88.61,20.03,0.96,311564
600091,ST明科,化工原料,内蒙,259.22,3.37,4.37,126241.1,86495.71,1169.18,167037.94,3.82,0.034,2.03,4.38,19970704,-128286.4,-2.93,28.21,-55.62,2.11,53.19,22208
000780,平庄能源,煤炭开采,内蒙,0.0,10.14,10.14,549825.44,359450.94,81620.21,144955.09,1.43,-0.383,3.95,1.39,19970606,81114.8,0.8,-1.92,-83.98,5.42,-28.19,64979
000683,远兴能源,化工原料,内蒙,171.18,20.93,39.01,2285438.25,707010.69,974092.69,171474.19,0.44,0.02,2.22,1.33,19970131,281533.69,0.72,9.72,-34.54,23.04,0.87,132878
000611,*ST天首,纺织,内蒙,0.0,3.19,3.22,38071.2,25049.21,3852.68,13855.42,0.43,-0.077,0.51,19.65,19961008,-29579.9,-0.92,-1.35,-9.81,1.12,-122.78,26435
000426,兴业矿业,铅锌,内蒙,124.82,11.48,18.69,446219.41,79239.13,130845.38,84317.49,0.45,0.052,2.35,3.67,19960828,62279.05,0.33,-26.06,362.76,56.21,19.23,48321
600887,伊利股份,乳制品,内蒙,19.37,60.33,60.79,3814654.5,1989913.0,1288002.88,248099.34,0.41,0.722,3.57,5.23,19960312,1145189.38,1.88,0.98,20.69,38.77,9.56,281654
600863,内蒙华电,火力发电,内蒙,25.72,58.08,58.08,3952744.75,265420.66,2124455.75,82916.4,0.14,0.094,1.81,1.78,19940520,249251.66,0.43,-21.78,-41.33,17.3,7.87,270994
