code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603903,中持股份,环境保护,北京,80.83,0.26,1.02,81299.31,44394.03,217.78,21098.67,2.06,0.456,5.64,6.54,20170314,13382.87,1.31,24.02,3.14,27.02,11.43,26734
603138,海量数据,软件服务,北京,124.45,0.21,0.82,40168.92,33864.15,1368.15,982.8,0.12,0.532,2.7,24.53,20170306,8232.1,1.0,20.22,20.58,20.52,9.27,20596
603603,博天环境,环境保护,北京,134.17,0.4,4.0,489132.34,313059.56,0.0,0.0,0.0,0.23,2.35,17.5,20170217,0.0,0.0,0.0,0.0,23.81,5.15,36286
300612,宣亚国际,广告包装,北京,179.51,0.18,0.72,25120.46,22781.68,780.1,2129.62,0.3,0.384,2.93,31.42,20170215,7384.65,1.03,0.0,0.0,44.56,9.43,32979
300608,思特奇,软件服务,北京,0.0,0.17,0.67,66107.78,62968.28,1887.74,9622.9,1.43,-0.074,6.12,12.25,20170213,14058.8,2.09,0.0,0.0,35.86,-1.37,31067
601881,中国银河,证券,北京,31.19,6.0,101.37,24091738.0,0.0,0.0,0.0,0.0,0.35,5.95,2.45,20170123,0.0,0.0,-49.53,-52.09,0.0,36.46,476376
601858,中国科传,出版业,北京,122.2,1.31,7.91,294155.75,0.0,0.0,0.0,0.0,0.116,2.99,6.35,20170118,0.0,0.0,0.0,0.0,0.0,8.5,120666
300593,新雷能,电气设备,北京,106.31,0.29,1.16,52312.09,40647.65,4011.13,8755.4,0.76,0.324,4.09,11.24,20170113,17059.2,1.48,9.45,16.91,47.09,14.05,51639
300579,数字认证,软件服务,北京,230.67,0.2,0.8,40868.62,36677.76,1627.78,3349.91,0.42,0.225,3.58,19.38,20161223,10674.12,1.33,24.91,36.47,58.74,7.68,14147
603098,森特股份,装修装饰,北京,59.15,0.63,4.0,174422.55,141509.69,0.0,0.0,0.0,0.35,2.99,9.23,20161216,0.0,0.0,0.0,0.0,0.0,13.43,54115
002829,星网宇达,通信设备,北京,99.64,0.19,0.76,87689.06,61432.13,21217.64,34711.35,4.57,1.29,9.29,10.35,20161213,26418.15,3.48,16.99,9.9,50.48,26.43,13094
002819,东方中科,电器仪表,北京,189.0,0.28,1.13,37448.25,32769.46,4417.0,4937.33,0.44,0.202,3.67,13.92,20161111,16137.75,1.42,0.0,0.0,13.79,4.84,49910
603060,国检集团,建筑施工,北京,70.19,0.55,2.2,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,15.3,20161109,19252.86,0.88,0.0,0.0,49.65,18.72,50580
603888,新华网,互联网,北京,83.01,0.52,2.08,189359.63,126243.7,5494.26,23866.25,1.15,0.774,7.51,11.41,20161028,69659.22,3.36,0.0,0.0,46.39,20.23,46234
603859,能科股份,软件服务,北京,223.16,0.28,1.14,80474.81,71628.43,3835.38,28239.8,2.49,0.47,5.7,14.61,20161021,22468.57,1.98,3.33,9.51,49.86,18.55,13919
300552,万集科技,软件服务,北京,83.04,0.27,1.07,109133.65,97039.65,9645.17,34414.45,3.23,0.82,6.97,7.74,20161021,26186.4,2.45,24.19,8.46,38.95,10.91,22068
300542,新晨科技,软件服务,北京,349.84,0.23,0.9,66465.36,55537.65,1341.29,19925.65,2.21,0.14,5.97,8.39,20160920,21511.26,2.39,0.0,0.0,23.99,3.6,39985
300541,先进数通,软件服务,北京,174.43,0.3,1.2,108420.51,107081.75,577.87,35528.6,2.96,0.26,5.62,8.21,20160913,17805.6,1.48,0.0,0.0,22.28,4.64,51568
603986,兆易创新,半导体,北京,116.74,0.25,1.0,157778.95,142790.25,5694.47,66247.11,6.62,1.86,12.37,18.2,20160818,43824.95,4.38,0.0,0.0,27.35,13.79,13254
603569,长久物流,仓储物流,北京,50.05,0.4,4.0,292205.41,220297.91,10231.98,54737.69,1.37,0.63,4.27,8.92,20160810,55913.07,1.4,0.0,0.0,15.1,8.76,28803
600977,中国电影,影视音像,北京,49.9,4.67,18.67,1425109.38,1043929.13,254368.55,422453.44,2.26,0.48,5.13,4.8,20160809,314685.84,1.69,0.0,0.0,20.56,11.17,203163
300523,辰安科技,软件服务,北京,1251.11,0.2,0.8,113403.46,79125.65,12515.62,46765.45,5.85,0.08,9.01,11.66,20160726,16338.07,2.04,0.0,0.0,53.73,2.27,16589
601611,中国核建,建筑施工,北京,68.1,5.25,26.25,6935044.0,5771149.0,290926.94,110020.7,0.42,0.22,3.18,5.48,20160606,317678.72,1.21,0.0,0.0,9.15,1.84,197790
300513,恒泰实达,软件服务,北京,1260.4,0.19,0.76,60794.36,58297.01,437.55,26995.9,3.54,0.06,6.66,12.39,20160530,14516.32,1.91,0.0,0.0,28.59,2.1,16936
603377,东方时尚,汽车服务,北京,55.96,1.18,4.2,250959.55,109350.32,51023.55,75599.93,1.8,0.51,3.8,9.82,20160205,31028.3,0.74,-10.98,-22.25,53.61,23.08,11946
603778,乾景园林,建筑施工,北京,73.14,0.9,2.0,157837.45,156061.52,1119.12,32313.55,1.62,0.249,4.57,5.32,20151231,35375.23,1.77,0.23,45.53,24.64,15.77,19649
300496,中科创达,软件服务,北京,124.52,2.14,4.03,190649.63,150992.94,7336.47,61881.5,1.54,0.3,2.74,13.58,20151210,29806.22,0.74,37.77,3.15,46.42,14.19,44771
002780,三夫户外,其他商业,北京,118.83,0.37,0.67,48291.12,46465.85,1165.71,17042.6,2.53,0.524,5.81,10.72,20151209,15125.34,2.24,7.84,14.83,46.23,10.01,17906
603979,金诚信,建筑施工,北京,41.48,1.87,4.5,488962.41,388995.88,79084.18,174153.31,3.87,0.42,8.13,2.49,20150630,128771.11,2.86,-6.56,-13.49,23.81,9.09,31671
002771,真视通,软件服务,北京,100.35,0.36,0.81,89471.34,75980.0,12191.21,27494.1,3.41,0.525,6.99,10.06,20150629,20347.75,2.52,27.35,5.31,23.91,8.14,14202
300485,赛升药业,生物制药,北京,36.63,0.84,2.4,210245.45,172369.09,9064.92,103049.53,4.29,0.839,8.5,4.82,20150626,70912.0,2.95,2.73,29.17,68.07,42.95,22993
300472,新元科技,专用机械,北京,233.89,0.33,1.0,61364.26,39542.65,12377.98,15137.47,1.51,0.19,3.86,9.82,20150611,12034.95,1.2,2.25,-35.8,35.61,7.39,6980
603616,韩建河山,其他建材,北京,0.0,1.47,2.93,180073.19,112468.92,44081.62,25627.39,0.87,-0.023,2.81,5.58,20150611,24164.25,0.82,-2.48,-229.44,23.4,-1.74,27173
300477,合纵科技,电气设备,北京,85.72,1.21,2.8,184319.88,128295.45,7827.63,16785.63,0.6,0.167,3.0,6.39,20150610,35703.46,1.28,7.33,-9.4,28.94,5.8,16182
601985,中国核电,新型电力,北京,22.59,42.41,155.65,27634602.0,3347828.5,11648776.0,1289417.0,0.83,0.242,2.57,2.83,20150610,982590.81,0.63,9.97,9.21,43.38,17.14,705495
300465,高伟达,软件服务,北京,414.63,2.56,4.53,114340.61,64165.13,11947.17,38993.21,0.86,0.026,1.75,8.25,20150528,23934.51,0.53,5.17,-50.65,24.85,1.98,25856
603598,引力传媒,影视音像,北京,144.27,0.97,2.71,89145.15,81232.72,416.73,6263.56,0.23,0.105,2.2,9.19,20150527,24842.42,0.92,-7.45,6.3,8.79,2.31,21904
002755,东方新星,建筑施工,北京,3966.23,0.35,1.01,68409.93,63530.88,3499.25,14137.3,1.4,0.008,5.0,8.22,20150515,23398.8,2.31,-48.84,-95.92,13.42,0.74,21214
300455,康拓红外,运输设备,北京,121.82,0.89,2.8,74665.88,62694.36,9047.07,7968.55,0.28,0.13,2.2,9.65,20150515,22804.65,0.81,16.08,16.86,48.73,25.03,19884
300456,耐威科技,元器件,北京,412.49,0.71,1.85,153156.77,58477.36,17361.27,91056.45,4.92,0.1,7.21,7.26,20150514,23332.78,1.26,68.62,-14.66,36.99,11.83,9542
300445,康斯特,电器仪表,北京,153.67,0.41,1.66,43838.98,31882.74,10279.63,5706.74,0.34,0.144,2.59,11.4,20150424,17654.88,1.07,6.83,9.14,71.45,21.69,10783
