code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300597,吉大通信,通信设备,吉林,144.18,0.6,2.4,55637.68,51415.14,2847.8,0.0,0.0,0.151,2.21,13.11,20170123,19615.4,0.82,0.0,0.0,28.06,13.22,105074
603559,中通国脉,通信设备,吉林,179.82,0.22,0.88,56475.13,48641.28,4672.75,5630.26,0.64,0.248,4.6,12.92,20161202,14053.52,1.6,20.27,37.53,18.45,8.24,23814
300510,金冠电气,电气设备,吉林,107.67,0.44,1.74,80730.63,57932.75,10597.69,18981.97,1.09,0.34,3.44,10.14,20160506,21001.98,1.21,44.39,12.63,37.32,14.9,21495
300396,迪瑞医疗,医疗保健,吉林,43.87,0.47,1.53,185835.31,74304.34,31800.05,40995.37,2.67,0.816,7.12,5.03,20140910,47744.2,3.11,33.73,15.57,62.61,16.49,10458
603099,长白山,旅游服务,吉林,41.83,1.03,2.67,104841.02,37364.2,27959.6,28555.84,1.07,0.338,3.46,5.45,20140822,32133.19,1.2,-6.5,-22.22,54.77,33.29,21292
601929,吉视传媒,影视音像,吉林,40.56,31.11,31.11,905516.81,173209.48,368646.13,90316.13,0.29,0.075,1.99,2.05,20120223,139412.55,0.45,-1.03,-18.44,42.34,15.68,90035
002622,融钰集团,电气设备,吉林,290.54,7.24,8.4,129372.1,52633.93,27671.35,62.08,0.0,0.033,1.41,9.13,20111018,30844.5,0.37,-29.94,-51.81,35.02,39.65,33251
002566,益盛药业,中成药,吉林,102.55,2.0,3.31,275102.63,220275.91,30710.8,83181.31,2.51,0.094,5.31,2.42,20110318,50669.6,1.53,-1.05,-56.07,74.75,4.58,22199
002501,利源精制,铝,吉林,27.98,6.75,12.15,1224257.5,190181.5,329781.22,160884.77,1.32,0.343,4.66,2.74,20101117,166926.19,1.37,9.53,15.37,38.76,22.33,75236
300108,双龙股份,中成药,吉林,31.43,3.31,6.36,255476.67,100838.25,80222.7,69918.43,1.1,0.37,2.8,3.29,20100825,39187.6,0.62,10.04,37.39,38.97,24.96,18900
601518,吉林高速,路桥,吉林,27.81,12.13,12.13,708427.63,109211.82,593730.13,31718.28,0.26,0.158,2.19,2.01,20100319,96642.11,0.8,38.0,37.87,66.7,24.77,72010
002338,奥普光电,电器仪表,吉林,92.76,1.19,1.2,99407.59,72531.46,19663.71,36559.17,3.05,0.385,6.28,7.59,20100115,22149.99,1.85,-0.59,39.07,44.08,21.19,7555
002232,启明信息,软件服务,吉林,8703.97,4.02,4.09,158602.02,107122.92,34809.59,26188.17,0.64,0.001,2.46,5.38,20080509,28205.65,0.69,-20.8,105.16,19.72,0.08,52591
