code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002818,富森美,房产服务,四川,42.61,0.44,4.4,412626.25,37845.37,32293.06,11014.32,0.25,0.982,6.86,8.13,20161109,210679.84,4.79,0.0,0.0,70.78,46.86,39310
300559,佳发安泰,软件服务,四川,72.85,0.18,0.72,64484.61,52263.5,1198.46,28366.88,3.95,1.09,8.11,7.73,20161101,19276.68,2.68,11.59,7.29,55.35,37.27,15230
300547,川环科技,橡胶,四川,72.23,0.15,0.6,86045.56,71070.55,11833.28,32012.39,5.36,1.21,10.72,8.18,20160930,23849.7,3.99,0.0,0.0,34.19,15.74,13590
300540,深冷股份,专用机械,四川,90.96,0.2,0.8,93363.03,87706.8,1606.2,33138.48,4.14,0.57,7.86,6.83,20160823,19185.4,2.4,0.0,0.0,36.26,13.63,20096
300535,达威股份,化工原料,四川,104.05,0.15,0.6,67153.21,48604.26,8250.91,31399.51,5.26,0.84,10.14,8.9,20160812,20828.26,3.49,0.0,0.0,50.78,18.79,14350
601811,新华文轩,出版业,四川,43.34,0.99,12.34,1200614.13,576541.56,137508.84,262112.27,2.12,0.42,6.52,3.45,20160808,216404.95,1.75,0.0,0.0,38.82,11.06,53794
002798,帝王洁具,家居用品,四川,160.63,0.22,0.86,62282.3,46155.55,12196.42,22951.57,2.66,0.35,6.49,9.8,20160525,21621.95,2.5,0.0,0.0,31.33,9.24,17136
603027,千禾味业,食品,四川,57.5,0.67,1.6,102665.56,51821.76,44112.28,39539.43,2.47,0.67,5.57,6.46,20160307,30370.53,1.9,23.62,50.44,40.97,12.98,17123
300502,新易盛,通信设备,四川,70.06,0.41,0.78,116733.67,90909.3,19657.99,45654.96,5.88,1.13,12.51,7.75,20160303,39962.93,5.15,0.0,0.0,27.33,15.8,14890
002777,久远银海,软件服务,四川,146.39,0.24,0.8,100257.88,87365.84,6372.46,20205.24,2.53,0.444,5.19,16.69,20151231,10320.08,1.29,10.71,14.64,47.25,13.33,10391
300492,山鼎设计,建筑施工,四川,448.29,0.25,0.83,34624.62,26075.32,5605.26,9621.55,1.16,0.088,3.42,15.31,20151223,9102.53,1.09,-22.6,-57.39,38.12,7.05,9649
002773,康弘药业,中成药,四川,73.97,0.68,6.75,362781.34,284656.88,40565.32,66746.05,0.99,0.46,4.09,11.1,20150626,136856.31,2.03,24.46,24.67,90.34,16.96,11035
300470,日机密封,机械基件,四川,54.25,0.61,1.07,97024.74,83383.18,4631.93,39653.46,3.72,0.566,7.98,5.13,20150612,30657.65,2.87,0.48,16.23,56.29,24.17,9995
300471,厚普股份,专用机械,四川,61.94,0.87,1.48,221432.7,159555.77,14466.55,95705.15,6.45,0.603,10.68,4.66,20150611,51763.93,3.49,3.83,-27.74,41.3,12.07,15352
300463,迈克生物,医疗保健,四川,38.3,2.95,5.58,266027.59,191746.97,29318.9,60094.32,1.08,0.44,3.92,5.74,20150528,97095.09,1.74,40.03,26.79,54.59,23.47,25462
300467,迅游科技,互联网,四川,163.83,0.92,1.67,74562.38,54396.43,2198.75,42895.43,2.57,0.22,3.03,15.39,20150527,7241.71,0.43,-9.93,-20.92,68.05,30.81,16585
300414,中光防雷,元器件,四川,81.27,0.65,1.69,81122.25,73457.96,4345.75,21052.15,1.25,0.276,4.18,7.15,20150513,28915.35,1.72,-3.04,-15.22,35.6,19.22,13954
300434,金石东方,专用机械,四川,198.19,0.34,1.36,48379.3,31746.94,1962.49,7337.13,0.54,0.188,2.96,12.57,20150424,17121.01,1.26,38.68,9.18,34.63,15.72,10973
300440,运达科技,软件服务,四川,59.98,1.01,2.28,151327.66,135253.81,9222.17,54020.57,2.37,0.331,5.48,4.82,20150423,41490.1,1.82,17.63,15.5,49.45,24.49,14897
002749,国光股份,农药化肥,四川,41.95,0.19,0.75,94887.99,64881.26,1640.31,33063.55,4.41,1.685,11.77,8.01,20150320,42437.26,5.66,-4.54,6.94,51.21,25.05,10877
300432,富临精工,汽车配件,四川,65.79,1.45,5.1,152427.95,110737.82,31325.01,11843.07,0.23,0.316,2.75,10.05,20150319,45923.03,0.9,31.26,25.42,33.95,19.82,27000
300425,环能科技,环境保护,四川,86.19,0.77,1.86,137098.3,80713.24,29330.45,64071.36,3.45,0.235,6.23,4.33,20150216,24778.88,1.34,70.69,10.95,43.54,13.44,12422
300366,创意信息,软件服务,四川,256.2,1.01,2.63,178537.13,100738.22,2082.83,84128.96,3.2,0.109,6.08,6.14,20140127,24772.97,0.94,143.76,26.28,26.75,6.02,11151
