code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300596,利安隆,化工原料,天津,57.33,0.3,1.2,78414.81,49499.73,22165.61,15480.65,1.29,0.612,5.43,8.62,20170119,22739.32,1.89,0.0,0.0,27.59,12.45,53424
603727,博迈科,石油开采,天津,39.24,0.59,2.34,267119.56,150583.66,0.0,0.0,0.0,0.891,6.95,6.71,20161122,0.0,0.0,0.0,0.0,0.0,8.7,52893
002820,桂发祥,食品,天津,61.82,0.32,1.28,65058.05,34066.98,4924.16,10916.1,0.85,0.605,4.99,9.99,20161118,24558.49,1.92,0.0,0.0,51.87,21.4,56828
002821,凯莱英,生物制药,天津,66.64,0.23,1.13,155990.27,80530.0,49337.9,35648.09,3.16,1.671,12.45,11.93,20161118,58084.82,5.15,0.0,0.0,53.8,24.0,19379
603969,银龙股份,其他建材,天津,48.33,1.53,4.0,175103.41,129220.38,25552.6,67153.43,1.68,0.362,3.98,4.39,20150227,45242.01,1.13,6.27,12.76,23.59,9.76,28429
300407,凯发电气,电气设备,天津,37.64,1.35,2.72,176017.69,147034.16,17278.06,12315.63,0.45,0.356,3.22,5.55,20141203,44569.01,1.64,0.57,81.02,42.37,33.01,10385
603019,中科曙光,电脑设备,天津,180.46,3.59,6.43,546683.31,341818.75,74195.15,156947.5,2.44,0.116,4.27,6.54,20141106,48222.95,0.75,24.29,59.3,20.96,2.82,47091
603126,中材节能,环境保护,天津,66.79,2.18,6.11,339125.78,209863.55,87818.18,7177.46,0.12,0.213,2.45,5.82,20140731,71112.42,1.16,9.0,21.63,26.81,8.7,55247
300375,鹏翎股份,汽车配件,天津,27.28,1.24,1.86,156706.36,93123.06,46788.85,35797.7,1.93,0.86,6.83,3.38,20140127,62413.15,3.36,10.4,26.1,30.5,14.46,10060
300334,津膜科技,专用机械,天津,96.74,2.75,2.76,230513.55,143634.98,24788.68,69008.11,2.5,0.172,4.8,3.46,20120705,32026.64,1.16,23.91,-10.39,30.85,6.33,17925
300195,长荣股份,轻工机械,天津,45.95,1.71,3.37,351267.19,160486.06,53794.01,146488.81,4.34,0.263,7.19,2.24,20110329,55779.83,1.65,1.23,-24.94,36.17,11.23,20571
002510,天汽模,汽车配件,天津,41.21,6.6,8.36,411428.19,265628.78,68946.31,23463.26,0.28,0.123,2.33,2.9,20101125,72772.18,0.87,17.34,-3.63,22.53,7.88,77314
300120,经纬电材,电气设备,天津,282.81,1.65,2.05,74078.1,32810.01,36969.45,30486.7,1.49,0.043,2.9,5.58,20100917,5514.14,0.27,26.01,18.11,11.22,1.84,13369
300119,瑞普生物,生物制药,天津,48.93,2.03,4.04,266622.69,114468.17,78462.96,94383.47,2.33,0.25,4.62,3.46,20100917,46713.18,1.15,27.09,23.79,56.3,14.04,9749
002432,九安医疗,医疗保健,天津,0.0,3.72,4.33,234239.88,123177.75,20457.75,115886.15,2.68,-0.25,3.29,4.5,20100610,-18664.45,-0.43,10.93,-48.37,30.15,-28.98,66000
002393,力生制药,化学制药,天津,63.73,1.82,1.82,348574.66,141187.06,106608.67,169156.41,9.27,0.634,16.53,2.44,20100423,78125.15,4.28,9.3,1.22,56.85,13.65,23071
002337,赛象科技,化工机械,天津,0.0,5.66,5.89,169241.75,119116.55,22991.77,42672.71,0.72,-0.009,2.01,3.67,20100115,10487.73,0.18,-17.28,83.53,34.12,-2.38,87242
300026,红日药业,中成药,天津,25.75,22.39,30.11,726321.81,416168.97,101522.61,261714.47,0.87,0.158,1.91,2.85,20091030,205080.8,0.68,15.99,11.03,75.78,17.56,45729
601808,中海油服,石油开采,天津,0.0,29.6,47.72,8054405.5,2155179.25,5107433.5,1237173.88,2.59,-2.401,7.38,1.72,20070928,1545044.13,3.24,-35.94,-1166.78,-14.15,-75.61,71374
601919,中远海控,水运,天津,0.0,76.36,102.16,12082722.0,4735420.0,4326825.5,2724877.25,2.67,-0.902,1.81,3.35,20070626,-1825387.38,-1.79,0.35,-2962.23,-4.58,-18.49,390154
002134,天津普林,元器件,天津,0.0,2.46,2.46,67490.65,31991.35,21674.32,30227.06,1.23,-0.178,1.95,8.11,20070516,-9045.48,-0.37,-6.97,-58.83,-7.02,-15.81,21145
002129,中环股份,半导体,天津,46.77,26.44,26.44,1948018.25,629240.75,642134.19,688379.56,2.6,0.133,3.97,2.08,20070420,91905.7,0.35,44.2,133.32,12.57,6.47,103339
600535,天士力,中成药,天津,32.46,10.33,10.8,1587586.75,1004954.81,296336.97,173792.77,1.61,0.928,7.39,5.44,20020823,443581.09,4.11,2.48,-17.69,34.04,10.44,24732
600583,海油工程,石油开采,天津,25.38,44.21,44.21,2981119.75,1428646.13,1148463.38,424794.06,0.96,0.297,5.24,1.44,20020205,1242178.0,2.81,-25.98,-61.43,15.81,10.97,137438
600322,天房发展,区域地产,天津,0.0,11.06,11.06,3036503.25,2878856.0,11104.96,220524.2,1.99,-0.244,3.86,1.6,20010910,66405.36,0.6,5.01,-783.03,26.94,-15.1,83408
600488,天药股份,化学制药,天津,98.79,9.61,9.61,300172.91,148669.84,130739.1,60855.96,0.63,0.066,2.57,2.55,20010618,74462.75,0.77,-14.1,-18.95,17.39,5.29,72992
