code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002457,青龙管业,塑料,宁夏,358.67,2.64,3.35,278021.13,153614.75,41549.8,82361.43,2.46,0.024,5.33,2.13,20100803,55493.91,1.66,-17.76,-66.83,33.84,1.77,39306
600449,宁夏建材,水泥,宁夏,117.2,4.78,4.78,783582.44,261711.22,461068.59,203367.38,4.25,0.121,8.83,1.6,20030829,152393.7,3.19,15.84,189.76,28.94,1.56,41461
000982,中银绒业,纺织,宁夏,0.0,12.94,18.05,1263514.13,620393.75,463249.91,202861.23,1.12,-0.179,1.68,5.43,20000706,-83538.67,-0.46,-0.06,-1777.4,13.25,-13.69,47070
000962,*ST东钽,小金属,宁夏,173.57,4.41,4.41,282104.41,137953.38,122526.21,119767.26,2.72,0.066,3.37,3.39,20000120,-40374.64,-0.92,-19.41,104.55,-8.63,3.33,37147
600146,商赢环球,塑料,宁夏,580.87,2.0,4.7,395442.47,219293.91,9052.78,258987.91,5.51,0.11,6.11,5.85,19990707,-21020.0,-0.45,2791.42,147.33,34.79,6.73,11380
000862,银星能源,新型电力,宁夏,507.54,3.34,7.09,1001508.81,219957.22,758979.13,270292.0,3.81,0.016,3.92,2.02,19980915,-66093.96,-0.93,19.7,109.42,29.32,0.76,29450
000815,美利云,造纸,宁夏,0.0,3.17,6.95,268950.06,171272.59,49929.71,195984.77,2.82,-0.13,2.73,6.63,19980609,-82877.38,-1.19,-9.26,68.42,6.89,-17.05,20784
600165,新日恒力,钢加工,宁夏,0.0,6.85,6.85,401342.28,132156.31,60761.88,29445.05,0.43,-0.119,1.3,12.41,19980529,-12391.0,-0.18,288.75,-369.88,4.8,-3.25,30130
600785,新华百货,百货,宁夏,89.92,2.26,2.26,445250.34,196682.17,136331.05,30933.3,1.37,0.279,8.5,2.95,19970108,118683.75,5.26,-4.8,-53.95,20.25,0.89,14347
000635,英 力 特,化工原料,宁夏,146.53,3.03,3.03,320072.81,93288.61,212388.41,187856.92,6.2,0.136,9.33,2.85,19961120,55324.8,1.83,-12.08,60.76,15.77,3.67,34864
000595,宝塔实业,机械基件,宁夏,0.0,4.95,7.45,123386.72,65371.61,21032.3,80939.9,1.09,-0.074,0.93,10.46,19960419,-50100.28,-0.67,-43.87,7.85,3.94,-41.43,102379
000557,西部创业,红黄药酒,宁夏,0.0,5.85,14.58,523423.44,91287.67,353273.63,197501.72,1.35,-0.043,2.65,2.48,19940617,29050.63,0.2,14.46,-189.77,5.88,-12.78,55753
