code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603768,常青股份,汽车配件,安徽,39.1,0.51,2.04,153311.56,58885.82,64658.11,6359.89,0.31,0.727,4.88,5.83,20170324,48091.96,2.36,31.26,92.25,26.41,9.94,46888
603656,泰禾光电,专用机械,安徽,46.14,0.19,0.76,50246.01,35605.1,11964.15,4719.93,0.62,1.101,6.77,7.51,20170321,24699.45,3.25,19.52,11.36,52.65,22.57,17687
603429,集友股份,广告包装,安徽,135.52,0.17,0.68,30067.35,13154.02,14096.02,5862.21,0.86,0.49,3.6,24.62,20170124,7345.81,1.08,0.0,0.0,51.35,26.29,15758
300595,欧普康视,医疗保健,安徽,71.11,0.17,0.68,35750.15,27110.76,3185.86,6352.43,0.93,2.24,6.11,19.52,20170117,17146.46,2.52,33.35,28.56,74.08,48.52,10469
603689,皖天然气,供气供热,安徽,78.41,0.84,3.36,270016.03,54422.36,0.0,0.0,0.0,0.207,4.34,5.0,20170110,0.0,0.0,-24.26,-32.14,0.0,4.58,72083
300577,开润股份,纺织,安徽,64.92,0.17,0.67,46515.8,34249.23,10867.58,5742.66,0.86,0.962,4.35,19.14,20161221,9938.2,1.49,66.52,42.54,28.16,11.54,30642
600909,华安证券,证券,安徽,65.89,8.0,36.21,3127298.25,0.0,0.0,0.0,0.0,0.142,2.4,5.19,20161206,0.0,0.0,0.0,0.0,0.0,38.25,714104
002817,黄山胶囊,化学制药,安徽,96.63,0.22,0.87,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,11.78,20161025,21420.3,2.47,0.0,0.0,43.26,21.01,40516
603031,安德利,百货,安徽,109.61,0.2,0.8,133752.61,49569.3,56756.71,24486.02,3.06,0.389,7.13,7.97,20160822,24092.53,3.01,0.0,0.0,19.9,2.75,26792
300520,科大国创,软件服务,安徽,135.86,0.23,0.96,103386.15,92502.43,3890.8,42200.87,4.39,0.72,5.49,14.66,20160708,17597.71,1.83,46.45,28.08,36.88,9.58,19394
603589,口子窖,白酒,安徽,21.77,2.94,6.0,535764.94,353581.06,113501.02,97688.22,1.63,1.187,6.95,4.96,20150629,239462.13,3.99,10.48,32.21,72.6,30.51,42243
002760,凤形股份,机械基件,安徽,317.86,0.45,0.88,106974.45,50429.26,40212.59,23660.35,2.69,0.116,6.49,5.69,20150611,21573.96,2.45,-26.42,-64.61,19.43,3.33,13496
