code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603638,艾迪精密,专用机械,山东,81.39,0.44,1.76,62873.11,25333.25,0.0,0.0,0.0,0.326,3.65,9.69,20170120,0.0,0.0,0.0,0.0,22.76,19.6,46403
603639,海利尔,农药化肥,山东,38.12,0.3,1.2,96895.55,58693.55,17550.51,8883.05,0.74,1.152,7.43,7.89,20170112,45427.34,3.79,1.09,13.13,35.79,16.0,32221
300583,赛托生物,生物制药,山东,85.32,0.27,1.07,94700.42,0.0,0.0,0.0,0.0,0.678,6.89,11.21,20170106,0.0,0.0,-21.75,-49.75,0.0,18.97,29692
002838,道恩股份,塑料,山东,71.67,0.21,0.84,67476.68,40767.73,13757.82,9038.25,1.08,0.732,7.19,9.72,20170106,27768.75,3.31,19.03,48.28,25.35,11.32,9994
603577,汇金通,钢加工,山东,116.07,0.29,1.17,101383.6,73521.3,20522.25,24119.0,2.07,0.395,5.96,10.26,20161222,17820.59,1.53,0.0,0.0,28.09,10.96,27115
603708,家家悦,超市连锁,山东,44.5,0.9,3.6,463507.94,317130.72,110066.92,35264.98,0.98,0.495,4.11,7.16,20161213,40863.45,1.14,0.0,0.0,21.45,2.2,83147
300569,天能重工,专用机械,山东,42.81,0.21,0.83,130181.85,104246.09,13808.07,18605.95,2.23,1.832,12.64,8.27,20161125,51067.76,6.13,3.83,54.01,36.08,20.07,21249
603858,步长制药,中成药,山东,37.86,0.7,6.82,1628942.13,617278.56,128687.51,22941.02,0.34,1.846,13.74,6.78,20161118,726327.81,10.65,0.0,0.0,83.55,13.98,61706
603421,鼎信通讯,通信设备,山东,61.05,0.43,4.33,203748.47,155399.31,12327.0,53400.91,1.23,0.52,4.22,9.03,20161011,74775.96,1.73,0.0,0.0,62.47,22.94,41404
601163,三角轮胎,汽车配件,山东,34.27,2.0,8.0,1293389.63,761960.31,387679.5,412397.31,5.15,0.92,9.48,3.42,20160909,196386.7,2.45,0.0,0.0,26.88,11.46,136780
002810,山东赫达,化工原料,山东,97.8,0.24,0.96,102905.61,56236.91,34368.81,19075.25,2.0,0.5,6.64,7.63,20160826,30115.98,3.15,0.0,0.0,25.5,8.87,16144
002805,丰元股份,化工原料,山东,208.93,0.24,0.97,56058.46,28193.39,18720.27,15812.97,1.63,0.23,5.5,9.26,20160707,24472.78,2.53,0.0,0.0,20.92,9.41,17510
601966,玲珑轮胎,汽车配件,山东,30.25,2.0,12.0,1686478.25,628793.0,909712.81,266548.47,2.22,0.73,6.41,4.07,20160706,341448.66,2.85,0.0,0.0,29.44,10.47,111962
603779,威龙股份,红黄药酒,山东,176.86,0.5,2.0,144937.38,92808.13,27016.08,14475.42,0.72,0.17,3.76,9.09,20160516,37026.64,1.85,0.0,0.0,58.58,5.61,28231
603029,天鹅股份,专用机械,山东,197.25,0.23,0.93,91105.65,54614.07,19154.24,22077.5,2.37,0.21,7.47,6.71,20160427,33627.67,3.6,0.0,0.0,37.12,8.43,21581
603798,康普顿,石油加工,山东,46.51,0.25,1.0,91166.86,59296.18,10367.66,36293.3,3.63,1.03,7.57,7.76,20160406,26228.9,2.62,0.0,0.0,36.99,15.35,15263
002768,国恩股份,塑料,山东,49.59,0.87,2.4,163926.86,105845.57,28530.55,22617.92,0.94,0.545,3.46,7.82,20150630,32566.65,1.36,71.03,81.23,19.05,10.21,26009
603223,恒通股份,公路,山东,65.45,0.79,1.2,93703.67,31912.9,41998.65,28106.4,2.34,0.372,5.17,6.28,20150630,20269.82,1.69,-5.05,89.28,9.57,3.16,7253
300479,神思电子,软件服务,山东,307.51,0.87,1.6,43394.19,33986.43,7206.72,8143.97,0.51,0.062,2.45,10.45,20150612,12920.76,0.81,-26.25,-68.81,28.62,5.32,18343
603026,石大胜华,化工原料,山东,41.28,1.4,2.03,215912.41,66748.02,119791.07,42942.15,2.12,0.672,7.29,5.07,20150529,67638.75,3.34,8.79,202.21,11.09,5.04,39403
603021,山东华鹏,玻璃,山东,87.12,0.64,1.23,274050.09,100052.88,41927.94,80333.88,6.53,0.44,10.95,4.2,20150423,39773.15,3.23,-7.66,14.02,33.34,9.37,9170
300443,金雷风电,专用机械,山东,39.43,0.57,1.19,158949.84,108793.82,26950.34,80274.97,6.74,1.16,12.07,4.85,20150422,47339.23,3.98,-15.63,27.98,44.38,31.93,17707
300423,鲁亿通,电气设备,山东,147.86,0.45,1.08,61876.69,46326.21,7553.71,18904.5,1.76,0.23,4.25,8.0,20150217,16880.57,1.57,-25.73,-43.73,31.07,10.61,9993
002746,仙坛股份,农业综合,山东,36.74,0.56,1.82,239869.34,140381.42,70917.63,118725.25,6.53,1.12,10.92,4.4,20150216,58708.63,3.23,14.81,1147.86,16.0,11.8,11127
300391,康跃科技,机械基件,山东,870.69,0.62,1.67,74810.93,38749.05,27644.58,6815.7,0.41,0.025,2.17,10.15,20140801,11041.03,0.66,22.81,-16.05,32.55,1.8,12453
002726,龙大肉食,食品,山东,32.97,1.09,4.45,219945.75,150949.27,46778.19,62558.55,1.41,0.47,3.98,5.12,20140626,61450.78,1.38,28.0,121.69,9.51,5.29,20567
603167,渤海轮渡,水运,山东,18.08,4.81,4.81,383190.41,45983.8,314359.53,106257.17,2.21,0.468,6.21,1.82,20120906,124483.72,2.59,-3.47,46.15,30.6,25.56,36264
300343,联创互联,互联网,山东,52.94,2.34,5.9,493634.94,192605.77,20480.07,307476.31,5.21,0.28,6.75,2.85,20120801,30095.35,0.51,143.38,376.88,22.84,10.57,10868
002675,东诚药业,化学制药,山东,76.83,5.38,7.04,426793.91,194086.22,42845.35,146534.09,2.08,0.2,3.93,3.64,20120525,48589.1,0.69,45.73,45.92,47.13,11.3,26800
300321,同大股份,塑料,山东,94.68,0.82,0.89,66376.7,29378.1,28028.71,23806.32,2.68,0.261,6.39,5.15,20120523,21335.01,2.4,-9.44,-19.39,20.84,7.33,7342
002671,龙泉股份,其他建材,山东,147.61,3.12,4.81,353167.03,203526.67,63065.95,121059.65,2.52,0.059,4.29,2.72,20120426,33051.28,0.69,46.08,3.77,33.01,5.37,32153
300308,中际装备,工程机械,山东,1484.37,2.15,2.16,62547.43,29240.8,18413.97,23233.75,1.08,0.019,2.54,14.94,20120410,8804.3,0.41,19.27,177.99,28.01,5.02,7619
002655,共达电声,元器件,山东,279.88,3.6,3.6,126927.26,59173.63,39767.34,6423.6,0.18,0.05,1.8,7.8,20120217,19581.11,0.54,1.53,-6.3,29.55,2.51,35313
300285,国瓷材料,陶瓷,山东,93.37,2.06,2.99,223322.38,127869.81,49102.65,97511.31,3.26,0.45,5.64,7.21,20120113,36242.19,1.21,28.35,51.76,37.64,19.07,5531
002643,万润股份,化工原料,山东,42.38,3.1,3.64,429989.69,193652.0,114710.95,261107.72,7.18,0.92,10.59,3.51,20111220,70845.36,1.95,13.26,23.58,40.83,17.25,31815
002604,龙力生物,食品,山东,49.97,4.31,6.0,381360.84,115380.6,56820.4,184023.77,3.07,0.162,5.1,2.12,20110728,54042.66,0.9,3.39,86.23,37.53,15.87,54100
300243,瑞丰高材,化工原料,山东,107.59,1.33,2.06,116783.1,65784.24,24632.01,4168.81,0.2,0.11,2.35,6.71,20110712,21858.1,1.06,2.84,-31.95,28.21,3.59,11587
002598,山东章鼓,机械基件,山东,69.39,2.71,3.12,99644.99,67549.93,21079.57,21169.92,0.68,0.136,2.36,5.33,20110707,15938.48,0.51,4.35,-1.33,35.87,12.16,22201
601058,赛轮金宇,汽车配件,山东,23.35,22.61,22.94,1266512.38,491345.44,579583.0,103769.31,0.45,0.133,1.97,2.11,20110630,111524.61,0.49,11.92,97.15,19.76,3.8,78823
300237,美晨科技,建筑施工,山东,43.35,3.47,8.07,496353.81,373021.0,30310.14,93887.9,1.16,0.301,3.02,5.75,20110629,65737.72,0.81,63.87,140.25,33.6,14.4,14986
002595,豪迈科技,专用机械,山东,26.96,4.68,8.0,372672.03,166423.7,102140.13,50634.4,0.63,0.707,4.22,6.03,20110628,184536.86,2.31,11.71,11.32,43.81,29.83,27140
300233,金城医药,化学制药,山东,75.42,2.29,3.93,209754.97,99582.71,71430.32,53530.68,1.36,0.251,5.44,4.63,20110622,56554.48,1.44,-5.4,-22.89,31.25,12.22,13185
002588,史丹利,农药化肥,山东,19.53,7.19,11.65,657481.38,327176.28,154282.63,30729.93,0.26,0.397,3.41,3.03,20110610,230293.34,1.98,-24.66,-14.35,24.92,9.93,53581
