code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300486,东杰智能,专用机械,山西,0.0,0.84,1.41,103133.18,72396.38,16441.45,32944.37,2.33,-0.359,4.75,4.76,20150630,17694.67,1.25,-55.29,-330.94,16.7,-49.34,18988
002753,永东股份,化工原料,山西,70.07,0.57,1.48,100560.53,58343.53,36032.87,34013.06,2.3,0.334,6.0,5.2,20150519,35856.31,2.42,17.32,16.37,23.89,6.64,12079
002640,跨境通,服饰,山西,62.21,7.41,14.29,710828.31,556674.06,12267.94,215228.3,1.51,0.29,2.94,5.82,20111208,71623.03,0.5,115.53,133.85,48.34,4.61,22995
300254,仟源医药,化学制药,山西,104.25,1.37,2.08,139125.73,50751.51,27086.59,44225.73,2.12,0.14,3.87,5.01,20110819,14140.49,0.68,10.13,-4.0,66.67,5.55,15744
300158,振东制药,中成药,山西,78.7,2.86,5.2,690507.25,283899.53,100550.3,425431.56,8.18,0.3,9.76,2.12,20110107,28048.55,0.54,27.97,105.02,42.51,5.26,13327
002500,山西证券,证券,山西,72.93,28.29,28.29,4611425.5,0.0,32706.6,671329.63,2.37,0.115,4.28,2.6,20101115,140508.63,0.5,-44.22,-73.9,0.0,20.37,163146
002360,同德化工,化工原料,山西,62.09,2.95,3.92,139830.22,58148.88,25763.15,6320.66,0.16,0.133,2.52,4.38,20100303,44827.53,1.14,-17.42,-29.17,45.85,13.13,20078
601699,潞安环能,煤炭开采,山西,211.74,29.91,29.91,5433995.5,1995746.25,1360444.75,143935.84,0.48,0.03,6.06,1.4,20060922,863702.13,2.89,-8.92,-47.36,28.0,1.13,82765
601006,大秦铁路,铁路,山西,16.01,148.67,148.67,11930768.0,2016121.75,6747523.0,2473876.0,1.66,0.346,5.89,1.25,20060801,3878423.5,2.61,-21.82,-54.01,16.62,16.29,183469
601001,大同煤业,煤炭开采,山西,29.56,16.74,16.74,2684911.0,1171525.88,439867.09,112577.25,0.67,0.154,3.05,1.99,20060623,42954.98,0.26,-18.52,122.62,48.44,5.56,101775
600495,晋西车轴,运输设备,山西,375.33,12.08,12.08,368195.75,214696.55,69145.18,116013.51,0.96,0.022,2.57,3.26,20040526,55797.4,0.46,-52.18,-73.27,14.68,2.8,162823
600348,阳泉煤业,煤炭开采,山西,96.74,24.05,24.05,3867660.5,1287889.63,1063493.38,0.0,0.0,0.053,5.58,1.22,20030821,743466.69,3.09,-7.72,-52.55,14.36,1.03,97026
