,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
26,603797,联泰环保,环境保护,广东,58.78,0.53,2.13,240982.3,13236.45,519.81,26162.51,1.23,0.065,4.45,3.42,20170413,27277.73,1.28,0.0,0.0,57.71,30.76,49067
18,300639,凯普生物,医疗保健,广东,61.02,0.23,0.9,57915.15,24890.86,25004.0,15447.27,1.72,0.845,7.43,6.94,20170412,26106.93,2.9,15.51,16.69,85.67,19.1,43575
10,002862,实丰文化,文教休闲,广东,68.85,0.2,0.8,33777.53,21867.42,8275.25,12461.55,1.56,0.501,4.92,7.01,20170411,9796.23,1.22,-3.18,-6.3,25.05,9.89,37057
1978,300635,达安股份,建筑施工,广东,56.56,0.21,0.85,50438.46,49604.96,67.4,8595.96,1.01,0.649,5.41,6.78,20170331,17130.89,2.02,2.84,8.01,32.34,13.51,39795
3169,601228,广州港,港口,广东,89.91,6.99,61.93,2096689.38,284503.47,1135228.38,100512.78,0.16,0.108,1.82,5.35,20170329,314446.72,0.51,15.27,-0.24,25.49,8.67,548899
1951,603833,欧派家居,家居用品,广东,46.35,0.42,4.15,554842.75,219891.17,154291.38,65022.61,1.57,2.288,7.72,13.74,20170328,173348.88,4.18,27.23,94.39,36.55,13.31,39144
116,300629,新劲刚,矿物制品,广东,126.05,0.17,0.67,39283.85,27371.24,9031.75,5031.68,0.75,0.402,4.23,11.97,20170324,10057.5,1.51,0.59,21.76,31.63,10.95,30744
2888,002774,快意电梯,运输设备,广东,58.63,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,9.42,20170324,13847.5,0.41,4.68,49.25,37.84,12.56,142948
571,002855,捷荣技术,塑料,广东,69.55,0.6,2.4,164321.38,113054.6,37191.48,21839.24,0.91,0.301,4.47,4.68,20170321,37180.89,1.55,-20.85,-12.37,18.02,3.93,104263
2427,300625,三雄极光,半导体,广东,45.17,0.7,2.8,131153.77,94307.11,21518.42,814.9,0.03,0.881,3.49,11.39,20170317,43168.55,1.54,2.7,35.89,37.01,13.0,119575
323,603630,拉芳家化,日用化工,广东,49.94,0.44,1.74,107976.85,85920.31,7582.85,16333.92,0.94,0.857,6.42,6.66,20170313,49240.78,2.82,6.53,4.65,59.19,14.25,44166
2406,002853,皮阿诺,家居用品,广东,55.15,0.16,0.62,64505.57,39334.76,15603.1,15085.6,2.43,1.409,8.18,9.5,20170310,16149.98,2.6,23.12,27.74,37.85,13.89,28965
457,300620,光库科技,元器件,广东,73.33,0.22,0.88,24316.84,21265.57,1330.56,6031.31,0.69,0.563,2.99,13.83,20170310,6138.6,0.7,28.3,62.44,49.01,28.1,41784
2669,300616,尚品宅配,家居用品,广东,59.29,0.27,1.08,214996.52,121581.38,72835.47,3542.73,0.33,2.366,10.3,13.62,20170307,68781.35,6.37,30.39,83.12,46.19,6.35,48887
2914,300619,金银河,专用机械,广东,246.98,0.19,0.75,64618.45,53298.19,5905.9,18789.59,2.52,0.06,5.07,9.5,20170301,9774.76,1.31,0.0,0.0,29.08,7.3,21126
238,300607,拓斯达,专用机械,广东,103.38,0.18,0.72,54751.26,0.0,0.0,0.0,0.0,0.649,5.63,15.87,20170209,0.0,0.0,0.0,0.0,0.0,18.41,33272
2046,300606,金太阳,矿物制品,广东,77.25,0.22,0.89,31539.24,17098.48,10568.51,3423.28,0.38,0.6,3.63,9.6,20170208,12647.03,1.42,6.98,23.87,36.15,18.25,41200
2318,002846,英联股份,广告包装,广东,118.72,0.3,1.2,60783.8,40894.3,14471.37,24976.35,2.08,0.11,4.3,10.81,20170207,12964.75,1.08,0.0,0.0,28.14,14.6,12056
2716,300599,雄塑科技,塑料,广东,65.11,0.76,3.04,109598.9,50698.07,38369.56,17240.01,0.57,0.238,2.79,7.41,20170123,20844.02,0.69,0.0,0.0,22.98,8.81,129989
2207,002842,翔鹭钨业,小金属,广东,63.53,0.25,1.0,75118.06,58211.16,0.0,0.0,0.0,0.472,6.07,6.59,20170119,0.0,0.0,-9.9,12.29,0.0,9.12,48379
2412,002841,视源股份,元器件,广东,46.85,0.41,4.04,285982.5,227939.45,39754.15,0.0,0.0,2.04,3.43,25.12,20170119,80738.0,2.0,37.39,109.32,20.78,9.01,25449
