code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600936,广西广电,影视音像,广西,54.54,3.0,16.71,707051.38,266729.06,286343.41,110046.57,0.66,0.2,2.19,5.52,20160815,71710.18,0.43,0.0,0.0,32.02,15.97,113363
601368,绿城水务,水务,广西,31.29,2.94,7.36,780430.25,196626.52,318056.09,90107.85,1.22,0.277,3.69,3.14,20150612,92084.65,1.25,5.12,6.35,48.63,23.27,54215
603869,北部湾旅,旅游服务,广西,90.49,0.73,3.49,384600.63,209946.97,60364.63,187780.45,5.38,0.43,8.35,3.88,20150326,28347.84,0.81,33.25,20.26,49.51,24.21,16642
300422,博世科,环境保护,广西,103.59,0.7,1.42,229756.59,130750.9,9715.85,67436.56,4.74,0.49,7.0,6.52,20150217,20125.95,1.41,64.26,45.79,27.19,7.56,17094
603368,柳州医药,医药商业,广西,34.59,0.57,1.42,627892.69,569642.56,36856.39,218929.67,15.38,2.34,22.41,3.48,20141204,76580.9,5.38,16.16,54.05,9.41,4.25,24527
603166,福达股份,汽车配件,广西,119.51,1.5,5.92,352654.22,174816.44,146127.7,103397.56,1.75,0.11,3.46,4.57,20141127,38746.26,0.65,1.52,65.77,27.01,8.21,24227
002696,百洋股份,渔业,广西,76.63,1.04,1.76,191420.13,92532.27,72319.61,46820.73,2.66,0.337,5.81,4.44,20120905,35469.64,2.02,10.99,3.81,11.68,2.86,11470
002592,八菱科技,汽车配件,广西,71.45,1.29,2.83,249874.25,113545.63,24279.98,119789.11,4.23,0.32,7.18,4.25,20111111,44661.3,1.58,52.31,-8.27,17.18,14.46,13846
601996,丰林集团,林业,广西,56.6,4.69,4.79,211898.22,137405.77,52799.8,71519.0,1.49,0.151,3.75,3.04,20110929,50762.1,1.06,8.77,45.14,20.77,8.09,22897
002329,皇氏集团,乳制品,广西,63.31,4.84,8.38,530288.56,210429.02,54577.46,130885.07,1.56,0.158,3.25,4.12,20100106,53144.91,0.63,52.18,76.38,32.29,8.32,84279
002275,桂林三金,中成药,广西,27.15,5.32,5.9,270205.91,142657.81,78094.85,69025.2,1.17,0.536,3.98,4.87,20090710,74216.47,1.26,11.51,10.29,72.39,31.47,17378
002175,东方网络,电器仪表,广西,380.06,5.18,7.54,283654.41,118724.47,14565.54,52617.11,0.7,0.032,1.87,8.77,20071012,10656.2,0.14,63.52,28.35,42.68,6.45,39143
002166,莱茵生物,中成药,广西,97.97,3.49,4.37,213269.77,127809.42,12314.46,26166.93,0.6,0.098,1.87,6.83,20070913,10345.32,0.24,-13.37,-24.35,24.96,13.09,70743
601003,柳钢股份,普钢,广西,73.86,25.63,25.63,2108668.75,1040353.81,997649.5,20843.6,0.08,0.048,1.78,2.67,20070227,83194.25,0.32,-4.35,112.54,5.24,0.66,81823
600249,两面针,日用化工,广西,0.0,4.5,5.5,357571.41,113444.76,125607.9,85739.86,1.56,-0.168,3.6,3.07,20040130,6999.07,0.13,12.55,8.75,12.42,-8.1,50884
600423,柳化股份,农药化肥,广西,0.0,3.99,3.99,421139.06,99262.18,293167.03,50930.59,1.28,-1.081,0.9,8.2,20030717,-64391.26,-1.61,-18.64,-54.23,-4.27,-26.5,30357
600538,国发股份,农药化肥,广西,0.0,2.79,4.64,96483.43,58290.76,31839.65,58689.13,1.26,-0.043,1.43,9.11,20030114,-42553.98,-0.92,-7.12,-407.17,11.04,-6.02,17529
600556,ST慧球,软件服务,广西,0.0,3.95,3.95,13982.76,13594.8,285.08,38802.3,0.98,-0.046,0.04,316.94,20010807,-80644.0,-2.04,-35.38,-1804.47,12.89,-56.61,72461
600310,桂东电力,水力发电,广西,52.17,8.28,8.28,1092885.5,360196.13,279285.03,27668.49,0.33,0.125,3.09,2.82,20010228,9518.12,0.11,27.28,-74.32,15.57,3.04,40099
600368,五洲交通,路桥,广西,24.81,8.34,8.34,1141864.25,394241.91,652602.75,48939.05,0.59,0.266,3.59,1.84,20001221,129031.36,1.55,-38.16,332.27,72.41,17.22,53014
600252,中恒集团,中成药,广西,27.48,32.75,34.75,604510.44,311046.75,91460.8,8572.66,0.02,0.125,1.52,3.0,20001130,96770.09,0.28,-13.29,-27.66,69.25,38.93,180488
600301,*ST南化,化工原料,广西,0.0,2.35,2.35,83755.61,42668.78,4553.24,110156.82,4.68,-0.14,0.96,13.41,20000712,-116845.71,-4.97,-72.19,-223.42,11.6,-71.21,10835
000978,桂林旅游,旅游景点,广西,64.13,3.6,3.6,274187.66,36429.53,100790.31,97098.46,2.7,0.137,4.19,2.79,20000518,10671.21,0.3,-6.75,54.82,47.12,13.78,24869
600236,桂冠电力,水力发电,广西,11.87,36.04,60.63,3972517.5,292208.84,3358252.5,213383.52,0.35,0.404,2.15,2.98,20000323,416220.56,0.69,-9.77,15.42,60.09,34.57,88759
000953,*ST河化,农药化肥,广西,0.0,2.94,2.94,78517.63,22290.11,55575.53,4456.81,0.15,-0.482,-0.3,-39.64,19991202,-46457.32,-1.58,-36.05,-32.47,-14.94,-35.59,42461
000911,南宁糖业,食品,广西,0.0,3.24,3.24,602166.94,319463.19,160229.52,145654.11,4.49,-0.797,4.12,3.76,19990527,-59734.36,-1.84,-26.42,-750.69,8.36,-15.9,37326
000833,贵糖股份,造纸,广西,0.0,3.78,6.68,324505.69,140472.3,75333.46,134248.77,2.01,-0.008,3.88,2.35,19981111,48644.05,0.73,1.09,-106.13,13.19,-0.39,51449
000806,银河生物,生物制药,广西,2845.89,6.98,11.0,283254.13,171500.17,37434.06,105668.88,0.96,0.003,1.84,6.6,19980416,-22164.46,-0.2,38.52,-96.6,25.25,0.42,81900
000750,国海证券,证券,广西,21.03,42.16,42.16,4519417.0,0.0,17091.15,627598.13,1.49,0.232,3.28,1.99,19970709,181471.92,0.43,-20.22,-30.6,0.0,34.17,165431
000716,黑芝麻,食品,广西,63.74,5.41,6.38,317890.94,160958.7,77626.9,89629.35,1.41,0.095,2.8,2.88,19970418,26346.45,0.41,13.96,-14.34,30.57,5.14,35149
000703,恒逸石化,化纤,广西,26.36,11.54,16.2,2753430.25,1144458.25,821895.94,436678.5,2.7,0.61,6.74,2.0,19970328,450258.75,2.78,6.93,349.79,3.43,2.56,17938
000662,天夏智慧,软件服务,广西,87.63,2.88,8.41,534542.69,158231.72,25781.9,385067.06,4.58,0.24,5.75,3.3,19961216,8358.53,0.1,96.94,39522.08,30.13,20.85,17205
000608,阳光股份,区域地产,广西,0.0,7.5,7.5,980093.69,361404.31,2692.3,51115.2,0.68,-0.624,3.8,2.09,19960919,129681.1,1.73,-1.24,-2420.31,46.91,-73.21,29696
600712,南宁百货,百货,广西,0.0,5.38,5.45,206961.56,48638.12,116333.51,36985.75,0.68,-0.028,1.98,4.97,19960626,11671.85,0.21,-9.27,-114.83,15.93,-0.98,35767
000582,北部湾港,港口,广西,33.35,2.02,9.54,1230757.0,219986.8,774009.19,274603.78,2.88,0.408,6.57,2.76,19951102,224109.84,2.35,-6.49,10.51,36.54,18.15,24631
