code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300603,立昂技术,通信设备,新疆,234.87,0.26,1.03,51134.3,40546.96,2000.05,6369.33,0.62,0.16,3.23,15.47,20170126,9188.88,0.9,0.0,0.0,22.79,8.33,49771
300588,熙菱信息,软件服务,新疆,195.72,0.25,1.0,56614.28,51147.35,620.26,2811.37,0.28,0.191,2.53,19.73,20170105,8074.63,0.81,0.0,0.0,20.97,5.47,12562
603032,德新交运,公路,新疆,84.97,0.33,1.33,34404.12,25663.67,4976.48,1657.23,0.12,0.318,2.53,14.27,20170105,11475.32,0.86,-21.63,20.19,34.21,21.18,30496
002828,贝肯能源,石油开采,新疆,107.27,0.29,1.17,92394.52,60252.73,0.0,0.0,0.0,0.311,5.59,7.95,20161208,0.0,0.0,0.0,0.0,22.21,10.34,55313
603393,新天然气,供气供热,新疆,54.48,0.4,1.6,197829.0,130871.47,56689.38,117074.22,7.32,1.0,10.66,5.09,20160912,27113.8,1.69,0.0,0.0,31.38,20.88,36934
002800,天顺股份,仓储物流,新疆,141.96,0.19,0.75,59389.07,47115.71,2874.24,15270.51,2.04,0.39,5.37,11.71,20160530,16415.95,2.2,0.0,0.0,14.36,6.62,17798
603101,汇嘉时代,百货,新疆,72.0,0.6,2.4,206561.75,40967.32,82675.17,43718.01,1.82,0.29,4.89,4.95,20160506,46277.73,1.93,0.0,0.0,17.21,3.16,29218
603227,雪峰科技,化工原料,新疆,3715.15,4.22,6.59,264678.69,136701.48,88838.6,32702.28,0.5,0.002,1.75,5.69,20150515,11085.57,0.17,-0.78,-98.66,24.9,0.22,46228
000166,申万宏源,证券,新疆,24.5,71.85,200.57,25134012.0,0.0,125284.42,444494.59,0.22,0.192,2.52,2.48,20150126,1664644.13,0.83,-53.09,-50.8,0.0,37.87,329930
601069,西部黄金,黄金,新疆,98.08,1.9,6.36,256593.3,67341.42,105915.17,50813.8,0.8,0.17,2.65,8.35,20150122,46849.09,0.74,20.07,78.84,37.06,12.39,61517
002719,麦趣尔,乳制品,新疆,81.06,0.82,1.09,142703.7,90006.96,22382.22,74613.18,6.86,0.423,10.65,4.3,20140128,30348.45,2.79,16.23,-19.28,46.71,10.85,14021
002700,新疆浩源,供气供热,新疆,75.46,3.13,4.22,107341.22,55165.11,40894.76,2375.48,0.06,0.19,2.13,6.72,20120921,39873.12,0.94,-17.6,-27.78,40.92,23.0,25808
300313,天山生物,农业综合,新疆,0.0,1.82,1.97,97412.18,36806.53,37803.05,28757.18,1.46,-0.293,2.29,8.65,20120425,-4218.95,-0.21,106.95,-306.62,-0.43,-17.33,8375
300159,新研股份,农用机械,新疆,157.42,7.65,14.9,784299.0,255678.41,133694.63,345429.47,2.32,0.072,3.8,3.97,20110107,65645.38,0.44,48.52,25.37,36.14,14.01,22719
002524,光正集团,供气供热,新疆,0.0,5.01,5.03,173197.41,43981.05,77134.3,25351.9,0.5,-0.077,1.38,8.76,20101217,-9319.3,-0.19,-11.96,-1003.1,30.41,-11.48,30746
