code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300631,久吾高科,环境保护,江苏,34.18,0.16,0.64,57826.46,42571.4,11932.55,162.5,0.03,0.671,8.16,2.81,20170323,31856.83,4.97,5.09,-14.37,42.92,17.51,29753
603133,碳元科技,元器件,江苏,50.73,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,6.2,20170320,18411.78,0.89,40.6,51.09,30.32,17.67,14
603179,新泉股份,汽车配件,江苏,55.12,0.4,1.59,199872.56,139237.27,40132.15,21180.64,1.33,0.713,4.97,7.91,20170317,24215.32,1.52,89.65,116.24,24.55,6.64,38383
300623,捷捷微电,半导体,江苏,83.0,0.24,0.94,57107.98,31056.77,14879.84,13454.97,1.44,1.244,7.13,14.47,20170314,25169.03,2.69,37.33,44.24,54.79,35.11,44549
603955,大千生态,建筑施工,江苏,86.13,0.22,0.87,157274.13,118076.47,447.52,30958.35,3.56,0.801,10.53,6.55,20170310,27676.27,3.18,13.62,15.55,25.65,11.65,22110
300618,寒锐钴业,小金属,江苏,148.56,0.3,1.2,80345.5,53050.67,21414.82,13453.65,1.12,0.555,4.15,19.85,20170306,12583.58,1.05,-20.24,134.5,23.2,8.96,53659
300617,安靠智电,电气设备,江苏,102.55,0.17,0.67,61349.6,38024.14,18591.46,9920.13,1.49,1.089,7.85,14.23,20170228,21374.93,3.21,19.42,13.81,50.97,22.41,30768
300610,晨化股份,化工原料,江苏,77.16,0.25,1.0,45725.12,34945.35,5344.81,12699.3,1.27,0.457,5.07,9.28,20170213,13197.32,1.32,0.0,0.0,26.09,11.26,45000
603626,科森科技,专用机械,江苏,72.86,0.53,2.11,129728.51,67467.31,47198.9,522.72,0.02,0.594,3.43,16.8,20170209,35369.07,1.68,0.0,0.0,31.23,13.86,54284
603358,华达科技,汽车配件,江苏,41.05,0.4,1.6,222431.52,129601.75,66183.4,41137.95,2.57,1.255,9.75,7.05,20170125,58091.18,3.63,0.0,0.0,24.3,10.85,37132
603966,法兰泰克,机械基件,江苏,130.75,0.4,1.6,73405.46,52539.18,0.0,0.0,0.0,0.228,4.12,9.66,20170125,0.0,0.0,0.0,0.0,0.0,9.91,38467
300600,瑞特股份,电气设备,江苏,69.54,0.25,1.0,66824.5,40281.95,15228.7,9876.7,0.99,0.859,6.68,11.92,20170125,30328.86,3.03,0.0,0.0,55.73,29.42,13730
002839,张家港行,银行,江苏,77.41,1.81,18.08,8756601.0,0.0,0.0,0.0,0.0,0.285,4.59,6.42,20170124,0.0,0.0,-2.14,-4.09,0.0,29.35,298143
300598,诚迈科技,软件服务,江苏,102.89,0.2,0.8,36148.94,28534.97,839.49,5471.66,0.68,0.84,4.62,14.07,20170120,14660.72,1.83,14.69,17.55,31.55,10.0,16178
300584,海辰药业,化学制药,江苏,105.78,0.2,0.8,34061.55,9754.3,15028.7,7264.67,0.91,0.39,4.37,12.59,20170112,11848.53,1.48,0.0,0.0,66.38,16.06,36511
300580,贝斯特,汽车配件,江苏,60.78,0.5,2.0,104689.36,45251.4,48133.9,28680.76,1.43,0.414,4.42,7.6,20170111,20627.85,1.03,19.33,33.99,42.63,20.85,87954
603035,常熟汽饰,汽车配件,江苏,38.27,0.7,2.8,226379.91,74375.7,0.0,0.0,0.0,0.568,6.39,4.53,20170105,0.0,0.0,37.51,1.08,24.52,15.95,64312
603929,亚翔集成,装修装饰,江苏,36.42,0.53,2.13,115025.65,110271.77,2156.11,10514.92,0.49,0.712,4.15,8.33,20161230,36964.55,1.73,0.0,0.0,13.95,8.5,50285
300585,奥联电子,汽车配件,江苏,92.94,0.2,0.8,35248.01,21864.56,9719.71,5280.45,0.66,0.461,3.83,14.91,20161229,10740.83,1.34,17.13,24.91,41.03,16.78,36518
603416,信捷电气,电气设备,江苏,71.03,0.25,1.0,47691.9,37858.3,0.0,0.0,0.0,0.641,5.08,11.96,20161221,0.0,0.0,12.66,15.55,0.0,26.15,27130
300575,中旗股份,农药化肥,江苏,61.78,0.18,0.73,99494.96,53228.15,30453.76,12238.74,1.67,0.761,9.4,6.67,20161220,30499.8,4.16,2.32,-18.88,21.41,9.09,13808
603878,武进不锈,钢加工,江苏,59.31,0.51,2.02,172152.67,116886.88,38053.25,41118.78,2.04,0.442,7.96,4.39,20161219,56448.5,2.79,0.0,0.0,20.77,9.01,47889
603389,亚振家居,家居用品,江苏,144.1,0.55,2.19,60124.23,39283.35,12430.91,4661.16,0.21,0.191,2.6,14.09,20161215,20086.35,0.92,0.0,0.0,58.99,11.17,51084
603585,苏利股份,化工原料,江苏,42.2,0.25,1.0,121049.42,73447.21,32697.65,17487.23,1.75,1.304,8.91,8.24,20161214,37091.34,3.71,0.0,0.0,33.56,13.02,26947
603928,兴业股份,化工原料,江苏,50.71,0.5,2.02,74289.25,51164.34,0.0,0.0,0.0,0.417,3.89,7.24,20161212,0.0,0.0,0.0,0.0,0.0,14.35,47511
603036,如通股份,专用机械,江苏,131.1,0.51,2.03,73579.56,56679.8,13282.86,15650.63,0.77,0.234,4.15,9.87,20161209,29454.93,1.45,0.0,0.0,48.87,28.01,47504
603990,麦迪科技,软件服务,江苏,161.98,0.2,0.8,46393.01,23379.53,0.0,0.0,0.0,0.27,3.47,16.83,20161208,0.0,0.0,29.35,346.82,0.0,14.86,20009
603660,苏州科达,通信设备,江苏,278.4,0.5,2.5,95091.3,77222.65,7630.92,3052.75,0.12,0.095,3.15,11.16,20161201,39285.68,1.57,0.0,0.0,66.92,2.73,49529
603323,吴江银行,银行,江苏,26.45,1.12,11.14,7785579.0,0.0,107203.9,100000.0,0.9,0.505,7.02,2.54,20161129,91281.2,0.82,0.0,0.0,0.0,32.42,105611
603819,神力股份,电气设备,江苏,112.73,0.3,1.2,55723.82,43261.05,7921.93,24484.95,2.04,0.289,5.43,8.01,20161125,12747.17,1.06,0.0,0.0,17.96,8.51,29748
603900,通灵珠宝,服饰,江苏,41.83,0.61,2.43,249315.05,231254.16,8177.75,118960.22,4.89,1.18,8.32,4.57,20161123,52122.75,2.14,10.74,22.3,54.1,13.41,40678
300563,神宇股份,通信设备,江苏,114.58,0.2,0.8,61480.3,36377.15,21113.1,15894.55,1.99,0.58,5.3,9.73,20161114,16639.77,2.08,18.5,10.82,25.27,11.52,15576
603203,快克股份,专用机械,江苏,64.01,0.23,0.92,31503.91,24610.15,3820.6,5890.22,0.64,0.749,3.53,18.11,20161108,8814.1,0.96,0.0,0.0,56.1,32.82,25385
300555,路通视信,通信设备,江苏,86.65,0.2,0.8,53344.86,43758.18,565.17,2844.84,0.36,0.66,3.81,15.01,20161018,19565.47,2.45,0.0,0.0,33.27,14.57,15800
603313,梦百合,家居用品,江苏,47.58,0.6,2.4,204181.73,146496.5,34100.18,89684.93,3.74,0.79,6.71,5.59,20161013,42573.35,1.77,0.0,0.0,33.95,11.62,53283
300549,优德精密,专用机械,江苏,106.92,0.17,0.67,61923.8,49988.6,9121.66,24063.86,3.61,0.66,6.27,11.25,20160930,9507.13,1.43,0.0,0.0,35.35,12.7,14080
601128,常熟银行,银行,江苏,26.6,2.22,22.23,12551607.0,0.0,82973.1,69600.2,0.31,0.39,4.39,2.81,20160930,200559.3,0.9,0.0,0.0,0.0,23.85,182983
600908,无锡银行,银行,江苏,26.34,1.85,18.48,11931127.0,0.0,93544.71,97490.21,0.53,0.42,4.72,2.81,20160923,85009.95,0.46,0.0,0.0,0.0,36.68,153199
601500,通用股份,汽车配件,江苏,88.32,1.75,7.27,409778.13,222723.17,144775.31,74228.81,1.02,0.24,3.44,6.23,20160919,89047.24,1.22,0.0,0.0,17.22,5.53,99701
002807,江阴银行,银行,江苏,49.44,2.09,17.67,10408489.0,0.0,56869.3,71443.8,0.4,0.48,4.95,4.39,20160902,249814.09,1.41,-1.39,-4.49,0.0,31.5,40421
603090,宏盛股份,专用机械,江苏,117.06,0.25,1.0,51796.98,39616.19,4238.75,22229.05,2.22,0.48,4.53,10.29,20160831,11340.46,1.13,-2.99,8.11,36.07,17.33,16552
300537,广信材料,染料涂料,江苏,117.62,0.25,1.0,56504.05,46467.51,6523.21,21955.5,2.2,0.304,4.69,10.16,20160830,13104.82,1.31,0.0,0.0,44.94,15.4,21760
603007,花王股份,建筑施工,江苏,91.98,0.33,1.33,159258.19,106922.42,2671.26,37764.8,2.83,0.6,6.17,9.22,20160826,27960.08,2.1,0.0,0.0,28.7,14.97,23153
002808,苏州恒久,元器件,江苏,161.55,0.3,1.2,55542.73,45809.3,6720.02,20165.7,1.68,0.25,4.2,10.14,20160812,15434.94,1.29,0.0,0.0,25.16,12.7,23012
300528,幸福蓝海,影视音像,江苏,96.17,0.78,3.11,234861.16,172488.88,31433.81,92206.99,2.97,0.3,5.82,5.2,20160808,54043.43,1.74,0.0,0.0,49.32,7.41,44838
600919,江苏银行,银行,江苏,10.89,11.54,115.44,159829248.0,0.0,553778.88,1607527.75,1.39,0.98,7.16,1.4,20160802,2287858.0,1.98,11.81,11.72,0.0,33.84,240799
300522,世名科技,染料涂料,江苏,82.97,0.17,0.67,57716.76,40764.71,9781.62,28469.8,4.27,0.92,8.15,10.72,20160705,17047.18,2.56,0.0,0.0,45.35,24.86,14172
603016,新宏泰,电气设备,江苏,89.2,0.37,1.48,92116.24,71647.63,11197.19,27593.13,1.86,0.4,5.39,7.29,20160701,33594.65,2.27,0.0,0.0,42.68,17.24,22589
603958,哈森股份,服饰,江苏,88.08,0.54,2.17,143794.27,120383.75,14104.76,46205.46,2.13,0.31,5.27,5.7,20160629,41594.05,1.91,0.0,0.0,50.29,4.53,33732
002802,洪汇新材,化工原料,江苏,127.17,0.27,1.08,56769.01,40347.55,10842.82,23470.68,2.17,0.44,4.95,12.5,20160629,17256.21,1.6,0.0,0.0,32.33,17.55,20472
603339,四方冷链,专用机械,江苏,65.8,0.52,2.07,147819.31,128272.38,11410.98,48264.26,2.33,0.46,6.11,5.71,20160519,54815.28,2.65,0.0,0.0,31.26,17.48,34368
002796,世嘉科技,专用机械,江苏,99.11,0.2,0.8,59674.78,45961.76,10132.37,26651.01,3.33,0.51,5.91,9.87,20160510,10449.91,1.31,0.0,0.0,20.31,9.81,18888
603528,多伦科技,软件服务,江苏,44.51,0.52,2.07,185322.75,163770.31,13272.24,37208.1,1.8,1.33,6.29,11.16,20160503,64043.2,3.1,0.0,0.0,63.01,38.92,28456
300507,苏奥传感,汽车配件,江苏,76.96,0.17,0.67,94635.75,80256.88,11219.75,35759.0,5.36,1.58,11.8,9.42,20160429,32622.48,4.89,22.5,23.61,30.87,16.74,13443
300509,新美星,专用机械,江苏,89.77,0.2,0.8,108469.77,92189.36,10381.88,30648.3,3.83,0.54,6.97,8.19,20160425,15515.98,1.94,0.0,0.0,35.79,11.06,15875
603028,赛福天,钢加工,江苏,137.16,0.55,2.21,87517.55,46303.96,23265.92,19095.5,0.86,0.15,3.05,8.0,20160331,24371.38,1.1,0.0,0.0,25.38,7.74,30860
300500,启迪设计,建筑施工,江苏,97.04,0.17,0.61,79305.38,64931.5,4779.1,43457.06,7.07,0.66,11.43,6.94,20160204,18468.92,3.0,9.27,38.51,38.59,15.15,14099
002778,高科石化,石油加工,江苏,103.08,0.45,0.89,73342.65,56890.21,8745.8,21435.85,2.41,0.282,6.58,5.9,20160106,25637.8,2.88,-7.26,-16.09,15.24,6.12,14453
603299,井神股份,化工原料,江苏,1262.17,2.79,5.59,436625.59,137174.45,253009.34,88246.36,1.58,0.009,3.48,4.3,20151231,44138.53,0.79,0.0,0.0,27.95,0.34,36946
002787,华源控股,广告包装,江苏,45.3,0.53,1.44,112943.67,71788.82,26732.77,43895.59,3.05,0.634,6.61,5.8,20151231,33111.09,2.3,9.68,48.99,26.04,12.33,21057
300495,美尚生态,建筑施工,江苏,86.25,0.92,2.4,196746.63,92356.05,3850.71,50889.95,2.12,0.48,5.33,8.63,20151222,44317.4,1.84,11.74,25.93,31.51,20.84,19474
603800,道森股份,专用机械,江苏,0.0,0.68,2.08,114830.15,79084.06,26743.0,49798.3,2.39,-0.185,4.46,7.94,20151210,19705.48,0.95,-42.27,-221.25,8.57,-14.0,15000
601155,新城控股,区域地产,江苏,11.4,7.05,22.59,10317061.0,8017434.5,188586.41,257049.52,1.14,1.36,6.58,2.32,20151204,1022018.63,4.52,18.67,64.42,27.87,10.79,74671
603117,万林股份,仓储物流,江苏,78.12,2.35,4.62,452642.81,346886.75,75556.07,118200.55,2.56,0.17,4.78,3.32,20150629,55565.36,1.2,3.32,27.2,64.74,22.86,32542
603066,音飞储存,专用机械,江苏,69.95,0.46,1.01,97248.0,81231.5,9467.57,38586.21,3.83,0.58,7.78,6.96,20150611,25957.42,2.58,16.81,48.63,36.17,16.78,9414
300466,赛摩电气,电器仪表,江苏,386.36,0.95,2.97,132869.86,59817.38,16894.48,60295.8,2.03,0.073,3.64,10.35,20150528,16205.3,0.55,17.26,41.26,42.41,12.28,30061
603968,醋化股份,化工原料,江苏,37.8,1.37,2.04,172086.47,92854.65,50294.03,39697.4,1.94,0.5,6.03,4.18,20150518,49304.15,2.41,-1.75,16.2,21.22,10.86,20632
300450,先导智能,专用机械,江苏,61.2,1.69,4.08,241574.52,208578.88,18369.89,8291.88,0.2,0.712,2.31,18.84,20150518,39409.48,0.97,101.26,99.68,42.56,26.94,25160
603355,莱克电气,家用电器,江苏,47.63,0.67,4.01,461095.75,363163.16,76426.25,79597.63,1.98,0.835,7.01,7.56,20150513,141499.17,3.53,1.26,35.76,27.08,11.02,14781
600959,江苏有线,影视音像,江苏,42.07,13.96,38.85,1987172.25,518062.44,872303.5,646043.13,1.66,0.189,3.3,3.21,20150428,196435.8,0.51,3.64,9.17,37.82,20.47,181047
300447,全信股份,电气设备,江苏,89.24,0.55,1.63,97037.3,69561.21,9539.65,14998.82,0.92,0.557,3.92,12.67,20150422,31823.15,1.95,66.55,26.66,51.16,21.72,16886
300429,强力新材,化工原料,江苏,62.83,0.99,2.57,107205.77,45132.4,27419.05,38169.84,1.48,0.38,3.66,8.43,20150324,28561.76,1.11,32.4,41.66,44.33,29.21,8339
002747,埃斯顿,机械基件,江苏,166.22,0.6,2.76,188092.94,129540.57,18124.28,99235.56,3.6,0.27,5.27,7.85,20150320,19949.95,0.72,40.4,33.99,31.65,10.11,21860
603158,腾龙股份,汽车配件,江苏,56.0,1.01,2.18,115823.7,80113.11,16241.12,27896.03,1.28,0.367,4.04,6.79,20150320,36014.3,1.65,14.51,19.09,32.29,15.02,12509
603519,立霸股份,家用电器,江苏,73.74,0.77,1.6,82930.47,71737.46,7894.47,18148.0,1.13,0.323,4.17,7.62,20150319,29276.09,1.83,-3.91,10.51,16.54,8.7,10082
603828,柯利达,装修装饰,江苏,115.54,0.6,1.85,260758.88,205679.56,11459.3,53237.78,2.89,0.171,5.48,4.82,20150226,33379.55,1.81,-12.94,-25.85,15.81,3.08,13712
300420,五洋科技,机械基件,江苏,101.0,0.92,2.43,146126.38,83418.65,16887.35,69213.11,2.85,0.3,4.61,6.56,20150217,16941.17,0.7,193.46,235.01,36.23,11.98,9234
300394,天孚通信,通信设备,江苏,46.75,0.68,1.86,81599.9,56734.65,21213.2,22141.35,1.19,0.654,4.07,7.51,20150217,30529.4,1.64,30.8,17.73,61.74,39.21,12519
