code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603977,国泰集团,化工原料,江西,61.87,0.55,2.21,120298.11,49227.05,47510.55,35863.21,1.62,0.59,4.48,6.31,20161111,35777.95,1.62,-2.32,4.05,46.87,21.39,35315
300497,富祥股份,化学制药,江西,38.38,0.57,1.12,120914.92,70798.85,30712.53,39603.69,3.53,1.2,7.23,8.32,20151222,27740.23,2.48,28.79,104.65,42.88,23.46,14079
300453,三鑫医疗,医疗保健,江西,97.67,0.71,1.59,62526.44,29032.5,17184.34,16244.6,1.02,0.231,3.48,6.47,20150515,20450.38,1.29,1.9,-29.42,33.39,11.52,15145
002748,世龙实业,化工原料,江西,56.57,0.82,2.4,113938.07,48953.35,51433.23,33256.03,1.39,0.295,4.2,5.29,20150319,38637.2,1.61,12.06,212.8,20.54,9.91,22279
002695,煌上煌,食品,江西,136.61,4.53,5.0,191394.38,118969.0,51482.21,61436.26,1.23,0.176,3.17,7.59,20120905,41059.12,0.82,5.8,44.87,33.24,7.24,109355
300294,博雅生物,生物制药,江西,63.58,2.18,2.67,241948.25,101068.15,33169.31,118967.92,4.45,1.017,7.83,8.26,20120308,56504.44,2.11,74.27,79.21,63.04,28.74,17110
002591,恒大高新,化工原料,江西,0.0,1.67,2.61,92502.25,52465.08,20433.6,32301.21,1.24,-0.044,2.63,6.41,20110621,6582.55,0.25,-26.49,21.74,32.63,-11.99,16488
002460,赣锋锂业,小金属,江西,44.27,5.21,7.53,345365.88,148636.42,56480.86,71235.6,0.95,0.64,3.01,12.64,20100810,76585.81,1.02,133.26,474.35,36.08,24.02,83109
300095,华伍股份,机械基件,江西,112.75,2.35,3.77,212028.42,127018.35,32877.96,57288.51,1.52,0.13,3.31,4.2,20100728,26114.93,0.69,5.01,-10.89,36.72,7.81,14032
002378,章源钨业,小金属,江西,1022.81,9.23,9.24,328387.03,135205.81,97256.88,57607.26,0.62,0.007,2.07,4.84,20100331,25321.1,0.27,-15.05,108.54,7.13,0.76,41777
300066,三川智慧,电器仪表,江西,51.62,9.38,10.4,176334.02,115733.11,26122.17,6751.46,0.06,0.128,1.41,4.72,20100326,26748.95,0.26,7.43,-4.05,38.53,19.22,60512
002176,江特电机,电气设备,江西,83.33,13.81,14.69,774461.19,377620.41,144985.8,172275.81,1.17,0.14,2.54,4.41,20071012,48723.46,0.33,234.29,400.91,25.47,6.61,126103
002157,正邦科技,饲料,江西,11.72,13.63,22.91,988512.31,356069.94,470031.69,41678.15,0.18,0.396,1.98,3.12,20070817,154603.63,0.67,8.23,393.76,15.6,6.52,74329
002068,黑猫股份,化工原料,江西,0.0,6.07,6.07,608832.69,283159.09,272748.28,84466.38,1.39,-0.007,3.19,2.83,20060915,42599.81,0.7,-16.34,-130.5,16.94,-0.14,39112
600461,洪城水业,水务,江西,20.15,5.94,7.9,773238.75,191744.91,186322.8,134533.88,1.7,0.289,3.88,2.0,20040601,79736.25,1.01,-1.22,7.95,26.02,10.44,19939
600507,方大特钢,特种钢,江西,15.43,13.26,13.26,813404.56,378230.78,244187.91,4625.16,0.03,0.349,1.85,3.89,20030930,70133.15,0.53,-4.42,189.27,19.92,7.67,47422
600561,江西长运,公路,江西,71830.4,2.37,2.37,596579.5,162785.06,233585.91,47893.71,2.02,0.0,6.32,2.08,20020716,61470.42,2.59,-12.73,-99.93,13.21,0.0,12763
600590,泰豪科技,电气设备,江西,116.79,5.16,6.67,788578.0,462719.41,74477.06,246280.47,3.69,0.101,5.61,2.8,20020703,52436.3,0.79,17.54,123.14,18.82,3.45,28750
600397,安源煤业,煤炭开采,江西,0.0,9.9,9.9,914672.13,420846.19,287802.0,186459.81,1.88,-0.744,2.83,1.87,20020702,-39733.3,-0.4,-34.96,-2868.92,6.06,-28.52,75581
600373,中文传媒,出版业,江西,23.94,12.82,13.78,1885180.0,1140071.63,109017.42,543984.69,3.95,0.94,7.99,2.82,20020304,401488.72,2.91,10.12,22.44,39.41,10.14,26059
600362,江西铜业,铜,江西,46.41,20.75,34.63,8630461.0,5497494.0,1813977.63,1168589.5,3.37,0.285,13.54,1.3,20020111,1695612.25,4.9,22.29,-19.59,2.6,0.7,120708
600363,联创光电,元器件,江西,40.42,4.43,4.43,378687.84,204750.44,48530.45,63513.4,1.43,0.353,4.63,4.11,20010329,86075.42,1.94,2.43,27.97,15.76,8.54,40827
600316,洪都航空,航空,江西,1350.4,7.17,7.17,1063843.13,621887.06,191016.84,314009.31,4.38,0.015,7.06,2.94,20001215,67672.11,0.94,30.71,-85.88,5.77,0.3,54308
000990,诚志股份,化工原料,江西,184.37,2.97,12.53,2015022.38,628761.0,450050.34,1292700.63,10.32,0.29,12.2,1.34,20000706,103800.78,0.83,-36.32,-19.66,25.55,4.3,18576
600269,赣粤高速,路桥,江西,12.13,23.35,23.35,3201786.75,385368.16,2321582.25,183825.77,0.79,0.444,6.08,0.89,20000518,758067.88,3.25,-17.21,45.69,37.62,22.78,104483
600228,*ST昌九,化工原料,江西,0.0,2.41,2.41,45764.8,14508.51,23710.43,33698.3,1.4,-0.154,0.1,144.53,19990119,-58286.96,-2.42,-20.04,-50.8,8.88,-8.55,27496
000829,天音控股,其他商业,江西,48.41,9.47,9.59,1178977.88,880701.81,32081.5,29515.24,0.31,0.24,2.3,4.91,19971202,88779.68,0.93,-21.35,198.21,4.36,0.66,91218
000899,赣能股份,火力发电,江西,17.96,6.47,9.76,753113.69,180881.47,368804.59,243347.55,2.49,0.403,4.9,1.97,19971126,106998.52,1.1,-16.74,-9.76,37.44,25.01,43359
000789,万年青,水泥,江西,26.78,6.13,6.13,851185.13,276241.16,432354.19,27790.75,0.45,0.27,4.47,2.16,19970923,169742.47,2.77,-5.96,16.13,21.03,4.46,41761
600071,凤凰光学,元器件,江西,0.0,2.37,2.37,96034.65,52444.03,33348.82,10350.88,0.44,-0.486,1.64,13.14,19970528,-2116.45,-0.09,-6.68,-681.68,4.67,-15.4,13899
600053,九鼎投资,区域地产,江西,48.1,4.34,4.34,439005.19,274132.0,4777.16,18868.72,0.44,0.633,3.28,12.37,19970418,62756.88,1.45,174.24,841.26,78.04,26.92,23273
600782,新钢股份,钢加工,江西,28.56,27.87,27.87,2756121.0,1478673.38,1083162.5,567975.0,2.04,0.099,2.99,1.26,19961225,100630.93,0.36,18.6,212.69,5.67,1.29,32127
000650,仁和药业,中成药,江西,23.62,12.38,12.38,367579.69,183044.73,55321.63,30400.15,0.25,0.218,2.15,3.2,19961210,95573.61,0.77,44.38,2.09,35.45,10.39,100000
600750,江中药业,中成药,江西,28.68,3.0,3.0,306574.72,174715.95,62692.88,55067.53,1.84,1.266,8.72,4.16,19960923,159525.13,5.32,-39.87,3.47,70.87,24.31,26001
000404,华意压缩,专用机械,江西,23.82,5.58,5.6,793541.0,612820.56,127944.38,110347.9,1.97,0.324,4.25,2.42,19960619,69276.43,1.24,-1.32,-0.34,13.9,3.51,31467
000550,江铃汽车,汽车整车,江西,18.59,5.17,8.63,2449379.0,1632276.13,558836.25,83944.25,0.97,1.527,14.38,1.97,19931201,1028049.63,11.91,8.59,-40.68,22.61,4.95,19407
300636,同和药业,化学制药,江西,0.0,0.0,0.0,41896.05,21353.2,19087.25,12014.51,0.0,0.0,0.0,0.0,0,11218.73,0.0,-9.0,-7.77,38.71,23.19,0
