code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300491,通合科技,电气设备,河北,136.74,0.28,0.81,56546.3,36997.28,17024.06,24318.6,3.0,0.506,5.11,13.54,20151231,11625.03,1.43,20.04,-3.98,40.35,18.43,15824
300446,乐凯新材,化工原料,河北,44.47,0.75,1.23,54306.82,39667.35,10960.96,3560.34,0.29,0.879,4.05,9.65,20150423,29583.65,2.41,8.3,9.38,63.33,41.3,13117
300428,四通新材,铝,河北,97.71,0.62,2.42,68974.0,44400.05,13925.04,13180.1,0.54,0.208,2.49,10.92,20150319,18959.73,0.78,9.25,4.11,13.74,8.15,21926
300368,汇金股份,专用机械,河北,1170.6,2.1,5.44,155164.77,69596.88,23614.96,22558.47,0.41,0.011,1.89,9.33,20140123,22805.3,0.42,37.93,-28.56,45.26,1.89,43328
300371,汇中股份,电器仪表,河北,65.37,0.56,1.2,60250.61,38318.62,17896.22,18459.0,1.54,0.441,4.56,6.32,20140123,20482.85,1.71,0.55,-21.2,57.87,24.77,11811
002691,冀凯股份,专用机械,河北,564.44,1.99,2.0,92335.0,64021.25,19365.42,44227.85,2.21,0.042,4.28,5.51,20120731,18619.95,0.93,-19.64,-65.24,47.43,3.71,9204
601633,长城汽车,汽车整车,河北,10.83,60.28,91.27,9230916.0,5392803.5,2471495.25,141123.09,0.15,1.156,5.18,2.42,20110928,3218279.0,3.53,29.61,30.92,24.46,10.72,79820
300255,常山药业,生物制药,河北,54.23,5.98,9.35,310165.38,210069.84,47144.53,56688.44,0.61,0.107,2.32,3.34,20110819,60533.66,0.65,25.73,16.51,65.67,12.38,22063
002603,以岭药业,中成药,河北,39.99,9.03,12.04,625045.25,252622.05,246523.55,170300.11,1.42,0.48,4.72,3.82,20110728,229003.05,1.9,19.95,25.91,66.29,14.19,43868
601258,庞大集团,汽车服务,河北,90.66,64.8,66.75,6436524.5,4557529.0,820486.0,363636.38,0.54,0.024,1.91,1.52,20110428,245324.77,0.37,12.16,177.61,9.95,0.36,318460
300137,先河环保,环境保护,河北,58.95,2.96,3.44,171885.88,113964.77,23277.78,67777.0,1.97,0.203,4.13,3.87,20101105,35692.23,1.04,28.31,18.55,48.48,14.4,42820
