code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002857,三晖电气,电器仪表,河南,39.26,0.2,0.8,32269.19,28367.94,987.67,604.82,0.08,0.501,3.84,5.13,20170323,14541.25,1.82,-4.28,4.0,46.98,19.96,36974
601375,中原证券,证券,河南,70.98,7.0,39.24,4080920.0,0.0,0.0,0.0,0.0,0.14,2.49,5.33,20170103,0.0,0.0,-49.48,-56.24,0.0,34.57,602819
603658,安图生物,医疗保健,河南,60.13,0.42,4.2,182144.06,117508.67,45022.98,53500.46,1.27,0.89,3.92,12.78,20160901,58869.38,1.4,36.81,25.8,71.98,35.68,18971
603508,思维列控,软件服务,河南,73.66,0.65,1.6,253235.2,216430.8,9090.45,134174.48,8.39,0.668,14.8,4.43,20151224,80020.17,5.0,-6.5,-35.11,60.61,24.94,26470
300480,光力科技,电器仪表,河南,155.21,0.64,1.85,55331.98,46956.73,3516.81,11100.61,0.6,0.167,2.57,10.1,20150702,17307.38,0.94,9.48,26.75,62.12,23.39,16161
300481,濮阳惠成,化工原料,河南,81.66,0.73,1.6,47180.94,24987.82,12074.9,7946.2,0.5,0.293,2.74,11.62,20150630,17871.11,1.12,5.1,9.64,32.85,16.63,27407
002770,科迪乳业,乳制品,河南,68.41,2.71,5.76,225534.27,78141.3,97213.21,17491.1,0.3,0.12,2.1,5.2,20150630,38405.55,0.67,19.22,-3.41,31.68,11.58,43843
603566,普莱柯,生物制药,河南,42.2,1.62,3.24,160248.7,99931.15,25188.17,41297.9,1.28,0.483,4.52,6.01,20150518,64058.75,1.98,17.99,33.31,71.79,36.6,15227
300437,清水源,化工原料,河南,151.49,0.79,2.18,139365.27,67687.15,14950.02,73416.11,3.36,0.13,5.3,4.14,20150423,18209.35,0.83,8.03,-6.16,24.2,7.62,13592
002714,牧原股份,农业综合,河南,12.21,3.17,10.34,1092547.25,312775.41,489395.66,93928.56,0.91,1.704,4.93,5.62,20140128,298440.53,2.89,100.4,531.52,49.41,45.18,46670
603993,洛阳钼业,小金属,河南,100.72,129.54,168.87,4478949.5,1722515.25,422571.09,1072030.63,0.63,0.035,1.06,4.39,20121009,314829.94,0.19,10.12,-8.96,40.53,16.69,266495
601038,一拖股份,农用机械,河南,34.9,5.94,9.9,1344905.63,749478.88,297377.53,212668.55,2.15,0.254,4.92,2.4,20120808,135398.81,1.37,-9.67,17.94,18.17,3.44,28827
601608,中信重工,专用机械,河南,0.0,42.8,43.39,1977427.25,1117148.25,376822.16,210105.05,0.48,-0.365,1.64,3.51,20120706,-2810.35,-0.01,-6.2,-2656.07,2.24,-42.0,133911
601677,明泰铝业,铝,河南,27.0,4.78,5.13,594880.0,354386.09,150035.44,239073.7,4.66,0.59,7.59,1.87,20110919,111309.97,2.17,19.06,55.62,8.43,3.6,19794
300263,隆华节能,专用机械,河南,118.32,4.88,8.82,347811.38,187369.92,33458.8,99141.56,1.12,0.045,2.77,2.57,20110916,51734.71,0.59,-32.98,-59.62,23.84,6.38,25708
300259,新天科技,电器仪表,河南,67.83,2.58,5.36,187541.52,141950.11,24609.95,71170.28,1.33,0.15,3.15,3.69,20110831,39345.8,0.73,17.86,20.97,43.93,21.78,21351
002613,北玻股份,专用机械,河南,207.89,4.03,7.21,193018.61,115943.5,57776.96,43691.7,0.61,0.027,2.08,3.65,20110830,27535.89,0.38,2.81,-25.45,28.04,3.06,36003
300248,新开普,软件服务,河南,166.64,1.84,3.25,138957.05,65458.8,15062.86,38239.73,1.18,0.095,3.03,7.0,20110729,22393.38,0.69,32.5,33.01,53.66,7.99,30698
002601,龙蟒佰利,化工原料,河南,210.22,6.55,20.32,2488346.25,1142904.0,562257.13,954661.88,4.7,0.18,6.1,2.7,20110715,81090.46,0.4,6.96,103.65,22.54,5.88,48124
002582,好想你,食品,河南,374.13,0.98,2.58,430331.31,176668.56,107225.22,248670.91,9.64,0.09,12.25,2.34,20110520,35208.51,1.37,11.5,-41.57,37.6,1.56,18979
