code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603178,N圣龙,汽车配件,浙江,26.79,0.5,2.0,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,3.98,20170328,21428.82,1.07,12.33,17.81,23.24,6.46,49497
603388,元成股份,建筑施工,浙江,39.75,0.25,1.0,88525.96,77563.93,3067.37,11700.82,1.17,0.53,5.48,3.84,20170324,19665.52,1.97,22.99,8.56,24.79,9.72,27751
300626,华瑞股份,电气设备,浙江,48.45,0.25,1.0,79888.31,47178.48,23902.28,8107.97,0.81,0.395,3.65,5.24,20170320,11470.96,1.15,1.68,75.11,20.82,5.75,49456
603811,诚意药业,化学制药,浙江,66.89,0.21,0.85,36427.35,18099.63,11821.82,12287.0,1.44,0.8,4.38,12.21,20170315,6879.92,0.81,1.35,18.13,51.11,21.22,23201
603665,康隆达,纺织,浙江,74.69,0.25,1.0,78034.21,33193.23,28606.93,12895.71,1.29,0.938,4.96,14.12,20170313,13567.73,1.36,16.73,49.74,33.54,13.09,24566
603908,牧高笛,纺织,浙江,106.0,0.17,0.67,36211.3,30778.63,3026.7,1783.14,0.27,0.712,3.88,19.47,20170307,10333.19,1.55,-5.32,-12.46,34.43,11.02,15567
603578,三星新材,玻璃,浙江,130.92,0.22,0.88,29902.66,19808.64,7260.71,6384.37,0.73,0.542,3.35,21.2,20170306,7408.62,0.84,14.72,26.46,28.48,17.44,23239
603238,诺邦股份,纺织,浙江,91.95,0.3,1.2,49722.35,13150.3,0.0,0.0,0.0,0.384,4.13,11.39,20170222,0.0,0.0,0.0,0.0,26.2,12.12,28023
300611,美力科技,机械基件,浙江,108.63,0.22,0.89,57927.11,30613.46,11633.12,16109.45,1.8,0.82,6.32,10.63,20170220,17716.21,1.98,20.67,15.62,37.25,15.41,41404
002849,威星智能,电器仪表,浙江,99.89,0.22,0.87,46779.65,36943.93,2612.26,5927.78,0.68,0.603,4.27,14.1,20170217,13532.02,1.56,44.66,47.15,32.35,13.39,40701
603839,安正时尚,服饰,浙江,50.72,0.71,2.85,178508.66,90542.8,54413.95,520.0,0.02,1.1,6.0,7.0,20170214,95596.18,3.35,-1.53,-3.21,70.63,19.57,62798
603208,江山欧派,家居用品,浙江,49.03,0.2,0.81,70896.06,0.0,0.0,0.0,0.0,1.041,6.91,9.85,20170210,0.0,0.0,0.0,0.0,0.0,16.1,21153
603040,新坐标,机械基件,浙江,120.08,0.15,0.6,28087.99,11315.2,12260.94,3541.83,0.59,0.556,5.72,15.56,20170209,15812.85,2.64,0.0,0.0,65.3,33.22,15006
603637,镇海股份,建筑施工,浙江,74.33,0.26,1.02,53595.83,42537.15,6397.76,2942.37,0.29,0.475,4.84,9.73,20170208,18877.56,1.85,0.0,0.0,30.37,19.82,25801
