code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300630,N普利,化学制药,海南,28.96,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,4.94,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221
603069,海汽集团,公路,海南,84.62,0.79,3.16,174968.25,71922.17,43410.53,36073.4,1.14,0.21,3.22,5.87,20160712,28742.11,0.91,0.0,0.0,21.71,6.39,39173
601969,海南矿业,普钢,海南,0.0,8.59,19.55,637093.63,278853.75,86545.56,186857.69,0.96,-0.069,2.22,5.3,20141209,-7159.75,-0.04,-12.67,-402.19,20.81,-22.07,27756
002693,双成药业,化学制药,海南,0.0,4.03,4.05,131741.95,22490.42,26949.0,30330.99,0.75,-0.551,1.77,5.58,20120808,-2737.45,-0.07,-24.41,-698.07,51.48,-220.78,24912
002596,海南瑞泽,其他建材,海南,415.17,2.12,3.25,343870.59,207284.09,40294.8,128893.22,3.96,0.051,6.38,4.4,20110707,42754.43,1.31,6.62,-27.11,18.98,1.48,16176
300189,神农基因,种植业,海南,0.0,8.79,10.24,280493.72,191498.52,30835.81,28040.91,0.27,-0.024,1.36,3.61,20110316,6953.72,0.07,282.68,-654.66,7.75,-2.59,70874
601118,海南橡胶,橡胶,海南,0.0,39.31,39.31,1323052.13,558136.25,157485.52,378597.84,0.96,-0.07,1.96,3.58,20110107,-36022.46,-0.09,4.81,42.71,5.02,-4.67,114937
300086,康芝药业,化学制药,海南,140.57,4.38,4.5,215559.72,148885.92,30300.75,111650.52,2.48,0.073,3.99,3.43,20100526,19062.85,0.42,37.8,5.88,39.58,9.83,23819
002320,海峡股份,水运,海南,38.3,4.26,4.26,257069.05,85976.85,131223.56,101585.17,2.39,0.317,5.59,2.9,20091216,61264.51,1.44,6.28,34.66,42.68,23.81,30832
600515,海航基础,百货,海南,54.33,4.23,39.08,7992293.0,3886211.25,671758.19,1078603.25,2.76,0.168,6.03,2.02,20020806,153185.81,0.39,-9.22,145.92,32.3,12.32,30593
600555,海航创新,旅游景点,海南,0.0,9.74,13.04,384537.03,209275.48,5582.15,40388.62,0.31,-0.018,1.32,4.3,20010328,-16463.15,-0.13,-80.11,-269.79,15.68,-89.17,104112
600259,广晟有色,小金属,海南,0.0,2.58,3.02,405015.69,305953.13,34415.93,76105.35,2.52,-0.392,1.57,29.12,20000525,-64000.55,-2.12,2.11,-23.32,4.63,-5.42,32537
600238,海南椰岛,红黄药酒,海南,0.0,4.45,4.48,152762.13,107764.67,23675.81,12748.6,0.28,-0.145,1.86,6.29,20000120,13824.42,0.31,235.13,-398.33,11.83,-7.54,31354
000955,欣龙控股,纺织,海南,0.0,5.38,5.38,118797.77,52387.25,49240.35,46931.06,0.87,-0.033,1.12,6.3,19991209,-40546.42,-0.75,48.69,33.04,11.72,-5.12,42831
600221,海南航空,空运,海南,12.63,118.12,168.06,15292251.0,4488968.0,5759003.5,1754656.38,1.04,0.27,3.33,1.02,19991125,1454491.25,0.87,15.73,36.69,27.16,11.05,489039
600209,罗顿发展,综合类,海南,0.0,4.26,4.39,93089.4,25079.32,18355.5,11838.65,0.27,-0.11,1.53,11.73,19990325,7175.11,0.16,52.69,-146.95,11.72,-97.93,41646
000886,海南高速,路桥,海南,83.98,9.65,9.89,312951.13,207480.56,13358.38,94393.02,0.95,0.048,2.59,2.06,19980123,26716.3,0.27,-11.49,-27.1,67.6,32.84,82590
000793,华闻传媒,出版业,海南,24.32,18.27,20.17,1335873.88,553059.81,123296.92,351843.66,1.74,0.344,4.59,2.43,19970729,330844.25,1.64,-6.69,35.35,38.86,24.84,73196
000735,罗 牛 山,农业综合,海南,77.94,8.79,11.52,589108.88,268371.78,133024.8,155903.09,1.35,0.08,2.98,2.43,19970611,58628.51,0.51,-3.46,80.5,26.98,16.21,100000
000613,大东海A,旅游服务,海南,0.0,2.66,3.64,10242.7,2198.26,4873.56,5414.27,0.15,-0.005,0.21,72.75,19970128,-34296.87,-0.94,38.93,74.2,95.04,-10.63,17000
000657,中钨高新,小金属,海南,308.38,2.46,6.29,697092.31,369274.47,230396.38,274118.03,4.36,0.035,4.75,3.04,19961205,-35307.05,-0.56,-1.06,112.86,18.71,0.57,40000
600759,洲际油气,石油开采,海南,1528.14,15.81,22.64,1544900.38,337060.03,5061.4,244588.95,1.08,0.004,2.3,3.43,19961008,65588.93,0.29,-11.21,77.58,50.24,1.02,59473
600896,览海投资,水运,海南,0.0,5.77,8.69,508551.41,133630.95,284955.66,186857.0,2.15,-0.22,3.17,3.34,19960503,-17329.09,-0.2,-4.61,-298.65,7.24,-26.54,49848
000572,海马汽车,汽车整车,海南,43.15,16.42,16.45,1819813.0,663280.63,311690.84,376545.72,2.29,0.14,4.56,1.32,19940808,198928.66,1.21,14.03,41.71,13.62,1.66,99408
000571,新大洲Ａ,煤炭开采,海南,74.91,7.36,8.14,511602.16,113075.11,60526.93,65166.96,0.8,0.079,2.74,2.89,19940525,69465.56,0.85,-11.76,-23.84,29.72,11.1,82426
000566,海南海药,化学制药,海南,81.41,9.89,13.36,893889.13,570096.75,89881.56,331051.63,2.48,0.15,4.06,3.38,19940525,74955.25,0.56,-15.56,-27.18,43.29,16.68,39303
000567,海德股份,区域地产,海南,2258.63,1.5,1.51,26343.41,18684.32,574.4,11672.82,0.77,0.011,1.46,22.2,19940525,-4852.41,-0.32,64.8,-88.81,50.22,7.84,13380
000505,*ST珠江,房产服务,海南,0.0,3.6,4.27,190550.19,131892.67,38508.12,33469.07,0.78,-0.213,-0.72,-15.36,19921221,-117885.15,-2.76,15.4,-165.57,12.04,-41.81,35607
000503,海虹控股,医疗保健,海南,1082.59,8.99,8.99,149226.98,111427.36,4702.73,2317.08,0.03,0.031,1.58,21.33,19921130,59828.36,0.67,11.87,21.5,32.09,12.92,42230
