,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
27,300638,广和通,通信设备,深圳,52.89,0.2,0.8,27532.1,26171.13,886.96,934.7,0.12,0.504,2.38,11.21,20170413,6407.91,0.8,5.58,15.47,28.23,11.71,36728
23,300633,开立医疗,医疗保健,深圳,66.58,0.4,4.0,101456.81,79109.56,4121.85,7478.93,0.19,0.322,2.0,10.75,20170406,22939.65,0.57,4.89,21.78,64.99,17.92,71423
2398,002856,美芝股份,装修装饰,深圳,63.78,0.25,1.01,109391.71,105008.36,757.1,6482.72,0.64,0.514,4.48,7.31,20170320,17707.4,1.75,-10.61,11.71,15.15,5.49,46989
2201,300621,维业股份,装修装饰,深圳,64.14,0.34,1.36,161155.69,148236.3,2493.37,9843.62,0.72,0.405,4.41,5.89,20170316,20899.88,1.54,19.34,51.21,13.4,3.45,60663
2593,300622,博士眼镜,其他商业,深圳,82.66,0.21,0.86,29869.85,23288.67,4237.21,9865.71,1.15,0.44,3.81,9.55,20170315,6525.46,0.76,10.72,7.06,75.74,9.08,40152
1875,002851,麦格米特,电气设备,深圳,73.0,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,8.71,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,37000
3034,002850,科达利,机械基件,深圳,55.29,0.35,1.4,172321.41,91797.35,57926.5,22797.03,1.63,1.662,8.86,10.37,20170302,55362.57,3.95,28.45,50.61,30.49,15.99,62072
2523,300615,欣天科技,元器件,深圳,55.67,0.2,0.8,30486.28,20036.81,4913.51,1408.49,0.18,0.556,3.28,12.58,20170215,10280.98,1.29,0.0,0.0,48.93,25.46,36743
3053,300601,康泰生物,生物制药,深圳,112.28,0.42,4.11,154066.98,55106.4,27172.19,19597.1,0.48,0.181,1.96,13.85,20170207,15691.07,0.38,0.0,0.0,75.48,21.88,73685
1195,300602,飞荣达,元器件,深圳,44.98,0.25,1.0,78993.96,59788.05,9119.86,5789.02,0.58,0.758,6.86,6.63,20170126,35376.81,3.54,0.0,0.0,31.76,13.34,45581
196,002845,同兴达,元器件,深圳,110.36,0.24,0.96,171518.3,148252.63,19022.92,12223.2,1.27,0.419,5.65,10.9,20170125,19922.9,2.08,0.0,0.0,7.92,2.24,11508
2316,603228,景旺电子,元器件,深圳,32.84,0.48,4.08,317009.59,194374.45,110117.42,3928.62,0.1,1.004,4.66,9.43,20170106,122314.7,3.0,22.78,26.67,31.89,17.07,43122
382,002837,英维克,专用机械,深圳,50.7,0.2,0.8,57324.76,53565.11,0.0,0.0,0.0,0.689,4.51,10.32,20161229,0.0,0.0,30.74,13.42,0.0,14.83,12500
35,002835,同为股份,元器件,深圳,65.57,0.27,1.08,45403.71,28976.74,0.0,0.0,0.0,0.401,4.01,8.75,20161228,0.0,0.0,4.03,3.39,0.0,11.55,51255
2309,300576,容大感光,染料涂料,深圳,82.6,0.2,0.8,32932.92,24597.1,3016.58,5514.1,0.69,0.345,3.85,9.85,20161220,10675.37,1.33,11.75,34.28,35.96,12.11,36455
2253,002831,裕同科技,广告包装,深圳,37.14,0.4,4.0,525620.19,314531.28,122138.07,0.21,0.0,1.377,7.08,9.63,20161216,208163.94,5.2,20.25,23.22,33.49,15.34,24671
2312,002830,名雕股份,装修装饰,深圳,80.8,0.17,0.67,93608.86,74669.81,10262.6,22320.92,3.35,1.01,8.54,7.18,20161213,25106.3,3.77,2.6,5.18,32.16,7.32,15824
1742,300570,太辰光,元器件,深圳,54.72,0.32,1.28,117128.52,98516.61,4642.47,61462.88,4.81,1.03,8.32,5.22,20161206,27758.24,2.17,-16.15,-12.92,36.24,24.08,23087
1094,300572,安车检测,电器仪表,深圳,66.05,0.17,0.67,87460.78,79772.32,3902.3,26361.24,3.95,0.95,7.6,6.4,20161206,15670.88,2.35,12.96,16.14,47.96,15.41,12256
3107,300568,星源材质,化工原料,深圳,53.32,0.48,1.92,187609.56,107099.72,47395.85,80850.77,4.21,0.81,6.42,6.72,20161201,25466.35,1.33,18.97,31.34,60.6,30.73,16837
1019,002822,中装建设,装修装饰,深圳,46.79,0.75,3.0,252479.34,234171.84,12791.67,35477.35,1.18,0.385,5.39,4.46,20161129,58170.48,1.94,0.0,0.0,16.35,6.05,45705
3188,002823,凯中精密,机械基件,深圳,48.79,0.36,1.44,162858.17,90460.92,29938.44,48094.4,3.34,1.16,6.98,6.25,20161124,34003.35,2.36,26.81,41.04,28.52,11.53,23993
2327,300565,科信技术,通信设备,深圳,135.46,0.4,1.6,108554.9,96613.99,1150.95,30412.7,1.9,0.048,4.54,5.67,20161122,23667.25,1.48,0.0,0.0,33.3,6.07,27166
1540,300556,丝路视觉,软件服务,深圳,261.08,0.28,1.11,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,10.82,20161104,9011.55,0.81,0.0,0.0,41.02,4.26,24270
1392,002816,和科达,专用机械,深圳,154.82,0.25,1.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,9.19,20161025,19063.25,1.91,0.0,0.0,34.77,8.04,45922
2422,603160,汇顶科技,元器件,深圳,44.78,0.45,4.45,321524.66,292343.13,14948.29,79462.15,1.79,2.1,6.15,14.03,20161017,128873.52,2.9,175.04,126.46,47.14,27.83,30500
713,002815,崇达技术,半导体,深圳,40.24,0.5,4.1,340344.31,143984.09,143910.86,71448.15,1.74,1.01,5.14,7.18,20161012,90783.1,2.21,27.87,24.88,36.81,16.73,37289
2803,002813,路畅科技,汽车配件,深圳,77.54,0.3,1.2,122260.4,74255.15,36769.68,20449.9,1.7,0.321,5.51,6.03,20161012,30396.1,2.53,0.0,0.0,32.18,6.99,53295
2409,300545,联得装备,专用机械,深圳,103.36,0.18,0.71,61532.41,58233.55,1419.12,22061.99,3.09,0.66,6.51,8.56,20160928,15154.17,2.13,2.28,-25.11,29.91,15.0,10993
1747,300546,雄帝科技,元器件,深圳,72.2,0.13,0.53,71761.07,67197.72,1059.43,23485.13,4.4,1.39,10.82,7.56,20160928,25882.75,4.85,17.42,12.99,56.72,20.62,13120
1324,300543,朗科智能,电气设备,深圳,88.75,0.15,0.6,93959.78,58463.4,17960.95,33025.15,5.5,1.53,10.19,11.12,20160908,19725.01,3.29,31.13,22.1,18.2,8.18,13415
1797,002811,亚泰国际,装修装饰,深圳,77.06,0.45,1.8,236294.0,211036.2,1598.68,61710.43,3.43,0.46,6.76,5.25,20160908,37842.68,2.1,0.0,0.0,17.3,4.82,36146
1166,300538,同益股份,批发业,深圳,109.14,0.14,0.56,52401.57,50850.94,920.4,20101.35,3.59,0.6,6.95,7.83,20160826,12237.0,2.19,-1.91,-33.92,13.62,3.32,10802
490,300533,冰川网络,软件服务,深圳,60.44,0.25,1.0,173904.98,171662.2,770.18,87977.78,8.8,1.87,14.89,6.31,20160818,45913.34,4.59,2.92,-9.38,90.97,40.84,24996
885,300532,今天国际,软件服务,深圳,87.17,0.21,0.84,116078.1,99569.57,1745.76,35853.7,4.27,0.78,8.72,6.5,20160818,25486.4,3.03,-21.41,-12.3,36.89,13.71,13767
341,300531,优博讯,软件服务,深圳,93.66,0.2,0.8,64409.18,62435.67,610.27,22743.67,2.84,1.01,7.0,11.29,20160809,24219.56,3.03,22.14,13.57,40.53,20.29,17184
1327,300518,盛讯达,软件服务,深圳,106.25,0.23,0.93,112545.55,91486.3,2683.15,49044.05,5.25,1.22,11.23,10.1,20160624,41955.18,4.49,1.72,8.18,83.53,48.09,22450
1545,002797,第一创业,证券,深圳,102.63,2.19,21.89,3170030.5,0.0,14238.92,391114.03,1.79,0.27,3.93,6.69,20160511,146177.25,0.67,-32.64,-44.99,0.0,27.71,103394
828,300506,名家汇,建筑施工,深圳,136.52,1.32,3.0,78306.06,63093.8,2270.63,2594.49,0.09,0.18,1.8,16.55,20160324,19462.72,0.65,26.64,55.18,54.3,22.67,43965
1107,300484,蓝海华腾,电气设备,深圳,51.15,0.47,1.04,98428.36,93038.65,3894.43,18632.95,1.79,0.332,6.19,10.98,20160322,31854.73,3.06,56.65,34.01,45.67,25.72,14628
2210,002789,建艺集团,装修装饰,深圳,50.21,0.37,0.81,291793.53,229462.55,4627.16,61053.11,7.52,1.08,13.34,3.81,20160311,33402.71,4.11,14.75,3.38,13.15,3.87,11691
1679,001979,招商蛇口,全国地产,深圳,16.29,18.99,79.04,25073168.0,21095200.0,262432.88,1975386.25,2.5,1.212,7.14,2.77,20151230,2546254.5,3.22,29.15,97.54,34.54,15.07,104164
2173,002786,银宝山新,专用机械,深圳,185.81,1.38,3.81,316309.41,219872.3,57010.23,17355.93,0.46,0.021,2.75,5.71,20151223,43747.01,1.15,-8.38,-70.93,15.14,1.37,40428
1795,002781,奇信股份,装修装饰,深圳,52.7,0.92,2.25,336550.44,328903.22,5117.87,71503.71,3.18,0.424,7.19,4.15,20151222,62312.61,2.77,-7.42,-18.02,15.78,4.07,25217
2599,002782,可立克,电气设备,深圳,100.71,1.06,4.26,100168.18,69572.7,19679.0,5948.18,0.14,0.148,1.93,10.3,20151222,31075.53,0.73,0.0,0.0,24.3,9.92,63489
2346,002769,普路通,仓储物流,深圳,32.48,1.9,3.77,2031853.25,2026990.38,482.35,27341.97,0.73,0.416,3.04,5.93,20150629,51462.45,1.37,17.24,21.44,6.74,6.09,34396
2838,002775,文科园林,建筑施工,深圳,38.7,1.14,2.48,217477.52,191210.59,2391.75,52188.14,2.1,0.58,4.96,4.39,20150629,47822.9,1.93,45.05,44.0,20.87,9.2,23456
3159,002766,索菱股份,汽车配件,深圳,82.9,0.88,2.11,178751.84,125078.88,38038.87,42625.55,2.02,0.288,5.5,5.79,20150611,35776.71,1.7,1.55,3.75,30.0,9.61,23589
650,002763,汇洁股份,服饰,深圳,34.63,0.65,2.16,197774.88,128257.65,52637.36,80209.46,3.71,0.849,7.52,3.91,20150610,53236.44,2.46,8.54,10.77,68.39,8.95,19087
2148,300468,四方精创,软件服务,深圳,92.83,0.57,1.04,94133.27,68244.31,1216.2,57010.58,5.46,0.41,7.72,6.35,20150527,19209.25,1.84,16.41,17.72,51.71,17.52,14721
1835,300457,赢合科技,专用机械,深圳,63.25,0.56,1.24,178833.06,116381.47,33596.81,18817.89,1.52,1.06,5.38,11.75,20150514,29559.27,2.38,132.9,105.68,35.87,14.56,9431
2805,002751,易尚展示,家居用品,深圳,327.49,0.76,1.4,179254.66,50895.73,6144.33,9254.07,0.66,0.108,3.15,11.17,20150424,17677.42,1.26,19.23,-61.69,28.75,2.36,42581
80,603808,歌力思,服饰,深圳,62.23,0.83,2.48,233023.77,97548.28,20900.03,96788.18,3.9,0.41,6.55,4.6,20150422,42527.15,1.71,18.53,-14.18,68.78,13.2,16387
584,603118,共进股份,通信设备,深圳,36.1,1.23,3.56,692764.0,534250.19,89369.67,309246.88,8.69,1.06,12.03,2.89,20150225,83171.43,2.34,0.16,35.83,15.44,5.24,37316
2923,002740,爱迪尔,服饰,深圳,74.59,1.57,3.31,191912.63,182822.3,5206.16,59109.7,1.79,0.19,4.22,3.09,20150122,42171.65,1.28,41.07,-14.22,11.75,4.88,24117
658,002736,国信证券,证券,深圳,25.56,21.95,82.0,19302946.0,0.0,130097.97,677164.69,0.83,0.556,5.9,2.41,20141229,1510993.75,1.84,-56.25,-67.34,0.0,35.74,124146
3135,002735,王子新材,塑料,深圳,97.06,0.23,0.8,60673.82,49081.98,8322.37,16263.69,2.03,0.277,5.92,6.06,20141203,22116.4,2.76,-0.58,29.29,22.85,6.92,10817
1063,002733,雄韬股份,电气设备,深圳,52.9,1.17,3.5,320163.0,240655.97,28862.48,123413.51,3.52,0.37,5.25,3.46,20141203,58209.75,1.66,3.44,-9.36,14.2,4.8,31023
34,002724,海洋王,半导体,深圳,314.98,0.67,4.0,172326.27,116253.88,43871.0,36891.46,0.92,0.05,3.85,5.45,20141104,68342.5,1.71,2.6,368.92,70.19,3.61,18138
2188,300400,劲拓股份,专用机械,深圳,77.84,0.66,1.2,57251.56,48571.0,4772.46,8372.94,0.7,0.434,3.58,9.44,20141010,19817.25,1.65,27.6,62.64,39.48,15.86,10589
2007,300389,艾比森,半导体,深圳,36.47,0.93,3.19,164760.56,110287.11,45078.9,6983.99,0.22,0.474,3.05,5.67,20140801,51418.9,1.61,15.04,20.57,34.74,12.98,9290
1994,300377,赢时胜,软件服务,深圳,230.72,1.97,2.97,260366.3,176358.11,8627.92,203419.38,6.85,0.11,8.51,3.76,20140127,17096.43,0.58,55.74,200.95,67.73,13.49,30625
2987,300350,华鹏飞,仓储物流,深圳,43.49,1.14,2.96,263096.94,92197.25,19780.53,120730.71,4.07,0.445,6.23,3.1,20120821,32225.05,1.09,-10.47,54.59,34.17,18.96,22361
2618,300348,长亮科技,软件服务,深圳,63.86,1.67,2.99,115608.97,71597.71,22736.0,29926.3,1.0,0.36,2.78,7.76,20120817,22801.84,0.76,49.18,173.99,52.35,15.56,26695
2034,300333,兆日科技,元器件,深圳,227.96,3.31,3.36,89710.06,58201.65,7525.71,38784.6,1.15,0.057,2.53,5.12,20120628,9715.21,0.29,-4.28,-54.11,64.01,9.97,37029
568,002681,奋达科技,家用电器,深圳,42.13,5.98,12.47,414610.81,186801.77,54857.11,60381.01,0.48,0.309,2.28,5.72,20120605,99313.0,0.8,21.98,31.33,30.88,18.31,48716
2758,300319,麦捷科技,元器件,深圳,42.35,1.45,2.34,312365.5,196362.02,32621.27,167084.63,7.15,0.73,9.47,2.99,20120523,28366.85,1.21,149.55,103.37,18.71,9.24,11264
2677,300317,珈伟股份,半导体,深圳,42.1,1.2,4.73,906188.19,493710.44,235440.95,359449.63,7.6,0.72,9.56,2.92,20120511,50510.53,1.07,46.88,129.37,27.51,11.24,25819
2938,300301,长方集团,半导体,深圳,77.19,4.06,7.9,383644.13,179409.38,113237.2,114061.92,1.44,0.067,2.84,2.44,20120321,28640.85,0.36,11.73,-15.74,25.41,4.68,23639
2808,300303,聚飞光电,半导体,深圳,38.14,4.82,6.94,290154.72,218486.63,46733.34,56132.65,0.81,0.23,2.63,3.25,20120319,50517.19,0.73,57.28,51.62,24.21,10.29,41765
2883,002660,茂硕电源,电气设备,深圳,0.0,1.92,2.77,227582.84,124786.8,68938.95,46747.31,1.69,-0.004,3.11,3.53,20120316,9383.92,0.34,31.15,43.65,18.76,-0.3,30054
845,002654,万润科技,半导体,深圳,59.38,3.9,8.28,329301.72,146949.27,52368.6,97006.4,1.17,0.18,2.7,3.8,20120217,36696.21,0.44,87.15,153.73,29.52,9.13,55278
2601,300277,海联讯,软件服务,深圳,0.0,3.34,3.35,65476.16,48022.8,10656.98,8288.05,0.25,-0.054,1.33,7.63,20111123,972.37,0.03,-59.31,-269.59,25.12,-19.91,14551
1989,300269,联建光电,半导体,深圳,32.68,2.65,6.14,743006.44,209402.42,30950.3,397083.75,6.47,0.7,8.73,2.46,20111012,73768.0,1.2,84.12,80.16,36.1,14.37,18410
3033,002620,瑞和股份,装修装饰,深圳,53.71,0.94,1.45,324235.41,237098.3,14400.4,136431.75,9.41,0.59,13.65,2.72,20110929,38752.3,2.67,28.08,41.43,13.69,4.75,9207
124,002618,丹邦科技,元器件,深圳,400.29,3.65,3.65,239418.05,76452.06,96275.49,89462.96,2.45,0.045,4.55,5.24,20110920,36399.21,1.0,-44.57,-68.65,40.69,9.4,14819
604,300264,佳创视讯,通信设备,深圳,256.13,3.18,4.13,89610.36,55607.78,1771.15,9648.55,0.23,0.033,1.51,5.61,20110916,9061.55,0.22,59.01,90.38,37.54,5.88,27213
1116,300252,金信诺,电气设备,深圳,54.01,2.66,4.44,406356.91,291424.16,33741.05,124278.92,2.8,0.47,4.9,4.85,20110818,45658.98,1.03,31.57,41.07,27.33,9.69,13105
1667,002609,捷顺科技,软件服务,深圳,73.47,3.01,6.66,126711.38,82961.96,9972.26,2094.45,0.03,0.18,1.71,9.33,20110815,36460.4,0.55,22.97,36.27,55.12,23.33,34687
1156,300241,瑞丰光电,半导体,深圳,40.69,1.68,2.76,211134.22,118627.57,43582.6,65262.05,2.36,0.073,3.79,3.13,20110712,23638.73,0.85,52.97,20.35,17.06,5.74,10496
1191,002594,比亚迪,汽车整车,深圳,28.06,8.5,27.28,14507078.0,7824008.0,3748320.75,2447181.25,8.97,1.88,18.79,2.77,20110630,1623816.0,5.95,29.32,78.94,20.36,4.88,93001
1359,300235,方直科技,软件服务,深圳,222.13,0.97,1.68,37223.9,21831.9,1901.6,6258.08,0.37,0.12,2.22,10.98,20110629,11227.4,0.67,-2.54,-17.17,70.01,19.0,12580
425,300232,洲明科技,半导体,深圳,50.94,3.7,6.28,252207.84,183097.0,28727.84,14225.27,0.23,0.205,2.0,6.95,20110622,40154.28,0.64,25.96,34.52,31.17,10.64,14398
2058,002587,奥拓电子,元器件,深圳,58.5,2.42,4.08,126324.97,83994.4,15696.63,25991.1,0.64,0.23,2.25,5.51,20110610,22657.48,0.56,55.91,302.88,55.37,18.88,40988
1673,300227,光韵达,元器件,深圳,158.33,1.01,1.37,67567.71,23530.75,37757.46,11199.6,0.82,0.033,2.85,7.26,20110608,14862.17,1.08,66.05,218.27,41.91,5.71,16421
476,002583,海能达,通信设备,深圳,61.19,8.5,17.4,680813.69,405500.13,116163.97,198807.31,1.14,0.25,2.73,5.17,20110527,91838.52,0.53,38.66,58.71,49.03,11.7,29402
