code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300567,精测电子,电器仪表,湖北,111.14,0.2,0.8,52411.3,46219.73,2577.2,1836.0,0.23,0.626,4.95,18.72,20161122,19880.13,2.49,0.0,0.0,50.58,14.68,8447
300557,理工光科,电器仪表,湖北,96.16,0.14,0.56,60266.38,56162.26,2510.84,19838.15,3.56,0.99,8.39,8.97,20161101,18547.26,3.33,13.07,14.36,42.95,20.98,12298
603716,塞力斯,医药商业,湖北,88.61,0.13,0.51,109248.1,88978.77,16023.69,49088.95,9.64,1.71,16.56,7.24,20161031,28061.88,5.51,18.44,12.14,34.83,10.99,10729
603738,泰晶科技,元器件,湖北,90.0,0.17,0.67,75663.43,53462.05,19094.81,26720.73,4.01,0.79,7.89,8.99,20160928,17487.6,2.62,0.0,0.0,36.99,15.03,15381
300536,农尚环境,建筑施工,湖北,85.38,0.23,0.93,73885.45,72564.93,962.99,20834.25,2.24,0.54,5.1,9.12,20160920,15599.32,1.68,0.0,0.0,27.25,13.26,16330
603067,振华股份,化工原料,湖北,65.01,0.55,2.2,128130.22,68429.88,53390.41,41171.1,1.87,0.44,4.73,6.09,20160913,36643.67,1.67,0.0,0.0,31.16,11.67,34084
300527,华舟应急,专用机械,湖北,107.34,1.16,4.63,294017.47,238878.3,34765.6,89128.99,1.93,0.178,3.71,6.86,20160805,31867.8,0.69,0.0,0.0,19.68,6.77,70193
300517,海波重科,建筑施工,湖北,128.32,0.26,1.02,92680.96,72106.86,9006.17,26467.35,2.58,0.33,5.64,8.13,20160719,18793.3,1.84,0.0,0.0,25.04,10.4,21116
300516,久之洋,电器仪表,湖北,170.67,0.3,1.2,117839.25,99404.25,8376.42,62806.51,5.23,0.5,8.98,11.01,20160602,29507.89,2.46,0.0,0.0,46.84,22.2,29803
300494,盛天网络,互联网,湖北,73.11,0.86,2.4,90140.03,81083.09,5203.16,33687.71,1.4,0.289,3.61,7.82,20151231,24025.82,1.0,52.43,28.67,56.18,29.33,25449
002783,凯龙股份,化工原料,湖北,64.41,0.43,0.83,174703.88,54898.53,54377.81,52897.82,6.34,1.012,15.8,5.5,20151209,54168.25,6.49,2.46,23.12,41.39,12.61,14790
300395,菲利华,玻璃,湖北,45.09,1.4,1.97,103522.74,59552.01,22371.1,20814.75,1.06,0.549,4.15,5.97,20140910,37542.12,1.91,29.55,28.34,48.09,24.51,17108
300387,富邦股份,化工原料,湖北,43.9,0.66,1.25,87550.53,57429.61,10870.9,18035.56,1.44,0.488,4.78,5.97,20140702,29842.3,2.39,43.45,35.55,45.46,15.9,7082
002694,顾地科技,塑料,湖北,351.56,3.09,3.73,229548.3,122723.52,74134.96,34840.71,0.93,0.12,2.83,13.23,20120816,21518.65,0.58,-13.58,58.85,24.61,2.6,6357
300323,华灿光电,半导体,湖北,39.78,6.75,8.36,688308.75,281922.59,239706.45,216950.27,2.6,0.35,4.14,3.08,20120601,42445.93,0.51,65.62,378.43,23.94,16.89,23526
300278,华昌达,专用机械,湖北,98.51,2.24,5.45,437764.44,275662.31,32663.9,69121.21,1.27,0.214,2.86,7.35,20111216,34532.23,0.63,29.32,15.71,19.63,5.15,13017
300276,三丰智能,专用机械,湖北,553.37,2.0,3.74,97065.55,62922.63,22373.42,4126.95,0.11,0.04,1.61,13.62,20111115,16423.11,0.44,-4.92,-35.49,28.43,4.54,40914
002627,宜昌交运,公路,湖北,54.42,1.31,1.34,234803.7,102695.86,73893.0,39241.78,2.94,0.323,6.91,3.39,20111103,33702.87,2.52,17.93,9.33,13.2,3.4,10601
601311,骆驼股份,电气设备,湖北,31.27,8.48,8.48,664864.38,342280.5,194948.75,103298.8,1.22,0.382,5.49,2.9,20110602,265206.66,3.13,15.05,-13.54,22.85,7.65,40492
300220,金运激光,元器件,湖北,352.46,1.25,1.26,49743.21,31282.4,9158.7,8325.13,0.66,0.059,2.26,12.2,20110525,6627.06,0.53,-5.07,29.46,37.08,5.71,16323
