code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603517,绝味食品,食品,湖南,48.66,0.5,4.1,196189.61,88594.86,43118.73,7250.18,0.18,0.928,4.07,11.09,20170317,96996.31,2.37,12.08,26.42,31.84,11.62,45759
002852,道道全,食品,湖南,66.2,0.25,1.0,120132.57,65107.86,11516.05,12104.45,1.21,2.057,8.85,15.38,20170310,41741.8,4.17,23.09,12.45,16.58,7.65,45972
002848,高斯贝尔,通信设备,湖南,145.53,0.42,1.67,100493.42,79216.75,11689.78,12636.03,0.76,0.198,4.68,8.21,20170213,31510.65,1.89,0.0,0.0,26.77,5.17,72405
002847,盐津铺子,食品,湖南,78.17,0.31,1.24,57583.73,22546.11,28614.84,7108.93,0.57,0.92,3.28,16.48,20170208,12448.92,1.0,17.09,30.89,49.19,12.53,53384
002843,泰嘉股份,钢加工,湖南,137.79,0.35,1.4,45768.3,21018.17,21532.0,3406.09,0.24,0.205,3.72,10.14,20170120,21476.49,1.53,0.0,0.0,39.48,15.57,64884
300592,华凯创意,软件服务,湖南,126.15,0.31,1.22,64245.95,54895.88,6008.95,7359.74,0.6,0.231,3.49,11.12,20170120,15300.67,1.25,0.0,0.0,27.01,8.83,54563
603319,湘油泵,汽车配件,湖南,87.93,0.2,0.81,80966.18,43656.84,29155.3,4352.12,0.54,0.463,6.59,8.24,20161130,25877.52,3.2,0.0,0.0,30.54,9.63,22415
300515,三德科技,电器仪表,湖南,199.01,0.25,1.0,50614.5,38889.07,6206.0,20991.76,2.1,0.27,4.36,13.95,20160608,11079.17,1.11,0.0,0.0,55.81,17.04,20404
603959,百利科技,建筑施工,湖南,60.78,0.56,2.24,184492.95,172698.67,4724.9,27004.78,1.21,0.53,3.91,7.39,20160517,34190.64,1.53,70.8,42.15,29.39,13.83,33933
300474,景嘉微,元器件,湖南,111.65,0.67,2.67,94483.13,77633.25,935.82,23074.8,0.86,0.36,3.2,15.83,20160331,31249.95,1.17,0.0,0.0,80.51,41.82,27524
300490,华自科技,电气设备,湖南,135.43,0.5,2.0,93013.4,70294.11,9559.13,19816.77,0.99,0.138,2.8,8.93,20151231,14312.59,0.72,16.56,-11.58,35.3,8.21,19885
002761,多喜爱,纺织,湖南,512.0,0.55,1.2,86428.07,50263.25,7860.81,24021.73,2.0,0.081,5.31,10.46,20150610,24735.97,2.06,12.45,-44.5,36.62,2.17,7311
603989,艾华集团,元器件,湖南,42.54,0.84,3.0,216185.3,157733.05,47811.65,92728.82,3.09,0.669,5.73,6.62,20150515,41180.65,1.37,14.97,35.22,33.85,18.54,19228
603883,老百姓,医药商业,湖南,39.38,0.84,2.67,490968.94,294135.03,25155.02,56142.96,2.1,1.112,6.93,6.32,20150423,97198.68,3.64,33.4,23.45,36.06,4.87,30173
300433,蓝思科技,元器件,湖南,64.93,2.06,21.82,2238809.25,811055.5,1096996.88,320686.31,1.47,0.38,6.24,5.05,20150318,753157.13,3.45,-16.6,-26.65,25.7,7.46,45796
603939,益丰药房,医药商业,湖南,50.47,1.56,3.63,410633.97,303761.25,28237.58,200581.36,5.53,0.48,7.99,3.7,20150217,50361.3,1.39,35.08,27.23,39.53,5.96,14170
300413,快乐购,百货,湖南,187.2,1.99,4.01,228957.13,199934.31,12197.38,67339.4,1.68,0.085,3.96,5.37,20150121,44445.81,1.11,19.97,-39.56,21.13,1.38,40699
603998,方盛制药,中成药,湖南,94.64,2.69,4.33,113262.9,53912.56,24155.82,16948.13,0.39,0.131,2.11,7.85,20141205,33465.96,0.77,0.33,-21.82,51.94,16.39,20715
002716,金贵银业,小金属,湖南,63.67,3.1,5.03,789695.38,595910.06,88187.75,52096.26,1.04,0.263,4.14,5.4,20140128,90939.5,1.81,32.69,25.64,9.16,2.45,76471
300358,楚天科技,医疗保健,湖南,60.18,1.47,4.46,274816.72,152109.94,64658.86,78396.8,1.76,0.22,3.55,4.81,20140121,53779.6,1.2,2.88,10.48,45.17,13.54,16820
