code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601212,白银有色,铜,甘肃,354.72,6.98,69.73,4036600.75,2054398.25,536928.69,324990.94,0.47,0.032,1.83,8.35,20170215,279442.88,0.4,0.0,0.0,2.37,0.47,526296
300534,陇神戎发,中成药,甘肃,170.95,0.22,0.87,76347.61,28225.23,34967.06,42215.07,4.87,0.67,8.12,11.48,20160913,17009.2,1.96,-2.77,-22.13,36.25,17.52,13596
603919,金徽酒,白酒,甘肃,38.34,0.89,2.8,194236.48,66277.65,97026.49,73797.81,2.64,0.62,5.64,5.19,20160310,52118.53,1.86,0.0,0.0,61.89,17.31,34977
603999,读者传媒,出版业,甘肃,97.41,1.15,2.88,191181.56,151362.81,26354.1,56848.38,1.97,0.216,5.63,4.99,20151210,67972.78,2.36,-11.55,-0.74,24.03,12.78,32342
002772,众兴菌业,种植业,甘肃,40.58,1.6,3.73,321459.38,156971.56,77027.81,154051.47,4.13,0.49,6.12,2.82,20150626,44756.12,1.2,22.0,38.58,39.13,27.09,35797
603169,兰石重装,专用机械,甘肃,471.7,4.66,10.25,696487.06,425217.69,212109.05,119620.72,1.17,0.024,2.92,5.12,20141009,65710.9,0.64,-40.77,-96.32,18.73,1.97,61755
002644,佛慈制药,中成药,甘肃,95.47,5.11,5.11,203671.44,142038.31,16211.19,32801.31,0.64,0.119,2.53,4.51,20111222,38778.4,0.76,10.89,41.86,29.8,16.77,49248
601798,蓝科高新,化工机械,甘肃,588.07,3.55,3.55,287432.63,156194.47,100409.81,99695.71,2.81,0.019,5.55,2.64,20110622,57601.95,1.62,-6.9,-74.18,25.07,1.69,17959
300084,海默科技,石油开采,甘肃,1776.37,2.5,3.85,240973.2,131483.5,21507.3,124436.6,3.23,0.005,4.68,2.76,20100520,14495.35,0.38,-24.43,150.92,34.13,1.01,16293
300021,大禹节水,农业综合,甘肃,218.76,1.66,3.19,217007.02,170689.73,28035.22,71030.15,2.23,0.066,3.98,4.82,20091030,21584.25,0.68,3.3,19.52,23.09,2.91,17000
002219,恒康医疗,中成药,甘肃,88.5,7.19,18.65,529651.44,249268.3,114476.26,119104.32,0.64,0.108,2.09,6.1,20080306,77367.07,0.41,60.19,6.16,32.59,16.66,34763
002185,华天科技,半导体,甘肃,36.91,10.65,10.66,727387.56,352643.31,264144.53,219186.25,2.06,0.274,4.51,2.99,20071120,141269.38,1.33,40.71,11.79,16.95,7.31,46755
002145,中核钛白,化工原料,甘肃,122.04,10.22,15.94,522594.59,192413.98,195841.66,86151.28,0.54,0.053,1.61,4.0,20070803,10570.17,0.07,25.7,166.55,25.01,4.11,102200
600543,莫高股份,红黄药酒,甘肃,159.62,3.21,3.21,128325.57,61707.56,41131.9,46593.48,1.45,0.067,3.45,4.16,20040324,22118.07,0.69,-14.8,-8.77,60.82,14.76,21909
600354,敦煌种业,种植业,甘肃,0.0,4.48,5.28,284578.0,174705.73,56592.05,89953.45,1.7,-0.334,1.84,4.48,20040115,-48924.73,-0.93,-57.95,-30.15,12.79,-82.15,44003
600516,方大炭素,矿物制品,甘肃,150.96,17.19,17.19,829552.31,546925.94,150320.16,167132.13,0.97,0.046,3.4,2.71,20020830,218686.25,1.27,-4.91,427.62,22.97,4.61,185403
600311,荣华实业,黄金,甘肃,0.0,6.66,6.66,95347.18,65210.96,26889.51,21943.92,0.33,-0.069,1.27,5.56,20010626,-9156.5,-0.14,-52.55,-922.08,10.07,-123.67,78108
600307,酒钢宏兴,普钢,甘肃,33.82,62.63,62.63,3789404.75,818761.25,2510161.5,686673.19,1.1,0.072,1.52,2.13,20001220,-495997.31,-0.79,-36.09,112.8,16.08,1.63,340224
000995,*ST皇台,白酒,甘肃,0.0,1.77,1.77,51074.09,31620.03,8611.78,25793.53,1.45,-0.61,0.09,180.53,20000807,-42599.2,-2.4,157.71,-7618.73,17.67,-72.86,10249
000981,银亿股份,区域地产,甘肃,60.35,25.74,30.58,2518779.5,2132363.25,117601.11,58756.08,0.19,0.2,2.2,4.6,20000622,443833.41,1.45,-4.75,-2.51,34.54,6.38,26171
000929,兰州黄河,啤酒,甘肃,0.0,1.86,1.86,161454.69,122047.52,27901.01,19266.24,1.04,-0.103,3.96,4.35,19990623,33260.5,1.79,-6.07,-123.98,32.21,-3.44,21307
600192,长城电工,电气设备,甘肃,207.07,4.42,4.42,463993.66,327143.09,86133.36,92533.93,2.09,0.051,4.36,2.4,19981224,51260.32,1.16,0.61,-44.86,25.08,1.23,37123
000791,甘肃电投,水力发电,甘肃,1270.09,9.71,9.71,1940992.38,204454.38,1585335.88,340271.13,3.5,0.007,5.26,2.24,19971014,66205.93,0.68,-14.66,-91.42,36.81,0.54,36229
600108,亚盛集团,农业综合,甘肃,142.67,19.47,19.47,757999.56,255338.55,128437.1,53895.9,0.28,0.028,2.4,2.21,19970818,172712.77,0.89,2.36,-49.15,20.28,3.7,180281
000779,三毛派神,纺织,甘肃,257.22,1.86,1.86,71751.84,20690.24,38786.2,32181.25,1.73,0.07,1.17,15.45,19970528,-32426.19,-1.74,20.29,116.62,7.82,5.28,21672
000691,ST亚太,区域地产,甘肃,15003.41,2.9,3.23,28124.45,26755.98,87.48,14785.37,0.46,0.0,0.26,35.23,19970228,-40366.71,-1.25,-52.96,108.0,30.67,0.63,17725
000672,上峰水泥,水泥,甘肃,92.75,8.14,8.14,549978.88,242199.55,232457.45,-103479.46,-1.27,0.101,1.7,7.31,19961218,135768.27,1.67,36.23,126.6,18.37,3.84,104719
600738,兰州民百,百货,甘肃,57.78,3.68,3.69,240674.09,157391.45,32700.35,39990.56,1.08,0.169,3.37,2.9,19960802,40528.23,1.1,-8.4,-26.09,24.75,6.08,27998
600720,祁连山,水泥,甘肃,50.98,7.76,7.76,1066416.25,254962.52,654468.63,133915.63,1.73,0.215,6.28,1.74,19960716,213796.47,2.75,5.62,-7.06,28.24,3.26,77828
