code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300628,亿联网络,通信设备,福建,42.98,0.19,0.75,90742.28,80902.3,1444.17,2480.91,0.33,5.79,14.37,17.32,20170317,69563.43,9.32,39.56,74.59,63.13,46.8,34252
603345,安井食品,食品,福建,56.71,0.54,2.16,217787.8,102998.75,93164.65,10929.17,0.51,0.589,5.89,7.57,20170222,64426.6,2.98,0.0,0.0,26.94,6.09,47707
603817,海峡环保,环境保护,福建,132.31,1.13,4.5,180461.13,26159.35,90670.5,31825.55,0.71,0.141,2.65,9.37,20170220,22613.6,0.5,0.0,0.0,50.53,25.87,103817
603615,茶花股份,塑料,福建,86.96,0.6,2.4,92314.68,50840.93,35114.76,27307.65,1.14,0.51,4.64,7.14,20170213,35142.15,1.46,-1.38,1.43,33.28,13.63,58042
300605,恒锋信息,软件服务,福建,120.28,0.21,0.84,40461.5,36524.46,3484.38,8335.95,0.99,0.465,3.69,15.13,20170208,7771.31,0.93,6.19,10.85,27.03,11.82,38588
603668,天马科技,饲料,福建,80.4,0.53,2.12,98112.68,63275.2,18413.71,2472.38,0.12,0.299,2.77,11.59,20170117,21620.03,1.02,11.15,38.07,22.74,9.77,54527
603628,清源股份,电气设备,福建,181.24,0.68,2.74,117525.67,97856.28,13912.67,11301.3,0.41,0.178,2.6,16.52,20170112,20116.61,0.73,0.0,0.0,27.51,9.38,68468
603444,吉比特,互联网,福建,39.62,0.18,0.71,133452.05,113301.65,3485.8,676.39,0.1,6.485,16.85,20.33,20170104,81245.15,11.42,300.55,235.67,96.28,50.15,17703
300560,中富通,通信设备,福建,113.32,0.18,0.7,38418.71,35326.3,2352.32,5218.06,0.74,0.414,5.6,11.16,20161101,17392.32,2.48,0.0,0.0,29.61,11.84,13174
603663,三祥新材,矿物制品,福建,124.77,0.34,1.34,48595.07,37339.53,8343.11,15695.38,1.17,0.34,3.18,11.52,20160801,11490.49,0.86,0.14,18.84,32.07,14.16,25773
300525,博思软件,软件服务,福建,335.7,0.17,0.68,43026.0,28658.9,11987.0,19457.65,2.86,0.22,5.81,13.91,20160726,12234.75,1.8,0.0,0.0,68.74,15.13,17081
002803,吉宏股份,广告包装,福建,132.75,0.29,1.16,68117.68,34826.35,24435.05,14304.69,1.23,0.32,3.63,12.49,20160712,15177.67,1.31,0.0,0.0,20.8,7.18,21617
603909,合诚股份,建筑施工,福建,96.55,0.25,1.0,64846.51,51591.43,9383.28,21466.53,2.15,0.47,5.57,8.97,20160628,22802.51,2.28,0.0,0.0,41.64,20.66,18484
