code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002827,高争民爆,化工原料,西藏,62.03,0.46,1.84,57971.23,17884.15,26050.97,6424.41,0.35,0.439,2.68,13.53,20161209,13980.0,0.76,0.0,0.0,53.77,29.85,25120
002826,易明医药,化学制药,西藏,127.0,0.47,1.9,41692.43,22527.75,0.0,0.0,0.0,0.188,2.0,15.92,20161209,0.0,0.0,0.0,0.0,0.0,11.43,26111
601020,华钰矿业,铅锌,西藏,131.55,2.81,5.26,265324.47,71624.61,66542.5,35630.43,0.68,0.21,2.91,12.15,20160316,51105.35,0.97,0.0,0.0,63.9,26.7,25532
603669,灵康药业,化学制药,西藏,60.97,0.86,2.6,125759.07,86300.21,27311.11,64725.1,2.49,0.39,4.3,7.38,20150528,16225.12,0.62,-13.35,1.32,56.36,31.52,22035
002653,海思科,化学制药,西藏,41.86,4.52,10.8,341311.31,134107.77,60383.8,2792.73,0.03,0.288,1.96,8.21,20120117,95804.06,0.89,15.95,12.26,71.66,32.98,15328
002287,奇正藏药,中成药,西藏,81.22,4.06,4.06,202165.22,128416.61,27841.95,41094.12,1.01,0.496,4.05,13.25,20090828,68002.81,1.67,-1.36,7.38,84.04,31.34,20314
600326,西藏天路,建筑施工,西藏,37.08,6.66,6.66,609580.81,404323.91,142063.77,99822.24,1.5,0.256,3.47,3.66,20010116,56669.36,0.85,19.51,15.43,25.49,8.77,76429
600338,西藏珠峰,铅锌,西藏,32.95,1.58,6.53,194729.75,74516.86,87570.11,2236.43,0.03,0.996,1.99,16.51,20001227,95100.7,1.46,-0.99,306.31,70.1,44.03,18511
600211,西藏药业,中成药,西藏,38.23,1.14,1.46,229067.95,64152.96,14479.42,21667.2,1.49,1.362,4.54,11.48,19990721,24129.8,1.66,-42.38,116.39,76.33,24.89,10541
000762,西藏矿业,小金属,西藏,539.43,4.76,5.21,293806.66,176356.06,39396.42,158269.72,3.04,0.025,4.06,4.38,19970708,-4406.12,-0.08,-34.13,-21.3,32.14,2.98,87026
000752,西藏发展,啤酒,西藏,760.7,2.64,2.64,144070.86,97539.43,16292.62,2405.95,0.09,0.016,2.96,5.61,19970625,44197.01,1.68,-10.98,-70.11,24.05,1.62,41384
600773,西藏城投,区域地产,西藏,143.39,7.29,7.29,927128.5,858302.0,16200.52,115548.47,1.58,0.101,3.51,4.11,19961108,67361.6,0.92,261.23,17.55,11.89,2.67,66230
600749,西藏旅游,旅游景点,西藏,0.0,1.89,1.89,132495.11,10243.36,61427.35,43987.94,2.33,-0.503,2.85,7.38,19961015,-9504.5,-0.5,-16.97,-1876.28,35.35,-75.35,20303
600873,梅花生物,食品,西藏,21.99,20.62,31.08,1698301.25,460918.31,1091114.5,224245.16,0.72,0.335,2.92,2.53,19950217,335058.13,1.08,-6.42,144.84,25.35,9.39,183664
