code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600996,贵广网络,影视音像,贵州,32.31,2.1,10.43,465794.0,118170.45,0.0,0.0,0.0,0.401,2.45,7.06,20161226,0.0,0.0,9.12,19.26,0.0,25.76,172067
603058,永吉股份,广告包装,贵州,136.17,0.42,4.22,63957.38,31137.8,22434.73,0.0,0.0,0.16,1.53,18.98,20161223,0.0,0.0,-10.48,-5.53,0.0,30.02,37408
601997,贵阳银行,银行,贵州,11.03,5.0,22.99,32731974.0,0.0,186792.09,485419.31,2.11,1.46,8.93,1.93,20160816,940857.69,4.09,0.0,0.0,0.0,38.2,162031
300288,朗玛信息,软件服务,贵州,105.18,1.76,3.38,136986.06,34433.14,11492.42,37941.53,1.12,0.252,3.34,7.92,20120216,37144.69,1.1,25.72,-13.47,56.12,21.39,30253
002424,贵州百灵,中成药,贵州,53.69,7.32,14.11,423595.66,321104.0,60460.16,15096.61,0.11,0.342,2.14,8.57,20100603,125104.22,0.89,16.59,17.25,64.37,21.78,62764
002390,信邦制药,中成药,贵州,65.21,7.33,17.05,1085721.38,594660.13,139586.84,388606.72,2.28,0.117,3.69,2.76,20100416,65463.28,0.38,30.11,52.69,21.01,5.36,77600
002039,黔源电力,水力发电,贵州,19.21,3.05,3.05,1754516.25,83783.11,1651592.5,114256.67,3.74,0.633,7.17,2.26,20050303,63349.26,2.07,-14.95,-26.16,53.12,11.49,20600
002037,久联发展,化工原料,贵州,208.63,3.27,3.27,711105.25,382286.72,112663.72,62003.6,1.89,0.061,6.05,2.79,20040908,82317.88,2.51,-25.66,-77.7,28.95,1.04,16638
002025,航天电器,元器件,贵州,40.64,4.29,4.29,367684.13,294128.84,46844.37,42221.76,0.98,0.465,4.88,5.16,20040726,91954.0,2.14,18.82,15.54,37.72,12.25,35461
600992,贵绳股份,钢加工,贵州,234.06,2.45,2.45,215955.22,153524.05,27865.1,84036.9,3.43,0.054,5.51,3.04,20040514,20525.17,0.84,-11.94,5.23,16.21,1.33,17418
600594,益佰制药,中成药,贵州,37.66,7.92,7.92,646552.56,286967.69,97619.63,76838.25,0.97,0.366,4.86,3.79,20040323,204456.11,2.58,8.77,79.01,78.91,10.81,35326
600523,贵航股份,汽车配件,贵州,38.57,2.89,2.89,378046.69,262699.03,64002.95,93132.31,3.22,0.6,7.25,3.19,20011227,67806.68,2.35,5.01,4.64,23.25,5.15,23962
600519,贵州茅台,白酒,贵州,28.74,12.56,12.56,10514603.0,8350289.0,1124902.25,137496.44,1.09,9.923,54.64,6.96,20010827,5871924.5,46.74,15.05,9.11,91.64,46.81,53437
600395,盘江股份,煤炭开采,贵州,128.41,16.55,16.55,1078053.75,390155.19,282745.31,233941.05,1.41,0.046,3.47,2.29,20010531,100737.4,0.61,-11.61,427.45,21.36,3.1,51029
600367,红星发展,化工原料,贵州,84.39,2.91,2.91,165450.31,104843.88,40590.42,28521.06,0.98,0.157,3.68,3.61,20010320,29769.73,1.02,12.41,124.09,26.01,3.91,39811
600227,赤天化,农药化肥,贵州,0.0,9.5,17.36,721444.44,204008.34,453613.25,252053.2,1.45,-0.24,2.69,2.68,20000221,11549.0,0.07,-3.07,-373.18,18.72,-12.23,75663
000920,南方汇通,环境保护,贵州,56.42,4.22,4.22,175916.77,45264.76,44157.3,1988.68,0.05,0.192,2.32,6.23,19990616,29423.08,0.7,12.2,48.65,44.42,10.87,27448
000851,高鸿股份,软件服务,贵州,99.99,5.2,6.32,775764.19,524559.69,10550.51,212274.22,3.36,0.13,4.86,2.61,19980609,31510.18,0.5,16.82,-6.2,6.39,0.92,70000
600112,天成控股,电气设备,贵州,760.63,5.09,5.09,273563.59,93166.71,34135.19,46326.03,0.91,0.011,2.29,4.78,19971127,16959.84,0.33,-20.94,20.52,38.79,1.33,51847
000733,振华科技,元器件,贵州,40.6,4.29,4.69,779517.13,554033.75,97452.86,234362.84,4.99,0.348,8.09,2.33,19970703,76266.84,1.62,29.2,27.46,17.42,3.31,50041
600765,中航重机,机械基件,贵州,50.28,7.78,7.78,1394742.75,862809.88,314635.25,138477.75,1.78,0.312,4.5,3.48,19961106,120858.1,1.55,-8.66,180.8,25.75,4.52,69922
000589,黔轮胎Ａ,汽车配件,贵州,518.15,7.45,7.75,1026651.13,510607.66,383317.5,183544.38,2.37,0.009,4.62,1.36,19960308,71692.03,0.92,15.25,-91.27,12.91,0.17,65680
000540,中天城投,区域地产,贵州,11.64,39.46,46.97,6688881.5,4961436.0,329253.81,370828.03,0.79,0.437,3.01,2.25,19940202,519677.5,1.11,27.4,7.07,31.45,14.41,237647
