code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603360,百傲化学,化工原料,辽宁,57.98,0.33,1.33,60197.65,23626.67,24133.18,9462.15,0.71,0.544,4.33,9.72,20170206,20489.51,1.54,0.0,0.0,49.34,24.7,31616
300573,兴齐眼药,化学制药,辽宁,69.95,0.2,0.8,64519.25,16245.0,44709.98,17303.92,2.16,0.567,7.25,7.29,20161208,18382.67,2.3,0.0,0.0,74.91,17.48,36450
603866,桃李面包,食品,辽宁,46.78,0.59,4.5,230798.02,97693.72,80802.0,52761.78,1.17,0.722,4.32,10.42,20151222,86693.42,1.93,28.93,30.34,36.26,13.68,14643
300473,德尔股份,汽车配件,辽宁,57.84,0.47,1.05,191418.05,149032.56,29737.09,99233.36,9.46,0.855,14.91,4.42,20150612,34118.32,3.25,-21.98,-28.49,39.18,20.32,12470
603318,派思股份,专用机械,辽宁,1509.78,1.06,3.66,101008.92,66773.38,16153.87,6430.25,0.18,0.007,1.2,11.25,20150424,1602.66,0.04,20.84,-81.75,29.77,0.91,30526
603315,福鞍股份,机械基件,辽宁,114.54,0.78,2.0,108380.95,66032.24,35292.15,28825.69,1.44,0.172,3.27,8.06,20150424,14186.88,0.71,-9.96,-16.34,26.82,12.12,12978
002731,萃华珠宝,服饰,辽宁,129.2,0.53,1.51,259338.72,228827.17,15585.51,40195.59,2.67,0.167,7.26,3.97,20141104,51152.76,3.39,-21.47,-51.71,11.83,1.35,13541
300405,科隆精化,化工原料,辽宁,474.34,0.34,0.78,173932.52,114866.36,21922.32,59182.55,7.57,0.08,11.72,3.69,20141030,21343.82,2.73,-16.8,196.7,15.94,1.06,8710
603609,禾丰牧业,饲料,辽宁,26.99,4.18,8.31,494899.59,270294.31,122765.46,10721.16,0.13,0.356,3.46,3.71,20140808,177984.7,2.14,15.15,43.9,10.06,3.49,22104
300372,欣泰电气,电气设备,辽宁,0.0,0.98,1.72,111583.02,88352.24,12014.96,15504.1,0.9,-0.052,3.64,0.0,20140127,25648.17,1.5,-56.27,-525.42,19.6,-7.69,24045
603399,新华龙,小金属,辽宁,0.0,4.99,4.99,262364.44,106679.81,52301.15,127822.17,2.56,-0.12,3.58,3.13,20120824,-8384.11,-0.17,-21.24,46.55,7.3,-6.12,39135
002689,远大智能,运输设备,辽宁,168.26,9.42,9.56,260818.17,162496.55,53442.3,13065.19,0.14,0.037,1.47,5.66,20120717,26237.94,0.27,-24.56,-42.6,35.7,4.23,65627
002667,鞍重股份,工程机械,辽宁,0.0,0.91,1.36,84044.3,59189.3,10292.82,32896.12,2.42,-0.079,5.5,4.06,20120329,24908.27,1.83,-51.48,-155.74,38.06,-17.89,9438
300293,蓝英装备,专用机械,辽宁,2371.39,2.68,2.7,87579.86,63344.23,15553.55,15907.65,0.59,0.005,2.4,6.99,20120308,19401.17,0.72,-42.21,-94.95,31.52,0.98,22525
300290,荣科科技,软件服务,辽宁,174.7,1.6,3.21,103489.86,73869.95,6033.62,29541.3,0.92,0.057,2.68,4.93,20120216,21694.95,0.67,11.37,-9.87,33.2,5.74,23498
002621,三垒股份,专用机械,辽宁,215.04,1.12,2.25,116481.05,102115.35,6661.72,50795.21,2.26,0.094,5.06,5.3,20110929,36063.45,1.6,-45.35,-47.13,34.65,34.35,9625
002606,大连电瓷,电气设备,辽宁,97.7,1.51,2.04,139233.38,83302.84,42048.31,33052.15,1.62,0.321,3.99,10.48,20110805,26940.55,1.32,28.4,279.18,38.67,12.38,13154
300210,森远股份,专用机械,辽宁,72.06,0.99,2.69,193631.52,120718.97,27475.8,40873.65,1.52,0.189,4.53,4.01,20110426,50046.37,1.86,6.14,-12.3,46.88,18.14,10997
300202,聚龙股份,专用机械,辽宁,68.87,4.29,5.5,234078.63,182997.47,26443.08,9757.1,0.18,0.222,3.03,6.73,20110415,90028.15,1.64,-5.44,24.24,62.13,26.33,8150
601880,大连港,港口,辽宁,73.09,77.36,128.95,3190206.5,916232.31,1397406.63,293094.47,0.23,0.041,1.38,2.18,20101206,119421.3,0.09,44.21,9.64,10.83,4.14,245009
002487,大金重工,钢加工,辽宁,69.9,5.4,5.4,257487.55,166892.44,41349.85,76019.75,1.41,0.132,3.15,2.93,20101015,35728.71,0.66,20.58,-22.97,21.99,7.43,47307
300125,易世达,电气设备,辽宁,0.0,0.9,1.18,173418.31,85924.78,58555.13,81123.32,6.87,-0.528,8.76,3.2,20101013,7978.37,0.68,-56.57,-875.42,18.58,-38.29,5898
300097,智云股份,电器仪表,辽宁,148.43,0.86,1.49,192338.77,86828.32,6965.85,92534.7,6.19,0.311,8.68,7.09,20100728,20815.75,1.39,63.23,553.71,36.67,15.15,16380
002447,壹桥股份,渔业,辽宁,55.47,5.8,9.52,331080.06,75713.9,150283.36,47285.85,0.5,0.138,2.6,3.92,20100713,95556.31,1.0,42.59,115.58,46.59,44.86,53241
300082,奥克股份,化工原料,辽宁,45.61,6.74,6.74,500341.41,231359.55,198532.86,169633.52,2.52,0.14,3.98,2.15,20100520,23856.1,0.35,40.69,200.78,8.86,3.16,30903
002354,天神娱乐,互联网,辽宁,43.97,1.52,2.92,609189.44,128698.6,1032.99,368544.31,12.62,1.159,17.72,3.83,20100209,108403.63,3.71,147.76,39.42,55.19,25.84,17167
300024,机器人,专用机械,辽宁,85.69,15.14,15.6,708039.0,523093.06,51660.19,265032.78,1.7,0.263,3.57,6.32,20091030,114675.9,0.73,20.65,4.04,31.74,20.2,148600
002231,奥维通信,通信设备,辽宁,674.32,2.89,3.57,87335.38,78396.56,4717.16,16531.59,0.46,0.02,1.9,7.22,20080512,12554.98,0.35,23.0,-18.22,23.81,1.51,35646
002220,天宝股份,食品,辽宁,34.71,3.89,5.47,477933.94,235068.59,63759.48,100798.99,1.84,0.34,4.85,2.37,20080228,97998.02,1.79,-3.88,16.7,20.69,12.29,18112
002204,大连重工,专用机械,辽宁,121.89,19.31,19.31,1699319.75,1281585.25,319295.13,240572.72,1.25,0.03,3.42,1.41,20080116,204048.67,1.06,-14.98,91.78,16.62,1.39,44372
601999,出版传媒,出版业,辽宁,49.92,5.51,5.51,306842.16,202976.48,49667.15,52866.71,0.96,0.223,3.51,3.17,20071221,70958.03,1.29,5.18,57.52,21.02,7.5,39044
002123,梦网荣信,互联网,辽宁,56.27,5.23,8.62,707988.06,322731.41,58152.36,295652.53,3.43,0.196,5.94,2.47,20070328,102060.86,1.18,72.25,49.81,31.9,9.04,50194
002069,*ST獐岛,渔业,辽宁,106.23,6.82,7.11,447423.16,288162.84,109153.02,97507.95,1.37,0.112,1.51,7.88,20060928,-85002.46,-1.2,11.93,132.76,15.13,2.61,40707
600593,大连圣亚,旅游景点,辽宁,35.73,0.92,0.92,97211.77,45705.7,22281.27,19775.53,2.15,0.753,4.75,7.54,20020711,12862.88,1.4,-2.3,-7.93,62.49,25.77,5567
600317,营口港,港口,辽宁,49.06,64.73,64.73,1648317.25,324529.22,1093311.25,155388.09,0.24,0.055,1.59,2.25,20020131,178957.56,0.28,-7.79,-20.41,29.68,13.79,177662
600346,恒力股份,化纤,辽宁,21.15,6.68,28.26,1969875.63,869198.0,995853.19,90722.06,0.32,0.45,2.07,4.26,20010820,187495.22,0.66,3.96,91.58,13.46,6.13,34200
600396,金山股份,火力发电,辽宁,26.91,11.65,14.73,2022941.38,191174.7,1659371.0,137385.34,0.93,0.14,2.59,1.95,20010328,83705.21,0.57,-13.62,-18.86,23.5,4.31,88264
600399,抚顺特钢,特种钢,辽宁,54.28,11.3,13.0,1260736.13,705136.88,345773.94,16257.42,0.13,0.102,1.54,4.76,20001229,44360.7,0.34,-4.47,-28.33,18.94,3.8,135717
600303,曙光股份,汽车整车,辽宁,146.51,6.2,6.76,966291.31,472324.81,255328.02,110360.32,1.63,0.051,4.1,2.44,20001226,73687.9,1.09,-1.95,157.81,15.11,1.48,114324
