code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603717,天域生态,环境保护,重庆,36.42,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,5.0,20170327,31289.65,1.81,0.64,11.91,30.18,13.31,39348
600939,重庆建工,建筑施工,重庆,119.23,1.82,18.15,6105199.0,4784927.0,113704.32,78610.03,0.43,0.121,2.57,7.49,20170221,140738.48,0.78,0.0,0.0,6.0,0.7,151698
601127,小康股份,汽车配件,重庆,44.44,1.43,8.93,1983568.25,1271282.88,308728.06,108531.47,1.22,0.63,4.31,5.93,20160615,169538.31,1.9,53.42,37.91,19.34,3.17,65041
002765,蓝黛传动,汽车配件,重庆,63.51,0.71,2.14,192453.19,118550.4,44644.03,58653.13,2.74,0.376,4.88,6.52,20150612,18825.5,0.88,45.56,76.05,22.55,10.21,18268
002742,三圣股份,其他建材,重庆,44.79,0.71,2.16,279948.63,149803.27,80195.36,46837.19,2.17,0.546,6.04,4.05,20150217,54673.41,2.53,7.23,-3.16,24.2,7.79,16174
603601,再升科技,玻璃,重庆,81.03,1.56,3.86,135298.5,83638.95,18328.17,60751.98,1.57,0.22,2.82,6.02,20150122,7517.22,0.19,36.95,58.19,43.63,25.26,26254
600917,重庆燃气,供气供热,重庆,51.78,1.56,15.56,844460.0,311621.59,263271.31,99251.15,0.64,0.182,2.27,5.53,20140930,75164.25,0.48,-9.34,4.06,17.03,7.16,20804
603100,川仪股份,电器仪表,重庆,45.36,2.31,3.95,450193.16,343083.47,42062.01,70549.46,1.79,0.242,4.67,3.13,20140805,63455.3,1.61,-2.92,-16.85,30.8,4.28,27815
300363,博腾股份,化学制药,重庆,48.5,4.22,4.25,287145.0,111316.3,139862.38,26253.25,0.62,0.41,3.02,6.47,20140129,56786.03,1.34,29.91,55.07,39.66,12.9,19185
603766,隆鑫通用,摩托车,重庆,20.99,8.26,8.45,920686.81,465620.44,202355.7,123397.86,1.46,0.78,6.93,3.12,20120810,344120.06,4.07,23.4,3.2,21.8,10.87,48791
601965,中国汽研,汽车服务,重庆,30.18,9.61,9.61,478118.69,265348.13,160114.42,141141.02,1.47,0.354,4.18,2.55,20120611,146776.81,1.53,37.56,9.42,32.96,20.56,29423
300275,梅安森,软件服务,重庆,0.0,1.13,1.68,84803.52,46026.03,13268.34,24766.63,1.48,-0.287,3.21,8.97,20111102,11054.24,0.66,-0.63,-1.36,39.88,-51.19,6100
300194,福安药业,化学制药,重庆,52.4,1.59,3.97,453664.75,128351.07,98387.42,302405.31,7.63,0.51,11.21,2.45,20110322,43944.55,1.11,70.28,209.99,47.22,17.85,11962
002558,世纪游轮,旅游服务,重庆,126.84,0.64,16.87,817996.0,709504.25,50649.35,428756.84,2.54,0.52,4.32,18.5,20110302,178761.3,1.06,7.82,258.19,83.47,47.74,22099
601777,力帆股份,摩托车,重庆,45.61,12.37,12.56,2802292.25,1499908.0,540855.94,477487.34,3.8,0.148,5.41,1.67,20101125,143038.47,1.14,0.63,-30.79,15.01,2.37,76917
002507,涪陵榨菜,食品,重庆,31.62,3.0,5.26,185070.81,90292.2,73615.56,28441.0,0.54,0.375,2.86,5.52,20101123,61770.55,1.17,25.33,38.36,47.4,21.24,17047
300122,智飞生物,生物制药,重庆,904.3,8.62,16.0,270947.06,113821.97,62187.73,20796.47,0.13,0.02,1.58,11.66,20100928,62997.68,0.39,-37.43,-83.53,92.1,7.29,11715
601158,重庆水务,水务,重庆,22.5,48.0,48.0,2003006.25,895962.19,739162.31,459543.5,0.96,0.262,2.83,2.77,20100329,311100.25,0.65,12.9,-7.19,47.03,36.03,49280
300006,莱美药业,化学制药,重庆,109.99,5.84,8.12,258716.7,96658.86,84606.77,58472.26,0.72,0.058,2.05,4.14,20091030,23522.02,0.29,0.34,232.76,39.58,6.83,31422
601005,重庆钢铁,普钢,重庆,0.0,38.98,44.36,3737840.5,305578.91,2992028.5,707750.63,1.6,-0.697,0.3,8.48,20070228,-1080301.88,-2.44,-45.18,3.4,-31.12,-83.88,174019
002004,华邦健康,化学制药,重庆,21.08,15.33,20.35,2353932.5,1247429.13,248479.09,547942.63,2.69,0.301,4.78,1.77,20040625,204623.56,1.01,4.81,3.57,34.6,12.31,125340
600452,涪陵电力,水力发电,重庆,44.26,1.6,1.6,271381.75,71644.03,134478.88,32656.36,2.04,0.809,5.08,9.4,20040303,26728.31,1.67,20.34,-22.78,12.89,11.45,6832
600565,迪马股份,全国地产,重庆,21.27,14.72,24.19,3049869.5,2921131.75,13095.45,245095.72,1.01,0.33,2.8,2.44,20020723,200677.77,0.83,84.57,65.79,18.52,5.44,103377
