code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300581,晨曦航空,航空,陕西,197.3,0.11,0.45,36126.96,29118.44,4487.5,3604.6,0.8,0.479,7.09,17.77,20161220,14557.34,3.22,3.33,-0.65,47.49,18.86,20953
002799,环球印务,广告包装,陕西,243.96,0.25,1.0,67480.75,32298.55,25291.92,14834.09,1.48,0.2,5.06,10.67,20160608,23176.38,2.32,0.0,0.0,21.83,5.98,21730
300487,蓝晓科技,化工原料,陕西,82.93,0.33,0.81,89244.53,61087.23,17821.3,40355.62,4.98,0.77,8.92,7.09,20150702,22746.14,2.81,12.54,21.32,38.11,18.56,12247
601015,陕西黑猫,焦炭加工,陕西,39.51,4.44,9.3,1065325.63,488307.31,373535.56,64488.21,0.69,0.232,2.94,3.12,20141105,103317.45,1.11,6.51,176.75,15.49,3.88,44989
300397,天和防务,通信设备,陕西,0.0,1.03,2.4,166787.16,109661.72,15840.55,52742.46,2.2,-0.205,4.9,5.7,20140910,38317.9,1.6,266.1,-88.33,31.1,-36.4,27360
601225,陕西煤业,煤炭开采,陕西,44.21,100.0,100.0,9088089.0,2120286.5,2719441.25,738914.63,0.74,0.103,3.26,1.85,20140128,1262746.75,1.26,-25.0,156.84,43.39,5.05,46324
002673,西部证券,证券,陕西,42.44,27.96,27.96,5201992.5,0.0,18261.53,544138.06,1.95,0.335,4.4,4.3,20120503,191903.25,0.69,-36.9,-45.87,0.0,36.18,262451
601012,隆基股份,半导体,陕西,20.6,17.56,19.96,1917240.38,1204200.13,459066.44,538382.0,2.7,0.86,5.06,3.16,20120411,268346.47,1.34,93.89,197.36,27.48,13.42,103295
300164,通源石油,石油开采,陕西,344.27,3.08,4.4,185092.95,83761.88,30552.0,78063.78,1.77,0.02,3.41,2.67,20110113,19927.55,0.45,-39.34,146.99,46.05,3.45,19441
300140,中环装备,电气设备,陕西,0.0,2.42,3.45,116114.97,66846.77,25517.18,37564.4,1.09,-0.012,3.14,5.3,20101112,11263.24,0.33,6.4,-70.21,31.6,-2.17,24286
300116,坚瑞沃能,专用机械,陕西,61.99,3.38,12.16,2111631.0,1238786.25,196432.8,610365.94,5.02,0.57,6.44,3.36,20100902,50732.55,0.42,668.45,1100.42,30.07,9.5,25366
300114,中航电测,元器件,陕西,92.35,3.04,3.94,193439.8,125984.13,44863.75,39169.78,0.99,0.262,3.4,7.1,20100827,41205.3,1.05,6.05,2.7,34.19,9.49,13492
300103,达刚路机,工程机械,陕西,205.15,1.48,2.12,100681.1,86295.31,10836.78,31679.55,1.5,0.097,4.01,6.63,20100812,27751.33,1.31,0.03,-36.55,25.65,12.28,12768
