code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603843,正平股份,建筑施工,青海,122.33,1.0,4.0,362505.78,317068.63,13703.69,37006.23,0.93,0.16,2.99,6.75,20160905,35363.65,0.88,0.0,0.0,10.11,2.95,53735
002646,青青稞酒,白酒,青海,35.43,4.5,4.5,294430.84,150370.2,53647.6,85475.59,1.9,0.432,5.47,3.73,20111222,104050.92,2.31,0.24,-17.56,65.97,18.86,22639
601168,西部矿业,铜,青海,186.96,23.83,23.83,3216630.75,1225695.13,721151.25,539154.25,2.26,0.042,4.82,1.63,20070712,290499.41,1.22,3.77,228.6,6.07,0.36,199088
600381,青海春天,医疗保健,青海,94.86,2.06,6.86,208401.0,174735.8,10773.03,13586.32,0.2,0.129,2.69,6.05,20010508,91490.74,1.33,-55.09,-53.86,47.61,20.59,41050
600243,青海华鼎,机床制造,青海,0.0,2.37,4.39,292164.78,190068.13,75152.15,124394.57,2.83,-0.118,3.98,2.94,20001120,4712.9,0.11,-18.12,-160.53,18.48,-7.93,20626
600117,西宁特钢,特种钢,青海,0.0,7.41,10.45,2589159.0,593788.69,967105.69,39989.48,0.38,-0.335,0.97,6.04,19971015,-62450.36,-0.6,33.32,31.03,9.48,-6.98,58046
000792,盐湖股份,农药化肥,青海,100.1,18.33,18.57,8097230.5,1437615.63,2633589.75,1040689.0,5.6,0.14,13.19,1.42,19970904,879182.69,4.73,-5.17,-52.01,45.49,3.57,61727
600771,广誉远,中成药,青海,117.25,2.44,3.53,214286.84,179530.48,5476.37,178501.69,5.06,0.44,4.84,8.43,19961105,-45949.53,-1.3,118.7,5948.83,77.94,13.11,14333
000606,神州易桥,化学制药,青海,192.04,4.68,7.66,312974.03,128856.88,45036.62,208497.02,2.72,0.07,3.65,3.15,19961004,-20556.1,-0.27,53.16,128.8,31.16,11.12,30741
600714,金瑞矿业,煤炭开采,青海,31.49,2.85,2.88,75284.15,61407.11,7921.12,29967.1,1.04,0.339,2.18,6.52,19960606,1343.03,0.05,-60.2,670.03,-1.19,90.25,16580
600869,智慧能源,电气设备,青海,48.52,20.42,22.19,1460730.63,999387.38,210192.2,208292.59,0.94,0.13,2.53,3.27,19950206,115266.22,0.52,4.75,13.66,17.49,3.25,72814
