code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300489,中飞股份,铝,黑龙江,125.83,0.46,0.91,61447.8,17694.5,36907.3,18809.15,2.07,0.209,4.9,7.15,20150701,14890.75,1.64,-7.88,-0.65,34.16,19.67,12000
603023,威帝股份,汽车配件,黑龙江,63.93,1.27,3.6,53231.5,50027.12,2145.55,662.03,0.02,0.173,1.39,10.6,20150527,9679.4,0.27,4.63,17.95,55.65,46.16,22624
603567,珍宝岛,中成药,黑龙江,34.13,2.73,8.49,628790.31,461419.25,111017.42,122516.02,1.44,0.447,4.91,4.14,20150424,189281.7,2.23,14.92,28.82,64.32,26.04,33881
002737,葵花药业,中成药,黑龙江,63.95,1.2,2.92,381153.19,210087.22,119654.42,116691.36,4.0,0.42,8.4,4.26,20141230,86661.0,2.97,0.49,-38.54,55.78,5.76,36817
002698,博实股份,化工机械,黑龙江,118.31,5.21,6.82,218963.91,172607.86,19602.75,18826.45,0.28,0.103,2.6,6.23,20120911,78662.17,1.15,-25.12,-52.33,40.95,16.41,36038
601011,宝泰隆,焦炭加工,黑龙江,297.66,13.09,13.68,867388.13,155590.38,203712.42,211757.95,1.55,0.018,3.12,2.3,20110309,70915.18,0.52,-4.01,-72.74,23.06,2.22,100566
002437,誉衡药业,化学制药,黑龙江,23.31,21.48,21.98,843725.63,175405.77,167791.88,33963.9,0.15,0.259,1.73,4.66,20100623,111715.17,0.51,8.47,14.22,59.0,27.26,49300
601188,龙江交通,路桥,黑龙江,21.63,13.16,13.16,522833.0,235753.97,158208.02,122167.77,0.93,0.198,2.87,1.99,20100319,109688.52,0.83,-1.08,22.54,62.26,68.05,65717
601106,中国一重,工程机械,黑龙江,0.0,65.38,65.38,3501605.5,2430861.0,650649.13,841514.81,1.29,-0.299,1.98,2.19,20100209,-218279.66,-0.33,-30.57,-87.23,-6.68,-82.13,469385
300040,九洲电气,电气设备,黑龙江,80.56,2.25,3.46,230987.97,139915.23,44618.45,81762.65,2.36,0.12,4.91,2.62,20100108,52578.35,1.52,391.41,250.96,26.54,7.91,25906
600371,万向德农,种植业,黑龙江,88.79,2.25,2.25,80400.43,51407.21,14126.13,3090.59,0.14,0.135,1.79,8.88,20020916,10411.38,0.46,-7.16,267.56,31.42,16.43,18382
600598,北大荒,种植业,黑龙江,19.63,17.78,17.78,793724.94,348846.06,371520.44,242022.13,1.36,0.448,3.32,3.53,20020329,51880.37,0.29,-11.25,-4.58,76.48,33.6,97333
600356,恒丰纸业,造纸,黑龙江,39.07,2.99,2.99,272207.19,147482.67,90473.88,92567.02,3.1,0.317,6.71,1.85,20010419,61938.16,2.07,-2.48,7.62,27.69,6.96,14740
600038,中直股份,航空,黑龙江,67.56,5.89,5.89,1982571.63,1631728.13,241736.55,423271.94,7.18,0.745,11.64,4.33,20001218,158861.72,2.69,-0.18,0.48,14.07,3.51,31798
000985,大庆华科,化工原料,黑龙江,126.02,1.3,1.3,66277.97,21016.35,40252.26,25894.61,2.0,0.257,4.0,8.11,20000726,6614.97,0.51,30.77,300.48,13.94,3.23,8081
600289,亿阳信通,软件服务,黑龙江,63.0,5.66,6.31,414556.03,324753.56,37715.73,141070.09,2.24,0.22,5.12,2.53,20000720,91122.46,1.44,11.15,22.99,65.01,9.75,53917
000922,*ST佳电,电气设备,黑龙江,0.0,4.58,5.44,280668.16,194064.91,52587.44,114204.02,2.1,-0.803,2.64,3.72,19990618,-37261.21,-0.69,-15.85,2.3,16.59,-34.48,69716
600202,哈空调,电气设备,黑龙江,0.0,3.83,3.83,199171.56,128786.1,51724.8,7630.66,0.2,-0.215,2.04,7.11,19990603,18980.36,0.5,-50.59,-232.88,8.67,-37.7,37264
600182,S佳通,汽车配件,黑龙江,61.36,1.7,3.4,238495.09,130137.45,100463.4,119.85,0.0,0.352,2.71,10.6,19990507,48614.76,1.43,-12.33,-29.14,24.27,5.49,30115
000901,航天科技,航空,黑龙江,387.2,3.24,4.09,221713.55,157675.06,25315.45,64249.2,1.57,0.068,4.36,8.06,19990401,39152.87,0.96,-0.9,-3.22,23.52,2.35,56444
600187,国中水务,水务,黑龙江,618.1,14.56,16.54,415801.63,98052.46,77085.09,133762.0,0.81,0.01,1.76,3.44,19981111,-26344.99,-0.16,-24.62,113.73,33.92,4.52,169929
600179,安通控股,仓储物流,黑龙江,53.83,3.9,10.62,655511.88,231223.47,389667.53,55636.78,0.52,0.37,2.16,8.09,19981104,94439.11,0.89,16.91,71.47,22.95,9.86,21274
600178,东安动力,汽车配件,黑龙江,60.15,4.62,4.62,411945.47,209152.13,28719.2,85994.0,1.86,0.155,3.94,3.16,19981014,25635.6,0.55,116.2,92.67,11.24,4.05,28149
